,Date,Year,Month,StewartMilk
0,2013-01-01,2013,1,0.44432607728270995
1,2013-02-01,2013,2,0.44170467650747997
2,2013-03-01,2013,3,0.4388396258233972
3,2013-04-01,2013,4,0.43055052303345653
4,2013-05-01,2013,5,0.40857189632363733
5,2013-06-01,2013,6,0.39813594971542227
6,2013-07-01,2013,7,0.3902717466755904
7,2013-08-01,2013,8,0.40596266237396383
8,2013-09-01,2013,9,0.4001724586748768
9,2013-10-01,2013,10,0.3914766076963352
10,2013-11-01,2013,11,0.3989148286295718
11,2013-12-01,2013,12,0.37897817322596955
12,2014-01-01,2014,1,0.4039031944646536
13,2014-02-01,2014,2,0.41343368494102467
14,2014-03-01,2014,3,0.4047798241339891
15,2014-04-01,2014,4,0.38701216790452125
16,2014-05-01,2014,5,0.3743062915780967
17,2014-06-01,2014,6,0.37605553896256844
18,2014-07-01,2014,7,0.36353924302505436
19,2014-08-01,2014,8,0.36684174336955483
20,2014-09-01,2014,9,0.36349843994051734
21,2014-10-01,2014,10,0.3583520631456042
22,2014-11-01,2014,11,0.3618818452275427
23,2014-12-01,2014,12,0.3413257327417863
24,2015-01-01,2015,1,0.38734717879858943
25,2015-02-01,2015,2,0.3998581693232257
26,2015-03-01,2015,3,0.4024183758111768
27,2015-04-01,2015,4,0.3927806638988622
28,2015-05-01,2015,5,0.3767303376622757
29,2015-06-01,2015,6,0.37107388705233507
30,2015-07-01,2015,7,0.3635677367699746
31,2015-08-01,2015,8,0.3714807450323414
32,2015-09-01,2015,9,0.3680471696913975
33,2015-10-01,2015,10,0.3549856102847644
34,2015-11-01,2015,11,0.3498085134461293
35,2015-12-01,2015,12,0.33121607928574537
36,2016-01-01,2016,1,0.38068127029469895
37,2016-02-01,2016,2,0.3915598608626497
38,2016-03-01,2016,3,0.38788483461779605
39,2016-04-01,2016,4,0.38723201403854424
40,2016-05-01,2016,5,0.36903930195805723
41,2016-06-01,2016,6,0.3692672818004201
42,2016-07-01,2016,7,0.3638230777034101
43,2016-08-01,2016,8,0.3617993107383922
44,2016-09-01,2016,9,0.36443813391702107
45,2016-10-01,2016,10,0.35379233032106905
46,2016-11-01,2016,11,0.3491948225338963
47,2016-12-01,2016,12,0.33797364965260507
48,2017-01-01,2017,1,0.3757050217596138
49,2017-02-01,2017,2,0.3787332569884612
50,2017-03-01,2017,3,0.38367749123340095
51,2017-04-01,2017,4,0.3638890048176924
52,2017-05-01,2017,5,0.36128129352256383
53,2017-06-01,2017,6,0.35476464309119554
54,2017-07-01,2017,7,0.3540836621998531
55,2017-08-01,2017,8,0.3554705978925802
56,2017-09-01,2017,9,0.34885682591196365
57,2017-10-01,2017,10,0.3415105081921459
58,2017-11-01,2017,11,0.34029831730807386
59,2017-12-01,2017,12,0.3335964864295165
60,2018-01-01,2018,1,0.29849081913994185
