Date,Year,Month,Zhao,StewartMilk,StewartPBMilk
2013-01-01,2013,1,,0.4443260772827099,0.0285204227073606
2013-02-01,2013,2,,0.4417046765074799,0.0285338439864987
2013-03-01,2013,3,,0.4388396258233972,0.0287834787049457
2013-04-01,2013,4,,0.4305505230334565,0.029932155658989
2013-05-01,2013,5,,0.4085718963236373,0.0292275718924883
2013-06-01,2013,6,,0.3981359497154222,0.0290803699863111
2013-07-01,2013,7,,0.3902717466755904,0.028950214996878
2013-08-01,2013,8,,0.4059626623739638,0.0301666680863723
2013-09-01,2013,9,,0.4001724586748768,0.0302352529071777
2013-10-01,2013,10,,0.3914766076963352,0.0299425533126958
2013-11-01,2013,11,,0.3989148286295718,0.0276136126974987
2013-12-01,2013,12,,0.3789781732259695,0.0254255622814234
2014-01-01,2014,1,,0.4039031944646536,0.0330686983779391
2014-02-01,2014,2,,0.4134336849410246,0.0363295595733833
2014-03-01,2014,3,,0.4047798241339891,0.0366909579000526
2014-04-01,2014,4,,0.3870121679045212,0.0345122244691755
2014-05-01,2014,5,,0.3743062915780967,0.0351948108566884
2014-06-01,2014,6,,0.3760555389625684,0.0353969135680766
2014-07-01,2014,7,,0.3635392430250543,0.0335959513240951
2014-08-01,2014,8,,0.3668417433695548,0.0340656038370753
2014-09-01,2014,9,,0.3634984399405173,0.0342470978888164
2014-10-01,2014,10,,0.3583520631456042,0.0329639828523025
2014-11-01,2014,11,,0.3618818452275427,0.0308934781198445
2014-12-01,2014,12,,0.3413257327417863,0.0284021364775669
2015-01-01,2015,1,,0.3873471787985894,0.0350837205390571
2015-02-01,2015,2,,0.3998581693232257,0.0385087224217085
2015-03-01,2015,3,,0.4024183758111768,0.0394929818130608
2015-04-01,2015,4,,0.3927806638988622,0.037949573534123
2015-05-01,2015,5,,0.3767303376622757,0.0370553082281644
2015-06-01,2015,6,,0.371073887052335,0.0362938556842433
2015-07-01,2015,7,,0.3635677367699746,0.0366359698092254
2015-08-01,2015,8,,0.3714807450323414,0.0364153661135679
2015-09-01,2015,9,,0.3680471696913975,0.0348635527668894
2015-10-01,2015,10,,0.3549856102847644,0.03220887697159
2015-11-01,2015,11,,0.3498085134461293,0.0300332369049749
2015-12-01,2015,12,,0.3312160792857453,0.0289811135405195
2016-01-01,2016,1,,0.3806812702946989,0.0341770455892096
2016-02-01,2016,2,,0.3915598608626497,0.036106030359768
2016-03-01,2016,3,,0.387884834617796,0.0365252994991
2016-04-01,2016,4,,0.3872320140385442,0.0365602003319825
2016-05-01,2016,5,,0.3690393019580572,0.036406941948357
2016-06-01,2016,6,,0.3692672818004201,0.0355892152730325
2016-07-01,2016,7,,0.3638230777034101,0.0341410208501083
2016-08-01,2016,8,,0.3617993107383922,0.0344948511832513
2016-09-01,2016,9,,0.364438133917021,0.0343711554576951
2016-10-01,2016,10,,0.353792330321069,0.032522442260164
2016-11-01,2016,11,,0.3491948225338963,0.0304080574742849
2016-12-01,2016,12,,0.337973649652605,0.0284474663813177
2017-01-01,2017,1,0.0005376472704134,0.3757050217596138,0.037263488886902
2017-02-01,2017,2,0.0005263678767144,0.3787332569884612,0.0395263175768008
2017-03-01,2017,3,0.0005707892454411,0.3836774912334009,0.0403074750446499
2017-04-01,2017,4,0.0005845386817975,0.3638890048176924,0.0385776420390896
2017-05-01,2017,5,0.0005806458111916,0.3612812935225638,0.0375258977743841
2017-06-01,2017,6,0.0006550814134189,0.3547646430911955,0.0365642834515013
2017-07-01,2017,7,0.0007257618346855,0.3540836621998531,0.0365694607867875
2017-08-01,2017,8,0.0008348339378675,0.3554705978925802,0.0378333269508549
2017-09-01,2017,9,0.0008938051570044,0.3488568259119636,0.0365054730409291
2017-10-01,2017,10,0.0008939689869854,0.3415105081921459,0.036301606734187
2017-11-01,2017,11,0.0008878625779378,0.3402983173080738,0.0328990735273597
2017-12-01,2017,12,0.0008986363001464,0.3335964864295165,0.0314802072065723
2018-01-01,2018,1,0.0010055958969885,0.2984908191399418,0.0289725995239779
2018-02-01,2018,2,0.0010813917973193,,
2018-03-01,2018,3,0.0011369732271701,,
2018-04-01,2018,4,0.0011975991483545,,
2018-05-01,2018,5,0.0012224161497508,,
2018-06-01,2018,6,0.0010469167309629,,
2018-07-01,2018,7,0.0010807102124939,,
2018-08-01,2018,8,0.0013035581968128,,
2018-09-01,2018,9,0.0012905958506716,,
2018-10-01,2018,10,0.0012217181726147,,
2018-11-01,2018,11,0.0011728958015544,,
2018-12-01,2018,12,0.0011177666748061,,
2019-01-01,2019,1,0.0012390910920295,,
2019-02-01,2019,2,0.0013469355683696,,
2019-03-01,2019,3,0.0013902922532439,,
2019-04-01,2019,4,0.0015012452787691,,
2019-05-01,2019,5,0.001812679307999,,
2019-06-01,2019,6,0.0020717224594637,,
2019-07-01,2019,7,0.0024253528741655,,
2019-08-01,2019,8,0.0024751974567527,,
2019-09-01,2019,9,0.0025186766392259,,
2019-10-01,2019,10,0.0027109970316948,,
2019-11-01,2019,11,0.002789284657127,,
2019-12-01,2019,12,0.0026085894402193,,
2020-01-01,2020,1,0.0030056826090968,,
2020-02-01,2020,2,0.0031947346353696,,
2020-03-01,2020,3,0.0032654163952341,,
