Year,Month,All Fresh Retail Beef,Choice Retail Beef,Retail Chicken,Retail Pork,Time,Beef
1988,1,100.0,100.0,100.0,100.0,1988-01-01,200.0
1988,2,89.16,89.09,98.38,95.82,1988-02-01,178.25
1988,3,94.55,94.36,108.1,111.94,1988-03-01,188.91
1988,4,90.14,89.65,99.66,105.18,1988-04-01,179.79000000000002
1988,5,90.74,90.45,102.58,96.46,1988-05-01,181.19
1988,6,100.02,100.08,109.04,95.34,1988-06-01,200.1
1988,7,96.98,96.51,98.91,87.16,1988-07-01,193.49
1988,8,106.19,105.81,110.9,95.94,1988-08-01,212.0
1988,9,95.93,95.75,110.71,114.01,1988-09-01,191.68
1988,10,92.49,91.35,110.2,123.03,1988-10-01,183.83999999999997
1988,11,87.86,87.09,102.83,123.68,1988-11-01,174.95
1988,12,86.26,85.2,101.89,116.92,1988-12-01,171.46
1989,1,94.53,92.67,109.11,110.35,1989-01-01,187.2
1989,2,83.76,81.15,97.04,100.36,1989-02-01,164.91000000000003
1989,3,88.31,86.33,113.11,112.57,1989-03-01,174.64
1989,4,81.84,79.9,103.15,111.71,1989-04-01,161.74
1989,5,91.89,90.39,121.65,107.86,1989-05-01,182.28
1989,6,93.79,92.49,121.4,97.98,1989-06-01,186.28
1989,7,89.59,87.78,106.61,85.59,1989-07-01,177.37
1989,8,97.18,95.26,125.82,101.23,1989-08-01,192.44
1989,9,87.56,85.17,111.25,107.46,1989-09-01,172.73000000000002
1989,10,91.6,90.12,114.4,112.48,1989-10-01,181.72
1989,11,89.38,87.63,106.4,115.83,1989-11-01,177.01
1989,12,87.75,85.85,112.29,101.23,1989-12-01,173.6
1990,1,93.44,91.85,120.52,110.9,1990-01-01,185.29
1990,2,83.6,80.51,100.76,101.31,1990-02-01,164.11
1990,3,92.22,89.41,115.44,107.62,1990-03-01,181.63
1990,4,83.37,80.94,111.78,104.62,1990-04-01,164.31
1990,5,93.46,92.13,121.82,103.11,1990-05-01,185.58999999999997
1990,6,94.94,92.5,114.67,94.48,1990-06-01,187.44
1990,7,93.34,90.59,114.3,91.36,1990-07-01,183.93
1990,8,95.36,93.03,124.95,107.45,1990-08-01,188.39
1990,9,86.46,83.61,103.11,101.84,1990-09-01,170.07
1990,10,96.19,93.97,128.33,116.47,1990-10-01,190.16
1990,11,87.27,85.76,113.48,112.14,1990-11-01,173.03
