ds,Time,Month,taylor_swift,taylor_swift_lyrics,taylor_swift_album,taylor_swift_songs,taylor_swift_tour,speak_now,ts_1989,red,reputation,lover,drake,drake_lyrics,drake_album,drake_songs,drake_tour,views,scorpion,nwts,tml,take_care,all_ts_albums,all_drake_albums
2003-12-31,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,7.381578947368421,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
2004-01-31,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7105263157894735,0.3355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-29,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,6.039473684210526,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
2004-03-31,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,6.7105263157894735,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
2004-04-30,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,6.039473684210526,0.3355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
2004-05-31,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.368421052631579,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-30,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.4337349397590362,5.368421052631579,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194492254733219,0.0
2004-07-31,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,5.368421052631579,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
2004-08-31,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2168674698795181,7.381578947368421,0.3355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025817555938038,0.0
2004-09-30,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,6.7105263157894735,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
2004-10-31,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.4337349397590362,6.7105263157894735,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0051635111876076,0.0
2004-11-30,11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2168674698795181,6.7105263157894735,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025817555938038,0.0
2004-12-31,12,1,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.4337349397590362,7.381578947368421,0.16776315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0051635111876076,0.0
