,DATE,A229RX0,Month,Year
0,2004-01-01,37840.0,1,2004
1,2004-02-01,37884.0,2,2004
2,2004-03-01,38011.0,3,2004
3,2004-04-01,38111.0,4,2004
4,2004-05-01,38272.0,5,2004
5,2004-06-01,38266.0,6,2004
6,2004-07-01,38318.0,7,2004
7,2004-08-01,38401.0,8,2004
8,2004-09-01,38385.0,9,2004
9,2004-10-01,38362.0,10,2004
10,2004-11-01,38208.0,11,2004
11,2004-12-01,39581.0,12,2004
12,2005-01-01,38086.0,1,2005
13,2005-02-01,38070.0,2,2005
14,2005-03-01,38180.0,3,2005
15,2005-04-01,38273.0,4,2005
16,2005-05-01,38408.0,5,2005
17,2005-06-01,38454.0,6,2005
18,2005-07-01,38460.0,7,2005
19,2005-08-01,38487.0,8,2005
20,2005-09-01,38318.0,9,2005
21,2005-10-01,38499.0,10,2005
22,2005-11-01,38709.0,11,2005
23,2005-12-01,38798.0,12,2005
24,2006-01-01,39162.0,1,2006
25,2006-02-01,39306.0,2,2006
26,2006-03-01,39428.0,3,2006
27,2006-04-01,39388.0,4,2006
28,2006-05-01,39332.0,5,2006
29,2006-06-01,39350.0,6,2006
30,2006-07-01,39299.0,7,2006
31,2006-08-01,39231.0,8,2006
32,2006-09-01,39406.0,9,2006
33,2006-10-01,39550.0,10,2006
34,2006-11-01,39680.0,11,2006
35,2006-12-01,39838.0,12,2006
36,2007-01-01,39803.0,1,2007
37,2007-02-01,39906.0,2,2007
38,2007-03-01,40007.0,3,2007
39,2007-04-01,40037.0,4,2007
40,2007-05-01,40029.0,5,2007
41,2007-06-01,39974.0,6,2007
42,2007-07-01,39983.0,7,2007
43,2007-08-01,39962.0,8,2007
44,2007-09-01,39988.0,9,2007
45,2007-10-01,39923.0,10,2007
46,2007-11-01,39857.0,11,2007
47,2007-12-01,39993.0,12,2007
48,2008-01-01,40020.0,1,2008
49,2008-02-01,40007.0,2,2008
50,2008-03-01,39992.0,3,2008
51,2008-04-01,39815.0,4,2008
52,2008-05-01,41742.0,5,2008
53,2008-06-01,40660.0,6,2008
54,2008-07-01,40009.0,7,2008
55,2008-08-01,39752.0,8,2008
56,2008-09-01,39812.0,9,2008
57,2008-10-01,40080.0,10,2008
58,2008-11-01,40396.0,11,2008
59,2008-12-01,40182.0,12,2008
60,2009-01-01,40393.0,1,2009
61,2009-02-01,39975.0,2,2009
62,2009-03-01,39952.0,3,2009
63,2009-04-01,40177.0,4,2009
64,2009-05-01,40735.0,5,2009
65,2009-06-01,39966.0,6,2009
66,2009-07-01,39759.0,7,2009
67,2009-08-01,39649.0,8,2009
68,2009-09-01,39732.0,9,2009
69,2009-10-01,39579.0,10,2009
70,2009-11-01,39652.0,11,2009
71,2009-12-01,39807.0,12,2009
72,2010-01-01,39798.0,1,2010
73,2010-02-01,39792.0,2,2010
74,2010-03-01,39924.0,3,2010
75,2010-04-01,40244.0,4,2010
76,2010-05-01,40520.0,5,2010
77,2010-06-01,40506.0,6,2010
78,2010-07-01,40509.0,7,2010
79,2010-08-01,40598.0,8,2010
80,2010-09-01,40562.0,9,2010
81,2010-10-01,40541.0,10,2010
82,2010-11-01,40554.0,11,2010
83,2010-12-01,40771.0,12,2010
84,2011-01-01,40938.0,1,2011
85,2011-02-01,41033.0,2,2011
86,2011-03-01,40901.0,3,2011
87,2011-04-01,40807.0,4,2011
88,2011-05-01,40731.0,5,2011
89,2011-06-01,40868.0,6,2011
90,2011-07-01,40995.0,7,2011
91,2011-08-01,40945.0,8,2011
92,2011-09-01,40857.0,9,2011
93,2011-10-01,40861.0,10,2011
94,2011-11-01,40806.0,11,2011
95,2011-12-01,41150.0,12,2011
96,2012-01-01,41346.0,1,2012
97,2012-02-01,41520.0,2,2012
98,2012-03-01,41614.0,3,2012
99,2012-04-01,41749.0,4,2012
100,2012-05-01,41710.0,5,2012
101,2012-06-01,41634.0,6,2012
102,2012-07-01,41296.0,7,2012
103,2012-08-01,41144.0,8,2012
104,2012-09-01,41404.0,9,2012
105,2012-10-01,41656.0,10,2012
106,2012-11-01,42180.0,11,2012
107,2012-12-01,43190.0,12,2012
108,2013-01-01,40645.0,1,2013
