Category: All categories

Month,Forks Over Knives: (United States),Okja: (United States)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,<1,0
2010-03,<1,0
2010-04,0,0
2010-05,<1,0
2010-06,<1,0
2010-07,<1,0
2010-08,<1,0
2010-09,<1,0
2010-10,1,0
2010-11,1,0
2010-12,1,0
2011-01,3,0
2011-02,2,0
2011-03,2,0
2011-04,4,0
2011-05,19,0
2011-06,12,0
2011-07,11,0
2011-08,8,0
2011-09,28,0
2011-10,20,0
2011-11,16,0
2011-12,14,0
2012-01,21,0
2012-02,19,0
2012-03,18,0
2012-04,17,0
2012-05,14,0
2012-06,14,0
2012-07,15,0
2012-08,13,0
2012-09,13,0
2012-10,11,0
2012-11,11,0
2012-12,10,0
2013-01,14,0
2013-02,13,0
2013-03,13,0
2013-04,12,0
2013-05,10,0
2013-06,10,0
2013-07,10,0
2013-08,8,0
2013-09,7,0
2013-10,7,0
2013-11,7,0
2013-12,6,0
2014-01,8,0
2014-02,7,0
2014-03,7,0
2014-04,7,0
2014-05,6,0
2014-06,6,0
2014-07,7,0
2014-08,6,0
2014-09,6,0
2014-10,5,0
2014-11,6,0
2014-12,5,0
2015-01,7,0
2015-02,6,0
2015-03,6,0
2015-04,6,0
2015-05,5,0
2015-06,5,0
2015-07,6,0
2015-08,6,0
2015-09,6,0
2015-10,6,<1
2015-11,5,<1
2015-12,5,<1
2016-01,6,<1
2016-02,5,<1
2016-03,6,<1
2016-04,6,1
2016-05,5,<1
2016-06,4,<1
2016-07,5,1
2016-08,4,<1
2016-09,4,<1
2016-10,4,1
2016-11,4,<1
2016-12,5,0
2017-01,8,0
2017-02,7,0
2017-03,7,2
2017-04,6,2
2017-05,6,10
2017-06,7,39
2017-07,10,100
2017-08,9,18
2017-09,7,9
2017-10,7,8
2017-11,6,6
2017-12,7,9
2018-01,10,8
2018-02,8,6
2018-03,8,4
2018-04,7,4
2018-05,6,3
2018-06,7,3
2018-07,7,3
2018-08,6,3
2018-09,6,2
2018-10,5,2
2018-11,6,2
2018-12,5,2
2019-01,8,2
2019-02,6,2
2019-03,7,2
2019-04,7,1
2019-05,6,2
2019-06,6,2
2019-07,7,2
2019-08,7,1
2019-09,7,2
2019-10,9,2
2019-11,9,3
2019-12,8,3
2020-01,12,4
2020-02,10,9
2020-03,7,5
2020-04,6,7
2020-05,6,4
2020-06,6,4
2020-07,7,3
2020-08,6,2
2020-09,6,2
2020-10,5,2
2020-11,4,2
2020-12,4,2
2021-01,6,3
2021-02,5,2
2021-03,4,2
2021-04,5,2
2021-05,4,2
2021-06,4,2
2021-07,4,2
2021-08,4,2
2021-09,4,2
2021-10,4,2
2021-11,4,2
2021-12,4,1
2022-01,5,2
2022-02,5,2
2022-03,4,2
2022-04,4,3
2022-05,4,2
2022-06,3,2
2022-07,4,2
2022-08,4,1
2022-09,4,1
2022-10,3,1
2022-11,4,1
2022-12,3,2
2023-01,4,5
2023-02,3,11
2023-03,3,4
2023-04,3,3
2023-05,3,2
2023-06,3,2
2023-07,3,2
2023-08,3,2
2023-09,3,2
2023-10,3,1
2023-11,2,2
2023-12,3,2
2024-01,4,2
2024-02,3,2
2024-03,3,1
2024-04,2,1
2024-05,2,1
