Category: All categories

Month,"""you are what you eat"": (United States)","""okja"": (United States)"
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,2,0
2004-07,3,0
2004-08,3,0
2004-09,2,0
2004-10,0,0
2004-11,3,0
2004-12,0,0
2005-01,2,0
2005-02,0,0
2005-03,2,0
2005-04,2,0
2005-05,1,0
2005-06,0,0
2005-07,2,0
2005-08,0,0
2005-09,1,0
2005-10,1,0
2005-11,1,0
2005-12,1,0
2006-01,1,0
2006-02,2,0
2006-03,2,0
2006-04,1,0
2006-05,1,0
2006-06,1,0
2006-07,1,0
2006-08,1,0
2006-09,1,0
2006-10,2,0
2006-11,2,0
2006-12,1,0
2007-01,2,0
2007-02,1,0
2007-03,2,0
2007-04,1,0
2007-05,1,1
2007-06,1,0
2007-07,1,0
2007-08,1,0
2007-09,5,0
2007-10,5,0
2007-11,6,0
2007-12,10,0
2008-01,12,0
2008-02,10,0
2008-03,8,0
2008-04,7,0
2008-05,6,0
2008-06,7,0
2008-07,7,0
2008-08,6,0
2008-09,5,0
2008-10,5,0
2008-11,4,0
2008-12,4,0
2009-01,5,0
2009-02,4,0
2009-03,3,0
2009-04,2,0
2009-05,2,0
2009-06,3,0
2009-07,4,0
2009-08,5,0
2009-09,3,0
2009-10,3,0
2009-11,4,0
2009-12,3,0
2010-01,3,0
2010-02,3,0
2010-03,4,0
2010-04,2,0
2010-05,2,0
2010-06,2,0
2010-07,2,0
2010-08,2,0
2010-09,1,0
2010-10,2,0
2010-11,4,0
2010-12,2,0
2011-01,3,0
2011-02,2,0
2011-03,2,0
2011-04,2,0
2011-05,2,0
2011-06,2,0
2011-07,2,0
2011-08,2,0
2011-09,2,0
2011-10,2,0
2011-11,2,0
2011-12,2,0
2012-01,2,0
2012-02,2,0
2012-03,2,0
2012-04,2,0
2012-05,2,0
2012-06,2,0
2012-07,1,0
2012-08,1,0
2012-09,1,0
2012-10,1,0
2012-11,1,0
2012-12,1,0
2013-01,2,0
2013-02,2,0
2013-03,2,0
2013-04,2,0
2013-05,1,0
2013-06,2,0
2013-07,1,0
2013-08,1,0
2013-09,2,0
2013-10,1,0
2013-11,1,0
2013-12,1,0
2014-01,1,0
2014-02,1,0
2014-03,1,0
2014-04,1,0
2014-05,1,0
2014-06,1,0
2014-07,1,0
2014-08,1,0
2014-09,1,0
2014-10,1,0
2014-11,1,0
2014-12,1,0
2015-01,1,0
2015-02,1,0
2015-03,1,0
2015-04,1,0
2015-05,1,0
2015-06,1,0
2015-07,1,0
2015-08,1,0
2015-09,1,0
2015-10,1,<1
2015-11,1,<1
2015-12,1,0
2016-01,1,0
2016-02,1,<1
2016-03,1,<1
2016-04,1,1
2016-05,1,<1
2016-06,1,<1
2016-07,1,1
2016-08,1,<1
2016-09,1,<1
2016-10,1,<1
2016-11,1,1
2016-12,1,2
2017-01,1,2
2017-02,1,2
2017-03,1,3
2017-04,1,2
2017-05,1,10
2017-06,1,37
2017-07,1,100
2017-08,1,19
2017-09,1,10
2017-10,1,8
2017-11,1,7
2017-12,1,8
2018-01,1,8
2018-02,1,5
2018-03,1,4
2018-04,1,3
2018-05,1,3
2018-06,1,3
2018-07,1,3
2018-08,1,3
2018-09,1,2
2018-10,1,2
2018-11,1,2
2018-12,1,2
2019-01,1,2
2019-02,1,2
2019-03,1,2
2019-04,1,1
2019-05,1,2
2019-06,1,1
2019-07,1,2
2019-08,1,1
2019-09,1,1
2019-10,1,2
2019-11,1,3
2019-12,1,3
2020-01,1,4
2020-02,1,9
2020-03,1,4
2020-04,1,7
2020-05,1,4
2020-06,1,4
2020-07,<1,3
2020-08,1,2
2020-09,1,2
2020-10,1,2
2020-11,<1,2
2020-12,1,2
2021-01,1,3
2021-02,1,2
2021-03,1,2
2021-04,1,2
2021-05,<1,2
2021-06,1,2
2021-07,<1,2
2021-08,<1,2
2021-09,1,2
2021-10,1,2
2021-11,<1,2
2021-12,<1,1
2022-01,1,2
2022-02,1,2
2022-03,1,2
2022-04,1,3
2022-05,1,2
2022-06,1,2
2022-07,<1,2
2022-08,1,1
2022-09,1,1
2022-10,1,1
2022-11,1,1
2022-12,1,2
2023-01,1,5
2023-02,1,11
2023-03,1,4
2023-04,1,3
2023-05,1,2
2023-06,<1,2
2023-07,<1,3
2023-08,<1,2
2023-09,1,2
2023-10,1,1
2023-11,1,2
2023-12,1,2
2024-01,29,2
2024-02,5,2
2024-03,3,1
2024-04,2,1
2024-05,2,1
