Search Term,vegan recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,17
2004-01-31,15
2004-02-29,14
2004-03-31,13
2004-04-30,13
2004-05-31,12
2004-06-30,20
2004-07-31,14
2004-08-31,15
2004-09-30,17
2004-10-31,23
2004-11-30,20
2004-12-31,17
2005-01-31,15
2005-02-28,16
2005-03-31,14
2005-04-30,16
2005-05-31,15
2005-06-30,17
2005-07-31,16
2005-08-31,15
2005-09-30,16
2005-10-31,23
2005-11-30,21
2005-12-31,16
2006-01-31,17
2006-02-28,15
2006-03-31,15
2006-04-30,14
2006-05-31,16
2006-06-30,14
2006-07-31,19
2006-08-31,17
2006-09-30,18
2006-10-31,21
2006-11-30,23
2006-12-31,18
2007-01-31,19
2007-02-28,18
2007-03-31,16
2007-04-30,18
2007-05-31,18
2007-06-30,20
2007-07-31,19
2007-08-31,18
2007-09-30,21
2007-10-31,27
2007-11-30,26
2007-12-31,22
2008-01-31,19
2008-02-29,21
2008-03-31,19
2008-04-30,20
2008-05-31,21
2008-06-30,20
2008-07-31,20
2008-08-31,21
2008-09-30,20
2008-10-31,29
2008-11-30,28
2008-12-31,23
2009-01-31,24
2009-02-28,23
2009-03-31,23
2009-04-30,22
2009-05-31,25
2009-06-30,25
2009-07-31,26
2009-08-31,26
2009-09-30,30
2009-10-31,41
2009-11-30,34
2009-12-31,35
2010-01-31,31
2010-02-28,31
2010-03-31,30
2010-04-30,27
2010-05-31,27
2010-06-30,27
2010-07-31,28
2010-08-31,27
2010-09-30,27
2010-10-31,36
2010-11-30,35
2010-12-31,39
2011-01-31,38
2011-02-28,36
2011-03-31,34
2011-04-30,32
2011-05-31,34
2011-06-30,35
2011-07-31,35
2011-08-31,37
2011-09-30,45
2011-10-31,49
2011-11-30,53
2011-12-31,51
2012-01-31,43
2012-02-29,45
2012-03-31,45
2012-04-30,43
2012-05-31,44
2012-06-30,46
2012-07-31,47
2012-08-31,46
2012-09-30,44
2012-10-31,50
2012-11-30,49
2012-12-31,55
2013-01-31,54
2013-02-28,55
2013-03-31,41
2013-04-30,41
2013-05-31,45
2013-06-30,46
2013-07-31,44
2013-08-31,42
2013-09-30,43
2013-10-31,51
2013-11-30,48
2013-12-31,47
2014-01-31,43
2014-02-28,39
2014-03-31,38
2014-04-30,36
2014-05-31,37
2014-06-30,39
2014-07-31,38
2014-08-31,35
2014-09-30,32
2014-10-31,43
2014-11-30,36
2014-12-31,41
2015-01-31,36
2015-02-28,34
2015-03-31,35
2015-04-30,29
2015-05-31,33
2015-06-30,38
2015-07-31,34
2015-08-31,34
2015-09-30,34
2015-10-31,45
2015-11-30,42
2015-12-31,42
2016-01-31,39
2016-02-29,36
2016-03-31,37
2016-04-30,41
2016-05-31,35
2016-06-30,37
2016-07-31,33
2016-08-31,32
2016-09-30,36
2016-10-31,43
2016-11-30,45
2016-12-31,48
2017-01-31,40
2017-02-28,46
2017-03-31,39
2017-04-30,37
2017-05-31,46
2017-06-30,63
2017-07-31,65
2017-08-31,56
2017-09-30,57
2017-10-31,79
2017-11-30,76
2017-12-31,74
2018-01-31,67
2018-02-28,62
2018-03-31,54
2018-04-30,52
2018-05-31,53
2018-06-30,58
2018-07-31,53
2018-08-31,51
2018-09-30,52
2018-10-31,69
2018-11-30,68
2018-12-31,65
2019-01-31,58
2019-02-28,54
2019-03-31,50
2019-04-30,50
2019-05-31,56
2019-06-30,54
2019-07-31,55
2019-08-31,58
2019-09-30,64
2019-10-31,92
2019-11-30,83
2019-12-31,81
2020-01-31,70
2020-02-29,77
2020-03-31,100
2020-04-30,90
2020-05-31,73
2020-06-30,75
2020-07-31,71
2020-08-31,64
2020-09-30,65
2020-10-31,76
2020-11-30,81
2020-12-31,69
2021-01-31,69
2021-02-28,57
2021-03-31,55
2021-04-30,53
2021-05-31,51
2021-06-30,51
2021-07-31,52
2021-08-31,50
2021-09-30,56
2021-10-31,77
2021-11-30,69
2021-12-31,79
2022-01-31,65
2022-02-28,62
2022-03-31,59
2022-04-30,57
2022-05-31,56
2022-06-30,59
2022-07-31,57
2022-08-31,53
2022-09-30,61
2022-10-31,76
2022-11-30,76
2022-12-31,63
2023-01-31,60
2023-02-28,50
2023-03-31,53
2023-04-30,47
2023-05-31,52
2023-06-30,52
2023-07-31,48
2023-08-31,51
2023-09-30,52
2023-10-31,69
2023-11-30,69
2023-12-31,70
2024-01-31,58
2024-02-29,55
2024-03-31,46
2024-04-30,45
