Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,23
2004-01-31,23
2004-02-29,21
2004-03-31,23
2004-04-30,21
2004-05-31,19
2004-06-30,21
2004-07-31,18
2004-08-31,19
2004-09-30,22
2004-10-31,32
2004-11-30,29
2004-12-31,23
2005-01-31,21
2005-02-28,23
2005-03-31,24
2005-04-30,21
2005-05-31,19
2005-06-30,20
2005-07-31,23
2005-08-31,19
2005-09-30,22
2005-10-31,28
2005-11-30,24
2005-12-31,20
2006-01-31,19
2006-02-28,21
2006-03-31,18
2006-04-30,18
2006-05-31,20
2006-06-30,20
2006-07-31,19
2006-08-31,21
2006-09-30,22
2006-10-31,26
2006-11-30,24
2006-12-31,23
2007-01-31,24
2007-02-28,26
2007-03-31,22
2007-04-30,22
2007-05-31,22
2007-06-30,22
2007-07-31,23
2007-08-31,23
2007-09-30,26
2007-10-31,32
2007-11-30,29
2007-12-31,27
2008-01-31,26
2008-02-29,25
2008-03-31,23
2008-04-30,22
2008-05-31,26
2008-06-30,22
2008-07-31,23
2008-08-31,26
2008-09-30,25
2008-10-31,32
2008-11-30,29
2008-12-31,31
2009-01-31,26
2009-02-28,27
2009-03-31,27
2009-04-30,26
2009-05-31,29
2009-06-30,28
2009-07-31,32
2009-08-31,27
2009-09-30,32
2009-10-31,44
2009-11-30,37
2009-12-31,42
2010-01-31,36
2010-02-28,42
2010-03-31,35
2010-04-30,32
2010-05-31,32
2010-06-30,29
2010-07-31,29
2010-08-31,33
2010-09-30,33
2010-10-31,37
2010-11-30,37
2010-12-31,45
2011-01-31,54
2011-02-28,48
2011-03-31,44
2011-04-30,37
2011-05-31,37
2011-06-30,41
2011-07-31,45
2011-08-31,51
2011-09-30,51
2011-10-31,58
2011-11-30,53
2011-12-31,61
2012-01-31,56
2012-02-29,53
2012-03-31,53
2012-04-30,49
2012-05-31,53
2012-06-30,52
2012-07-31,49
2012-08-31,53
2012-09-30,47
2012-10-31,50
2012-11-30,50
2012-12-31,64
2013-01-31,57
2013-02-28,56
2013-03-31,52
2013-04-30,51
2013-05-31,47
2013-06-30,49
2013-07-31,49
2013-08-31,47
2013-09-30,49
2013-10-31,55
2013-11-30,47
2013-12-31,63
2014-01-31,54
2014-02-28,58
2014-03-31,45
2014-04-30,41
2014-05-31,44
2014-06-30,46
2014-07-31,40
2014-08-31,40
2014-09-30,41
2014-10-31,48
2014-11-30,37
2014-12-31,50
2015-01-31,39
2015-02-28,43
2015-03-31,36
2015-04-30,40
2015-05-31,42
2015-06-30,43
2015-07-31,40
2015-08-31,40
2015-09-30,43
2015-10-31,47
2015-11-30,46
2015-12-31,57
2016-01-31,45
2016-02-29,50
2016-03-31,48
2016-04-30,50
2016-05-31,45
2016-06-30,45
2016-07-31,41
2016-08-31,39
2016-09-30,42
2016-10-31,49
2016-11-30,51
2016-12-31,56
2017-01-31,44
2017-02-28,51
2017-03-31,46
2017-04-30,41
2017-05-31,49
2017-06-30,100
2017-07-31,100
2017-08-31,79
2017-09-30,76
2017-10-31,84
2017-11-30,84
2017-12-31,93
2018-01-31,82
2018-02-28,77
2018-03-31,67
2018-04-30,61
2018-05-31,65
2018-06-30,62
2018-07-31,62
2018-08-31,58
2018-09-30,59
2018-10-31,74
2018-11-30,69
2018-12-31,76
2019-01-31,62
2019-02-28,56
2019-03-31,58
2019-04-30,50
2019-05-31,55
2019-06-30,58
2019-07-31,56
2019-08-31,52
2019-09-30,67
2019-10-31,89
2019-11-30,81
2019-12-31,91
2020-01-31,72
2020-02-29,66
2020-03-31,78
2020-04-30,76
2020-05-31,71
2020-06-30,72
2020-07-31,66
2020-08-31,61
2020-09-30,60
2020-10-31,63
2020-11-30,63
2020-12-31,66
2021-01-31,59
2021-02-28,53
2021-03-31,48
2021-04-30,46
2021-05-31,42
2021-06-30,43
2021-07-31,41
2021-08-31,38
2021-09-30,42
2021-10-31,54
2021-11-30,49
2021-12-31,59
2022-01-31,45
2022-02-28,48
2022-03-31,45
2022-04-30,41
2022-05-31,38
2022-06-30,41
2022-07-31,40
2022-08-31,33
2022-09-30,39
2022-10-31,47
2022-11-30,41
2022-12-31,44
2023-01-31,34
2023-02-28,34
2023-03-31,32
2023-04-30,29
2023-05-31,31
2023-06-30,31
2023-07-31,30
2023-08-31,28
2023-09-30,28
2023-10-31,36
2023-11-30,33
2023-12-31,55
2024-01-31,33
2024-02-29,32
2024-03-31,29
2024-04-30,26
