Search Term,vegetarian diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,0
2005-05-31,0
2005-06-30,0
2005-07-31,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-31,0
2006-01-31,49
2006-02-28,50
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,36
2007-01-31,0
2007-02-28,0
2007-03-31,0
2007-04-30,0
2007-05-31,31
2007-06-30,0
2007-07-31,0
2007-08-31,0
2007-09-30,29
2007-10-31,0
2007-11-30,0
2007-12-31,44
2008-01-31,43
2008-02-29,21
2008-03-31,0
2008-04-30,0
2008-05-31,0
2008-06-30,34
2008-07-31,26
2008-08-31,33
2008-09-30,0
2008-10-31,22
2008-11-30,41
2008-12-31,35
2009-01-31,23
2009-02-28,38
2009-03-31,26
2009-04-30,49
2009-05-31,43
2009-06-30,50
2009-07-31,33
2009-08-31,52
2009-09-30,53
2009-10-31,70
2009-11-30,71
2009-12-31,76
2010-01-31,72
2010-02-28,92
2010-03-31,73
2010-04-30,70
2010-05-31,65
2010-06-30,45
2010-07-31,54
2010-08-31,73
2010-09-30,52
2010-10-31,50
2010-11-30,67
2010-12-31,95
2011-01-31,75
2011-02-28,72
2011-03-31,62
2011-04-30,73
2011-05-31,66
2011-06-30,68
2011-07-31,83
2011-08-31,68
2011-09-30,58
2011-10-31,61
2011-11-30,60
2011-12-31,91
2012-01-31,79
2012-02-29,76
2012-03-31,80
2012-04-30,82
2012-05-31,90
2012-06-30,94
2012-07-31,78
2012-08-31,71
2012-09-30,66
2012-10-31,57
2012-11-30,71
2012-12-31,90
2013-01-31,82
2013-02-28,69
2013-03-31,88
2013-04-30,79
2013-05-31,83
2013-06-30,74
2013-07-31,64
2013-08-31,70
2013-09-30,69
2013-10-31,49
2013-11-30,73
2013-12-31,100
2014-01-31,76
2014-02-28,77
2014-03-31,83
2014-04-30,83
2014-05-31,75
2014-06-30,79
2014-07-31,65
2014-08-31,54
2014-09-30,66
2014-10-31,49
2014-11-30,56
2014-12-31,73
2015-01-31,63
2015-02-28,82
2015-03-31,78
2015-04-30,71
2015-05-31,76
2015-06-30,75
2015-07-31,71
2015-08-31,64
2015-09-30,60
2015-10-31,58
2015-11-30,72
2015-12-31,77
2016-01-31,79
2016-02-29,79
2016-03-31,68
2016-04-30,66
2016-05-31,67
2016-06-30,61
2016-07-31,58
2016-08-31,58
2016-09-30,48
2016-10-31,55
2016-11-30,61
2016-12-31,71
2017-01-31,75
2017-02-28,80
2017-03-31,77
2017-04-30,60
2017-05-31,76
2017-06-30,94
2017-07-31,87
2017-08-31,70
2017-09-30,66
2017-10-31,60
2017-11-30,67
2017-12-31,93
2018-01-31,86
2018-02-28,77
2018-03-31,63
2018-04-30,78
2018-05-31,79
2018-06-30,88
2018-07-31,78
2018-08-31,56
2018-09-30,61
2018-10-31,54
2018-11-30,55
2018-12-31,82
2019-01-31,64
2019-02-28,59
2019-03-31,61
2019-04-30,59
2019-05-31,60
2019-06-30,60
2019-07-31,55
2019-08-31,53
2019-09-30,54
2019-10-31,65
2019-11-30,66
2019-12-31,74
2020-01-31,61
2020-02-29,40
2020-03-31,43
2020-04-30,53
2020-05-31,60
2020-06-30,53
2020-07-31,48
2020-08-31,43
2020-09-30,40
2020-10-31,35
2020-11-30,43
2020-12-31,55
2021-01-31,51
2021-02-28,46
2021-03-31,43
2021-04-30,46
2021-05-31,38
2021-06-30,44
2021-07-31,43
2021-08-31,39
2021-09-30,38
2021-10-31,31
2021-11-30,35
2021-12-31,47
2022-01-31,36
2022-02-28,35
2022-03-31,39
2022-04-30,39
2022-05-31,37
2022-06-30,35
2022-07-31,25
2022-08-31,29
2022-09-30,31
2022-10-31,22
2022-11-30,29
2022-12-31,40
2023-01-31,38
2023-02-28,32
2023-03-31,29
2023-04-30,35
2023-05-31,31
2023-06-30,32
2023-07-31,29
2023-08-31,34
2023-09-30,25
2023-10-31,25
2023-11-30,23
2023-12-31,39
2024-01-31,30
2024-02-29,29
2024-03-31,28
2024-04-30,30
