Search Term,vegetarian recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,79
2004-01-31,55
2004-02-29,58
2004-03-31,43
2004-04-30,47
2004-05-31,46
2004-06-30,44
2004-07-31,45
2004-08-31,47
2004-09-30,55
2004-10-31,73
2004-11-30,61
2004-12-31,65
2005-01-31,60
2005-02-28,52
2005-03-31,53
2005-04-30,50
2005-05-31,40
2005-06-30,44
2005-07-31,38
2005-08-31,43
2005-09-30,56
2005-10-31,65
2005-11-30,61
2005-12-31,57
2006-01-31,52
2006-02-28,48
2006-03-31,47
2006-04-30,41
2006-05-31,40
2006-06-30,47
2006-07-31,48
2006-08-31,48
2006-09-30,54
2006-10-31,58
2006-11-30,57
2006-12-31,59
2007-01-31,54
2007-02-28,43
2007-03-31,41
2007-04-30,40
2007-05-31,39
2007-06-30,40
2007-07-31,44
2007-08-31,39
2007-09-30,47
2007-10-31,56
2007-11-30,59
2007-12-31,59
2008-01-31,51
2008-02-29,46
2008-03-31,39
2008-04-30,42
2008-05-31,40
2008-06-30,41
2008-07-31,38
2008-08-31,40
2008-09-30,51
2008-10-31,65
2008-11-30,62
2008-12-31,68
2009-01-31,58
2009-02-28,53
2009-03-31,45
2009-04-30,51
2009-05-31,52
2009-06-30,52
2009-07-31,58
2009-08-31,62
2009-09-30,75
2009-10-31,96
2009-11-30,91
2009-12-31,99
2010-01-31,88
2010-02-28,74
2010-03-31,63
2010-04-30,64
2010-05-31,54
2010-06-30,54
2010-07-31,53
2010-08-31,58
2010-09-30,69
2010-10-31,85
2010-11-30,81
2010-12-31,99
2011-01-31,76
2011-02-28,71
2011-03-31,64
2011-04-30,61
2011-05-31,59
2011-06-30,61
2011-07-31,64
2011-08-31,71
2011-09-30,81
2011-10-31,84
2011-11-30,87
2011-12-31,100
2012-01-31,78
2012-02-29,71
2012-03-31,66
2012-04-30,63
2012-05-31,64
2012-06-30,67
2012-07-31,63
2012-08-31,71
2012-09-30,67
2012-10-31,76
2012-11-30,81
2012-12-31,88
2013-01-31,82
2013-02-28,77
2013-03-31,64
2013-04-30,59
2013-05-31,57
2013-06-30,62
2013-07-31,61
2013-08-31,67
2013-09-30,67
2013-10-31,83
2013-11-30,82
2013-12-31,84
2014-01-31,74
2014-02-28,65
2014-03-31,57
2014-04-30,52
2014-05-31,52
2014-06-30,53
2014-07-31,54
2014-08-31,55
2014-09-30,57
2014-10-31,73
2014-11-30,63
2014-12-31,67
2015-01-31,61
2015-02-28,54
2015-03-31,46
2015-04-30,43
2015-05-31,45
2015-06-30,48
2015-07-31,48
2015-08-31,47
2015-09-30,56
2015-10-31,71
2015-11-30,64
2015-12-31,66
2016-01-31,54
2016-02-29,48
2016-03-31,43
2016-04-30,44
2016-05-31,40
2016-06-30,40
2016-07-31,40
2016-08-31,42
2016-09-30,51
2016-10-31,51
2016-11-30,56
2016-12-31,64
2017-01-31,51
2017-02-28,55
2017-03-31,45
2017-04-30,41
2017-05-31,43
2017-06-30,51
2017-07-31,48
2017-08-31,48
2017-09-30,54
2017-10-31,65
2017-11-30,71
2017-12-31,71
2018-01-31,67
2018-02-28,58
2018-03-31,50
2018-04-30,44
2018-05-31,46
2018-06-30,52
2018-07-31,52
2018-08-31,49
2018-09-30,52
2018-10-31,63
2018-11-30,64
2018-12-31,61
2019-01-31,52
2019-02-28,50
2019-03-31,44
2019-04-30,42
2019-05-31,43
2019-06-30,43
2019-07-31,46
2019-08-31,49
2019-09-30,56
2019-10-31,70
2019-11-30,61
2019-12-31,65
2020-01-31,56
2020-02-29,56
2020-03-31,71
2020-04-30,65
2020-05-31,52
2020-06-30,57
2020-07-31,52
2020-08-31,52
2020-09-30,55
2020-10-31,60
2020-11-30,67
2020-12-31,61
2021-01-31,55
2021-02-28,47
2021-03-31,42
2021-04-30,42
2021-05-31,38
2021-06-30,40
2021-07-31,42
2021-08-31,43
2021-09-30,52
2021-10-31,66
2021-11-30,58
2021-12-31,72
2022-01-31,57
2022-02-28,51
2022-03-31,48
2022-04-30,46
2022-05-31,45
2022-06-30,50
2022-07-31,44
2022-08-31,49
2022-09-30,56
2022-10-31,71
2022-11-30,65
2022-12-31,63
2023-01-31,58
2023-02-28,52
2023-03-31,52
2023-04-30,42
2023-05-31,42
2023-06-30,41
2023-07-31,44
2023-08-31,45
2023-09-30,55
2023-10-31,62
2023-11-30,63
2023-12-31,70
2024-01-31,58
2024-02-29,53
2024-03-31,41
2024-04-30,39
