Search Term,vegetarian restaurant near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,0
2005-05-31,0
2005-06-30,0
2005-07-31,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-31,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,0
2007-02-28,0
2007-03-31,0
2007-04-30,0
2007-05-31,0
2007-06-30,0
2007-07-31,0
2007-08-31,0
2007-09-30,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-31,0
2008-06-30,0
2008-07-31,0
2008-08-31,0
2008-09-30,0
2008-10-31,0
2008-11-30,0
2008-12-31,0
2009-01-31,0
2009-02-28,0
2009-03-31,0
2009-04-30,0
2009-05-31,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,0
2010-02-28,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-31,0
2010-08-31,0
2010-09-30,0
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-30,0
2011-05-31,0
2011-06-30,0
2011-07-31,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-31,0
2012-01-31,0
2012-02-29,0
2012-03-31,0
2012-04-30,0
2012-05-31,0
2012-06-30,0
2012-07-31,0
2012-08-31,0
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-31,0
2013-04-30,0
2013-05-31,0
2013-06-30,0
2013-07-31,0
2013-08-31,0
2013-09-30,6
2013-10-31,0
2013-11-30,4
2013-12-31,0
2014-01-31,6
2014-02-28,7
2014-03-31,6
2014-04-30,7
2014-05-31,7
2014-06-30,9
2014-07-31,13
2014-08-31,5
2014-09-30,9
2014-10-31,11
2014-11-30,8
2014-12-31,10
2015-01-31,8
2015-02-28,13
2015-03-31,9
2015-04-30,10
2015-05-31,13
2015-06-30,15
2015-07-31,16
2015-08-31,15
2015-09-30,17
2015-10-31,20
2015-11-30,20
2015-12-31,22
2016-01-31,29
2016-02-29,28
2016-03-31,34
2016-04-30,39
2016-05-31,44
2016-06-30,53
2016-07-31,50
2016-08-31,49
2016-09-30,53
2016-10-31,46
2016-11-30,45
2016-12-31,47
2017-01-31,49
2017-02-28,57
2017-03-31,56
2017-04-30,63
2017-05-31,63
2017-06-30,94
2017-07-31,94
2017-08-31,73
2017-09-30,78
2017-10-31,73
2017-11-30,72
2017-12-31,77
2018-01-31,79
2018-02-28,77
2018-03-31,78
2018-04-30,73
2018-05-31,92
2018-06-30,87
2018-07-31,82
2018-08-31,79
2018-09-30,71
2018-10-31,65
2018-11-30,76
2018-12-31,74
2019-01-31,67
2019-02-28,81
2019-03-31,89
2019-04-30,97
2019-05-31,99
2019-06-30,100
2019-07-31,86
2019-08-31,87
2019-09-30,77
2019-10-31,60
2019-11-30,53
2019-12-31,68
2020-01-31,75
2020-02-29,40
2020-03-31,14
2020-04-30,23
2020-05-31,34
2020-06-30,39
2020-07-31,43
2020-08-31,45
2020-09-30,51
2020-10-31,42
2020-11-30,43
2020-12-31,55
2021-01-31,53
2021-02-28,65
2021-03-31,69
2021-04-30,88
2021-05-31,88
2021-06-30,97
2021-07-31,84
2021-08-31,79
2021-09-30,79
2021-10-31,75
2021-11-30,85
2021-12-31,67
2022-01-31,71
2022-02-28,78
2022-03-31,81
2022-04-30,76
2022-05-31,84
2022-06-30,82
2022-07-31,80
2022-08-31,69
2022-09-30,62
2022-10-31,62
2022-11-30,66
2022-12-31,69
2023-01-31,74
2023-02-28,66
2023-03-31,74
2023-04-30,79
2023-05-31,74
2023-06-30,88
2023-07-31,75
2023-08-31,66
2023-09-30,62
2023-10-31,52
2023-11-30,63
2023-12-31,53
2024-01-31,50
2024-02-29,61
2024-03-31,52
2024-04-30,54
