Search Term,restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,28
2004-01-31,33
2004-02-29,28
2004-03-31,27
2004-04-30,28
2004-05-31,28
2004-06-30,29
2004-07-31,28
2004-08-31,27
2004-09-30,27
2004-10-31,27
2004-11-30,28
2004-12-31,29
2005-01-31,31
2005-02-28,29
2005-03-31,31
2005-04-30,34
2005-05-31,29
2005-06-30,30
2005-07-31,29
2005-08-31,27
2005-09-30,29
2005-10-31,27
2005-11-30,29
2005-12-31,29
2006-01-31,31
2006-02-28,30
2006-03-31,28
2006-04-30,31
2006-05-31,30
2006-06-30,32
2006-07-31,32
2006-08-31,28
2006-09-30,29
2006-10-31,29
2006-11-30,30
2006-12-31,29
2007-01-31,32
2007-02-28,29
2007-03-31,29
2007-04-30,31
2007-05-31,32
2007-06-30,32
2007-07-31,32
2007-08-31,29
2007-09-30,28
2007-10-31,29
2007-11-30,30
2007-12-31,29
2008-01-31,31
2008-02-29,31
2008-03-31,28
2008-04-30,31
2008-05-31,30
2008-06-30,30
2008-07-31,30
2008-08-31,27
2008-09-30,27
2008-10-31,28
2008-11-30,30
2008-12-31,30
2009-01-31,33
2009-02-28,29
2009-03-31,29
2009-04-30,31
2009-05-31,34
2009-06-30,35
2009-07-31,32
2009-08-31,30
2009-09-30,31
2009-10-31,32
2009-11-30,32
2009-12-31,31
2010-01-31,35
2010-02-28,32
2010-03-31,32
2010-04-30,35
2010-05-31,36
2010-06-30,38
2010-07-31,35
2010-08-31,32
2010-09-30,32
2010-10-31,31
2010-11-30,34
2010-12-31,37
2011-01-31,42
2011-02-28,39
2011-03-31,39
2011-04-30,41
2011-05-31,50
2011-06-30,62
2011-07-31,51
2011-08-31,48
2011-09-30,49
2011-10-31,48
2011-11-30,52
2011-12-31,51
2012-01-31,56
2012-02-29,51
2012-03-31,52
2012-04-30,49
2012-05-31,57
2012-06-30,60
2012-07-31,57
2012-08-31,51
2012-09-30,46
2012-10-31,45
2012-11-30,47
2012-12-31,48
2013-01-31,52
2013-02-28,51
2013-03-31,48
2013-04-30,51
2013-05-31,55
2013-06-30,53
2013-07-31,50
2013-08-31,41
2013-09-30,39
2013-10-31,44
2013-11-30,44
2013-12-31,41
2014-01-31,45
2014-02-28,44
2014-03-31,44
2014-04-30,48
2014-05-31,51
2014-06-30,51
2014-07-31,50
2014-08-31,42
2014-09-30,42
2014-10-31,42
2014-11-30,45
2014-12-31,43
2015-01-31,48
2015-02-28,44
2015-03-31,44
2015-04-30,53
2015-05-31,57
2015-06-30,64
2015-07-31,58
2015-08-31,50
2015-09-30,50
2015-10-31,46
2015-11-30,52
2015-12-31,49
2016-01-31,56
2016-02-29,54
2016-03-31,57
2016-04-30,59
2016-05-31,63
2016-06-30,68
2016-07-31,58
2016-08-31,53
2016-09-30,58
2016-10-31,52
2016-11-30,61
2016-12-31,52
2017-01-31,59
2017-02-28,61
2017-03-31,63
2017-04-30,64
2017-05-31,71
2017-06-30,79
2017-07-31,70
2017-08-31,61
2017-09-30,61
2017-10-31,59
2017-11-30,65
2017-12-31,58
2018-01-31,66
2018-02-28,67
2018-03-31,68
2018-04-30,69
2018-05-31,80
2018-06-30,86
2018-07-31,73
2018-08-31,68
2018-09-30,64
2018-10-31,65
2018-11-30,73
2018-12-31,65
2019-01-31,67
2019-02-28,76
2019-03-31,70
2019-04-30,75
2019-05-31,82
2019-06-30,85
2019-07-31,74
2019-08-31,69
2019-09-30,69
2019-10-31,69
2019-11-30,72
2019-12-31,65
2020-01-31,73
2020-02-29,52
2020-03-31,30
2020-04-30,47
2020-05-31,64
2020-06-30,64
2020-07-31,64
2020-08-31,62
2020-09-30,61
2020-10-31,53
2020-11-30,57
2020-12-31,58
2021-01-31,64
2021-02-28,76
2021-03-31,74
2021-04-30,87
2021-05-31,92
2021-06-30,100
2021-07-31,81
2021-08-31,78
2021-09-30,74
2021-10-31,70
2021-11-30,75
2021-12-31,64
2022-01-31,81
2022-02-28,80
2022-03-31,80
2022-04-30,78
2022-05-31,80
2022-06-30,88
2022-07-31,81
2022-08-31,69
2022-09-30,71
2022-10-31,63
2022-11-30,71
2022-12-31,68
2023-01-31,72
2023-02-28,65
2023-03-31,74
2023-04-30,75
2023-05-31,81
2023-06-30,86
2023-07-31,71
2023-08-31,66
2023-09-30,62
2023-10-31,60
2023-11-30,63
2023-12-31,55
2024-01-31,59
2024-02-29,59
2024-03-31,58
2024-04-30,60
