Search Term,climate change
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,9
2004-01-31,14
2004-02-29,13
2004-03-31,12
2004-04-30,14
2004-05-31,8
2004-06-30,5
2004-07-31,5
2004-08-31,10
2004-09-30,13
2004-10-31,17
2004-11-30,13
2004-12-31,13
2005-01-31,14
2005-02-28,12
2005-03-31,14
2005-04-30,13
2005-05-31,8
2005-06-30,7
2005-07-31,7
2005-08-31,15
2005-09-30,15
2005-10-31,17
2005-11-30,12
2005-12-31,12
2006-01-31,16
2006-02-28,16
2006-03-31,21
2006-04-30,19
2006-05-31,16
2006-06-30,16
2006-07-31,13
2006-08-31,16
2006-09-30,19
2006-10-31,23
2006-11-30,27
2006-12-31,38
2007-01-31,48
2007-02-28,41
2007-03-31,51
2007-04-30,37
2007-05-31,20
2007-06-30,16
2007-07-31,15
2007-08-31,23
2007-09-30,32
2007-10-31,35
2007-11-30,30
2007-12-31,25
2008-01-31,27
2008-02-29,28
2008-03-31,36
2008-04-30,32
2008-05-31,18
2008-06-30,12
2008-07-31,9
2008-08-31,18
2008-09-30,23
2008-10-31,23
2008-11-30,21
2008-12-31,20
2009-01-31,21
2009-02-28,23
2009-03-31,26
2009-04-30,21
2009-05-31,16
2009-06-30,12
2009-07-31,9
2009-08-31,16
2009-09-30,22
2009-10-31,31
2009-11-30,37
2009-12-31,20
2010-01-31,23
2010-02-28,19
2010-03-31,21
2010-04-30,17
2010-05-31,8
2010-06-30,6
2010-07-31,6
2010-08-31,10
2010-09-30,12
2010-10-31,13
2010-11-30,12
2010-12-31,11
2011-01-31,13
2011-02-28,12
2011-03-31,13
2011-04-30,12
2011-05-31,8
2011-06-30,6
2011-07-31,7
2011-08-31,10
2011-09-30,11
2011-10-31,12
2011-11-30,10
2011-12-31,9
2012-01-31,11
2012-02-29,11
2012-03-31,11
2012-04-30,10
2012-05-31,6
2012-06-30,6
2012-07-31,6
2012-08-31,8
2012-09-30,10
2012-10-31,12
2012-11-30,9
2012-12-31,8
2013-01-31,10
2013-02-28,9
2013-03-31,11
2013-04-30,11
2013-05-31,7
2013-06-30,5
2013-07-31,5
2013-08-31,8
2013-09-30,9
2013-10-31,9
2013-11-30,8
2013-12-31,11
2014-01-31,11
2014-02-28,11
2014-03-31,13
2014-04-30,16
2014-05-31,8
2014-06-30,6
2014-07-31,5
2014-08-31,13
2014-09-30,10
2014-10-31,11
2014-11-30,9
2014-12-31,9
2015-01-31,11
2015-02-28,13
2015-03-31,14
2015-04-30,12
2015-05-31,9
2015-06-30,6
2015-07-31,7
2015-08-31,12
2015-09-30,12
2015-10-31,15
2015-11-30,19
2015-12-31,10
2016-01-31,12
2016-02-29,13
2016-03-31,14
2016-04-30,13
2016-05-31,6
2016-06-30,5
2016-07-31,6
2016-08-31,10
2016-09-30,12
2016-10-31,10
2016-11-30,8
2016-12-31,7
2017-01-31,9
2017-02-28,8
2017-03-31,8
2017-04-30,8
2017-05-31,7
2017-06-30,4
2017-07-31,4
2017-08-31,8
2017-09-30,6
2017-10-31,6
2017-11-30,7
2017-12-31,7
2018-01-31,6
2018-02-28,6
2018-03-31,7
2018-04-30,7
2018-05-31,3
2018-06-30,2
2018-07-31,3
2018-08-31,5
2018-09-30,10
2018-10-31,12
2018-11-30,10
2018-12-31,12
2019-01-31,14
2019-02-28,12
2019-03-31,17
2019-04-30,19
2019-05-31,10
2019-06-30,7
2019-07-31,8
2019-08-31,16
2019-09-30,12
2019-10-31,16
2019-11-30,16
2019-12-31,18
2020-01-31,17
2020-02-29,13
2020-03-31,14
2020-04-30,12
2020-05-31,6
2020-06-30,5
2020-07-31,6
2020-08-31,18
2020-09-30,13
2020-10-31,11
2020-11-30,8
2020-12-31,9
2021-01-31,12
2021-02-28,9
2021-03-31,12
2021-04-30,10
2021-05-31,8
2021-06-30,8
2021-07-31,10
2021-08-31,10
2021-09-30,11
2021-10-31,12
2021-11-30,10
2021-12-31,9
2022-01-31,11
2022-02-28,12
2022-03-31,100
2022-04-30,19
2022-05-31,9
2022-06-30,9
2022-07-31,9
2022-08-31,13
2022-09-30,13
2022-10-31,15
2022-11-30,12
2022-12-31,12
2023-01-31,14
2023-02-28,14
2023-03-31,48
2023-04-30,16
2023-05-31,8
2023-06-30,9
2023-07-31,10
2023-08-31,13
2023-09-30,13
2023-10-31,13
2023-11-30,11
2023-12-31,11
2024-01-31,14
2024-02-29,13
2024-03-31,71
2024-04-30,16
