Search Term,climate
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,23
2004-01-31,23
2004-02-29,24
2004-03-31,23
2004-04-30,23
2004-05-31,13
2004-06-30,8
2004-07-31,11
2004-08-31,21
2004-09-30,21
2004-10-31,22
2004-11-30,18
2004-12-31,18
2005-01-31,20
2005-02-28,19
2005-03-31,20
2005-04-30,22
2005-05-31,12
2005-06-30,9
2005-07-31,10
2005-08-31,18
2005-09-30,20
2005-10-31,19
2005-11-30,17
2005-12-31,17
2006-01-31,19
2006-02-28,20
2006-03-31,20
2006-04-30,21
2006-05-31,12
2006-06-30,9
2006-07-31,9
2006-08-31,16
2006-09-30,19
2006-10-31,17
2006-11-30,15
2006-12-31,18
2007-01-31,19
2007-02-28,18
2007-03-31,19
2007-04-30,21
2007-05-31,11
2007-06-30,9
2007-07-31,10
2007-08-31,18
2007-09-30,21
2007-10-31,20
2007-11-30,18
2007-12-31,18
2008-01-31,18
2008-02-29,19
2008-03-31,21
2008-04-30,21
2008-05-31,14
2008-06-30,12
2008-07-31,12
2008-08-31,19
2008-09-30,22
2008-10-31,21
2008-11-30,18
2008-12-31,19
2009-01-31,21
2009-02-28,23
2009-03-31,22
2009-04-30,23
2009-05-31,16
2009-06-30,14
2009-07-31,14
2009-08-31,24
2009-09-30,28
2009-10-31,27
2009-11-30,30
2009-12-31,24
2010-01-31,27
2010-02-28,24
2010-03-31,26
2010-04-30,24
2010-05-31,16
2010-06-30,16
2010-07-31,15
2010-08-31,22
2010-09-30,23
2010-10-31,23
2010-11-30,22
2010-12-31,16
2011-01-31,17
2011-02-28,17
2011-03-31,16
2011-04-30,17
2011-05-31,11
2011-06-30,10
2011-07-31,10
2011-08-31,15
2011-09-30,16
2011-10-31,16
2011-11-30,14
2011-12-31,15
2012-01-31,16
2012-02-29,16
2012-03-31,17
2012-04-30,16
2012-05-31,10
2012-06-30,10
2012-07-31,11
2012-08-31,17
2012-09-30,17
2012-10-31,18
2012-11-30,16
2012-12-31,17
2013-01-31,18
2013-02-28,17
2013-03-31,19
2013-04-30,18
2013-05-31,12
2013-06-30,11
2013-07-31,11
2013-08-31,19
2013-09-30,20
2013-10-31,20
2013-11-30,19
2013-12-31,21
2014-01-31,24
2014-02-28,22
2014-03-31,21
2014-04-30,23
2014-05-31,14
2014-06-30,11
2014-07-31,12
2014-08-31,25
2014-09-30,22
2014-10-31,24
2014-11-30,22
2014-12-31,24
2015-01-31,26
2015-02-28,26
2015-03-31,25
2015-04-30,23
2015-05-31,17
2015-06-30,13
2015-07-31,14
2015-08-31,23
2015-09-30,25
2015-10-31,27
2015-11-30,27
2015-12-31,25
2016-01-31,23
2016-02-29,25
2016-03-31,27
2016-04-30,25
2016-05-31,16
2016-06-30,13
2016-07-31,15
2016-08-31,22
2016-09-30,24
2016-10-31,30
2016-11-30,52
2016-12-31,64
2017-01-31,60
2017-02-28,59
2017-03-31,44
2017-04-30,32
2017-05-31,32
2017-06-30,19
2017-07-31,21
2017-08-31,29
2017-09-30,28
2017-10-31,29
2017-11-30,30
2017-12-31,35
2018-01-31,37
2018-02-28,36
2018-03-31,34
2018-04-30,31
2018-05-31,21
2018-06-30,41
2018-07-31,51
2018-08-31,59
2018-09-30,65
2018-10-31,69
2018-11-30,65
2018-12-31,74
2019-01-31,90
2019-02-28,66
2019-03-31,50
2019-04-30,52
2019-05-31,39
2019-06-30,32
2019-07-31,33
2019-08-31,60
2019-09-30,76
2019-10-31,88
2019-11-30,84
2019-12-31,83
2020-01-31,87
2020-02-29,76
2020-03-31,67
2020-04-30,66
2020-05-31,64
2020-06-30,55
2020-07-31,60
2020-08-31,73
2020-09-30,64
2020-10-31,65
2020-11-30,71
2020-12-31,77
2021-01-31,100
2021-02-28,74
2021-03-31,70
2021-04-30,70
2021-05-31,58
2021-06-30,51
2021-07-31,49
2021-08-31,52
2021-09-30,60
2021-10-31,58
2021-11-30,68
2021-12-31,75
2022-01-31,71
2022-02-28,67
2022-03-31,73
2022-04-30,64
2022-05-31,51
2022-06-30,47
2022-07-31,51
2022-08-31,57
2022-09-30,56
2022-10-31,72
2022-11-30,76
2022-12-31,72
2023-01-31,72
2023-02-28,78
2023-03-31,89
2023-04-30,63
2023-05-31,52
2023-06-30,51
2023-07-31,54
2023-08-31,61
2023-09-30,64
2023-10-31,67
2023-11-30,60
2023-12-31,81
2024-01-31,50
2024-02-29,48
2024-03-31,88
2024-04-30,47
