Search Term,intensive animal farming
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,45
2004-01-31,68
2004-02-29,35
2004-03-31,98
2004-04-30,55
2004-05-31,45
2004-06-30,29
2004-07-31,0
2004-08-31,39
2004-09-30,49
2004-10-31,82
2004-11-30,39
2004-12-31,53
2005-01-31,47
2005-02-28,57
2005-03-31,60
2005-04-30,54
2005-05-31,30
2005-06-30,25
2005-07-31,33
2005-08-31,37
2005-09-30,38
2005-10-31,67
2005-11-30,36
2005-12-31,29
2006-01-31,60
2006-02-28,51
2006-03-31,52
2006-04-30,45
2006-05-31,30
2006-06-30,24
2006-07-31,33
2006-08-31,36
2006-09-30,36
2006-10-31,48
2006-11-30,36
2006-12-31,24
2007-01-31,42
2007-02-28,50
2007-03-31,64
2007-04-30,48
2007-05-31,31
2007-06-30,19
2007-07-31,19
2007-08-31,36
2007-09-30,43
2007-10-31,61
2007-11-30,40
2007-12-31,28
2008-01-31,57
2008-02-29,54
2008-03-31,69
2008-04-30,51
2008-05-31,28
2008-06-30,25
2008-07-31,23
2008-08-31,31
2008-09-30,53
2008-10-31,66
2008-11-30,44
2008-12-31,32
2009-01-31,44
2009-02-28,58
2009-03-31,83
2009-04-30,58
2009-05-31,26
2009-06-30,25
2009-07-31,23
2009-08-31,43
2009-09-30,66
2009-10-31,98
2009-11-30,61
2009-12-31,49
2010-01-31,60
2010-02-28,73
2010-03-31,100
2010-04-30,74
2010-05-31,32
2010-06-30,28
2010-07-31,28
2010-08-31,42
2010-09-30,56
2010-10-31,77
2010-11-30,60
2010-12-31,36
2011-01-31,63
2011-02-28,59
2011-03-31,72
2011-04-30,57
2011-05-31,32
2011-06-30,24
2011-07-31,23
2011-08-31,42
2011-09-30,60
2011-10-31,82
2011-11-30,51
2011-12-31,41
2012-01-31,55
2012-02-29,59
2012-03-31,70
2012-04-30,57
2012-05-31,26
2012-06-30,24
2012-07-31,28
2012-08-31,32
2012-09-30,49
2012-10-31,59
2012-11-30,46
2012-12-31,37
2013-01-31,51
2013-02-28,48
2013-03-31,65
2013-04-30,49
2013-05-31,25
2013-06-30,23
2013-07-31,31
2013-08-31,39
2013-09-30,49
2013-10-31,65
2013-11-30,51
2013-12-31,35
2014-01-31,56
2014-02-28,61
2014-03-31,76
2014-04-30,64
2014-05-31,34
2014-06-30,29
2014-07-31,29
2014-08-31,36
2014-09-30,55
2014-10-31,63
2014-11-30,56
2014-12-31,41
2015-01-31,53
2015-02-28,59
2015-03-31,74
2015-04-30,57
2015-05-31,44
2015-06-30,38
2015-07-31,33
2015-08-31,53
2015-09-30,71
2015-10-31,71
2015-11-30,66
2015-12-31,47
2016-01-31,62
2016-02-29,65
2016-03-31,88
2016-04-30,74
2016-05-31,37
2016-06-30,27
2016-07-31,27
2016-08-31,42
2016-09-30,56
2016-10-31,61
2016-11-30,48
2016-12-31,37
2017-01-31,50
2017-02-28,55
2017-03-31,59
2017-04-30,59
2017-05-31,39
2017-06-30,33
2017-07-31,27
2017-08-31,34
2017-09-30,45
2017-10-31,56
2017-11-30,54
2017-12-31,43
2018-01-31,73
2018-02-28,49
2018-03-31,69
2018-04-30,59
2018-05-31,36
2018-06-30,31
2018-07-31,32
2018-08-31,46
2018-09-30,63
2018-10-31,69
2018-11-30,58
2018-12-31,49
2019-01-31,52
2019-02-28,46
2019-03-31,54
2019-04-30,46
2019-05-31,28
2019-06-30,25
2019-07-31,21
2019-08-31,35
2019-09-30,43
2019-10-31,65
2019-11-30,42
2019-12-31,47
2020-01-31,55
2020-02-29,44
2020-03-31,57
2020-04-30,53
2020-05-31,32
2020-06-30,32
2020-07-31,26
2020-08-31,37
2020-09-30,38
2020-10-31,39
2020-11-30,29
2020-12-31,29
2021-01-31,34
2021-02-28,31
2021-03-31,32
2021-04-30,25
2021-05-31,19
2021-06-30,18
2021-07-31,21
2021-08-31,20
2021-09-30,24
2021-10-31,24
2021-11-30,27
2021-12-31,25
2022-01-31,34
2022-02-28,34
2022-03-31,44
2022-04-30,29
2022-05-31,25
2022-06-30,20
2022-07-31,18
2022-08-31,25
2022-09-30,27
2022-10-31,30
2022-11-30,23
2022-12-31,23
2023-01-31,31
2023-02-28,28
2023-03-31,31
2023-04-30,32
2023-05-31,16
2023-06-30,13
2023-07-31,16
2023-08-31,19
2023-09-30,27
2023-10-31,27
2023-11-30,21
2023-12-31,26
2024-01-31,27
2024-02-29,25
2024-03-31,29
2024-04-30,26
