Search Term,plant based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,2
2004-07-31,0
2004-08-31,1
2004-09-30,2
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,1
2005-02-28,0
2005-03-31,0
2005-04-30,2
2005-05-31,0
2005-06-30,0
2005-07-31,1
2005-08-31,0
2005-09-30,1
2005-10-31,1
2005-11-30,0
2005-12-31,0
2006-01-31,1
2006-02-28,0
2006-03-31,1
2006-04-30,0
2006-05-31,0
2006-06-30,1
2006-07-31,1
2006-08-31,1
2006-09-30,0
2006-10-31,1
2006-11-30,0
2006-12-31,1
2007-01-31,1
2007-02-28,1
2007-03-31,1
2007-04-30,1
2007-05-31,1
2007-06-30,1
2007-07-31,1
2007-08-31,1
2007-09-30,1
2007-10-31,1
2007-11-30,1
2007-12-31,1
2008-01-31,1
2008-02-29,1
2008-03-31,1
2008-04-30,1
2008-05-31,1
2008-06-30,1
2008-07-31,1
2008-08-31,1
2008-09-30,1
2008-10-31,1
2008-11-30,1
2008-12-31,1
2009-01-31,1
2009-02-28,1
2009-03-31,1
2009-04-30,1
2009-05-31,1
2009-06-30,1
2009-07-31,1
2009-08-31,2
2009-09-30,1
2009-10-31,1
2009-11-30,1
2009-12-31,2
2010-01-31,2
2010-02-28,2
2010-03-31,2
2010-04-30,2
2010-05-31,1
2010-06-30,1
2010-07-31,1
2010-08-31,4
2010-09-30,2
2010-10-31,2
2010-11-30,2
2010-12-31,2
2011-01-31,3
2011-02-28,3
2011-03-31,3
2011-04-30,3
2011-05-31,2
2011-06-30,2
2011-07-31,3
2011-08-31,10
2011-09-30,7
2011-10-31,6
2011-11-30,5
2011-12-31,9
2012-01-31,8
2012-02-29,7
2012-03-31,8
2012-04-30,7
2012-05-31,7
2012-06-30,7
2012-07-31,7
2012-08-31,7
2012-09-30,6
2012-10-31,5
2012-11-30,6
2012-12-31,9
2013-01-31,9
2013-02-28,9
2013-03-31,8
2013-04-30,8
2013-05-31,7
2013-06-30,8
2013-07-31,7
2013-08-31,7
2013-09-30,7
2013-10-31,6
2013-11-30,7
2013-12-31,8
2014-01-31,8
2014-02-28,8
2014-03-31,8
2014-04-30,8
2014-05-31,7
2014-06-30,8
2014-07-31,7
2014-08-31,7
2014-09-30,8
2014-10-31,7
2014-11-30,6
2014-12-31,9
2015-01-31,8
2015-02-28,9
2015-03-31,10
2015-04-30,10
2015-05-31,10
2015-06-30,9
2015-07-31,9
2015-08-31,9
2015-09-30,10
2015-10-31,9
2015-11-30,8
2015-12-31,12
2016-01-31,12
2016-02-29,15
2016-03-31,14
2016-04-30,14
2016-05-31,12
2016-06-30,11
2016-07-31,11
2016-08-31,11
2016-09-30,12
2016-10-31,14
2016-11-30,14
2016-12-31,18
2017-01-31,18
2017-02-28,17
2017-03-31,16
2017-04-30,16
2017-05-31,26
2017-06-30,57
2017-07-31,46
2017-08-31,32
2017-09-30,28
2017-10-31,26
2017-11-30,23
2017-12-31,35
2018-01-31,30
2018-02-28,30
2018-03-31,29
2018-04-30,28
2018-05-31,26
2018-06-30,28
2018-07-31,28
2018-08-31,27
2018-09-30,28
2018-10-31,23
2018-11-30,24
2018-12-31,37
2019-01-31,35
2019-02-28,33
2019-03-31,35
2019-04-30,34
2019-05-31,37
2019-06-30,40
2019-07-31,45
2019-08-31,44
2019-09-30,73
2019-10-31,95
2019-11-30,72
2019-12-31,100
2020-01-31,81
2020-02-29,48
2020-03-31,44
2020-04-30,50
2020-05-31,48
2020-06-30,55
2020-07-31,49
2020-08-31,49
2020-09-30,50
2020-10-31,44
2020-11-30,41
2020-12-31,59
2021-01-31,58
2021-02-28,53
2021-03-31,59
2021-04-30,54
2021-05-31,51
2021-06-30,48
2021-07-31,49
2021-08-31,48
2021-09-30,46
2021-10-31,48
2021-11-30,44
2021-12-31,78
2022-01-31,63
2022-02-28,58
2022-03-31,58
2022-04-30,54
2022-05-31,47
2022-06-30,51
2022-07-31,51
2022-08-31,48
2022-09-30,46
2022-10-31,44
2022-11-30,43
2022-12-31,52
2023-01-31,56
2023-02-28,56
2023-03-31,55
2023-04-30,47
2023-05-31,48
2023-06-30,45
2023-07-31,44
2023-08-31,47
2023-09-30,43
2023-10-31,43
2023-11-30,39
2023-12-31,77
2024-01-31,55
2024-02-29,49
2024-03-31,49
2024-04-30,45
