Search Term,forks over knives
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,0
2005-05-31,0
2005-06-30,0
2005-07-31,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-31,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,0
2007-02-28,0
2007-03-31,0
2007-04-30,0
2007-05-31,0
2007-06-30,0
2007-07-31,0
2007-08-31,0
2007-09-30,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-31,0
2008-06-30,0
2008-07-31,0
2008-08-31,0
2008-09-30,0
2008-10-31,0
2008-11-30,0
2008-12-31,0
2009-01-31,0
2009-02-28,0
2009-03-31,0
2009-04-30,0
2009-05-31,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,0
2010-02-28,0
2010-03-31,0
2010-04-30,1
2010-05-31,0
2010-06-30,2
2010-07-31,1
2010-08-31,1
2010-09-30,3
2010-10-31,3
2010-11-30,3
2010-12-31,11
2011-01-31,6
2011-02-28,8
2011-03-31,15
2011-04-30,70
2011-05-31,42
2011-06-30,39
2011-07-31,29
2011-08-31,100
2011-09-30,73
2011-10-31,57
2011-11-30,50
2011-12-31,81
2012-01-31,67
2012-02-29,66
2012-03-31,63
2012-04-30,51
2012-05-31,51
2012-06-30,54
2012-07-31,48
2012-08-31,46
2012-09-30,40
2012-10-31,37
2012-11-30,36
2012-12-31,50
2013-01-31,47
2013-02-28,46
2013-03-31,44
2013-04-30,36
2013-05-31,34
2013-06-30,35
2013-07-31,31
2013-08-31,27
2013-09-30,24
2013-10-31,25
2013-11-30,23
2013-12-31,28
2014-01-31,26
2014-02-28,26
2014-03-31,24
2014-04-30,23
2014-05-31,20
2014-06-30,24
2014-07-31,22
2014-08-31,21
2014-09-30,18
2014-10-31,21
2014-11-30,18
2014-12-31,26
2015-01-31,22
2015-02-28,21
2015-03-31,21
2015-04-30,20
2015-05-31,20
2015-06-30,21
2015-07-31,22
2015-08-31,20
2015-09-30,23
2015-10-31,19
2015-11-30,19
2015-12-31,21
2016-01-31,20
2016-02-29,21
2016-03-31,21
2016-04-30,17
2016-05-31,15
2016-06-30,16
2016-07-31,15
2016-08-31,16
2016-09-30,15
2016-10-31,16
2016-11-30,18
2016-12-31,27
2017-01-31,25
2017-02-28,24
2017-03-31,22
2017-04-30,20
2017-05-31,24
2017-06-30,35
2017-07-31,32
2017-08-31,24
2017-09-30,26
2017-10-31,21
2017-11-30,24
2017-12-31,38
2018-01-31,30
2018-02-28,29
2018-03-31,26
2018-04-30,23
2018-05-31,23
2018-06-30,25
2018-07-31,21
2018-08-31,21
2018-09-30,19
2018-10-31,20
2018-11-30,20
2018-12-31,27
2019-01-31,23
2019-02-28,24
2019-03-31,24
2019-04-30,21
2019-05-31,20
2019-06-30,25
2019-07-31,24
2019-08-31,24
2019-09-30,31
2019-10-31,33
2019-11-30,29
2019-12-31,36
2020-01-31,34
2020-02-29,24
2020-03-31,22
2020-04-30,23
2020-05-31,23
2020-06-30,26
2020-07-31,22
2020-08-31,20
2020-09-30,18
2020-10-31,16
2020-11-30,16
2020-12-31,21
2021-01-31,20
2021-02-28,15
2021-03-31,17
2021-04-30,16
2021-05-31,15
2021-06-30,14
2021-07-31,15
2021-08-31,14
2021-09-30,14
2021-10-31,13
2021-11-30,13
2021-12-31,18
2022-01-31,17
2022-02-28,14
2022-03-31,15
2022-04-30,13
2022-05-31,13
2022-06-30,13
2022-07-31,14
2022-08-31,13
2022-09-30,12
2022-10-31,13
2022-11-30,12
2022-12-31,15
2023-01-31,12
2023-02-28,13
2023-03-31,12
2023-04-30,11
2023-05-31,10
2023-06-30,11
2023-07-31,9
2023-08-31,10
2023-09-30,9
2023-10-31,9
2023-11-30,9
2023-12-31,14
2024-01-31,11
2024-02-29,9
2024-03-31,8
2024-04-30,8
