Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,45
2016-12-10,42
2016-12-17,52
2016-12-24,46
2016-12-31,60
2017-01-07,48
2017-01-14,47
2017-01-21,45
2017-01-28,43
2017-02-04,39
2017-02-11,38
2017-02-18,41
2017-02-25,43
2017-03-04,44
2017-03-11,46
2017-03-18,45
2017-03-25,45
2017-04-01,42
2017-04-08,47
2017-04-15,40
2017-04-22,33
2017-04-29,39
2017-05-06,39
2017-05-13,34
2017-05-20,37
2017-05-27,42
2017-06-03,43
2017-06-10,41
2017-06-17,49
2017-06-24,62
2017-07-01,73
2017-07-08,86
2017-07-15,91
2017-07-22,94
2017-07-29,100
2017-08-05,98
2017-08-12,93
2017-08-19,78
2017-08-26,78
2017-09-02,71
2017-09-09,66
2017-09-16,70
2017-09-23,70
2017-09-30,66
2017-10-07,67
2017-10-14,67
2017-10-21,65
2017-10-28,66
2017-11-04,73
2017-11-11,83
2017-11-18,85
2017-11-25,63
2017-12-02,64
2017-12-09,65
2017-12-16,76
2017-12-23,77
2017-12-30,96
2018-01-06,90
2018-01-13,81
2018-01-20,74
2018-01-27,73
2018-02-03,71
2018-02-10,69
2018-02-17,67
2018-02-24,63
2018-03-03,67
2018-03-10,64
2018-03-17,68
2018-03-24,74
2018-03-31,66
2018-04-07,57
2018-04-14,57
2018-04-21,55
2018-04-28,54
2018-05-05,55
2018-05-12,55
2018-05-19,50
2018-05-26,59
2018-06-02,57
2018-06-09,54
2018-06-16,55
2018-06-23,54
2018-06-30,58
2018-07-07,56
2018-07-14,53
2018-07-21,56
2018-07-28,55
2018-08-04,57
2018-08-11,54
2018-08-18,49
2018-08-25,47
2018-09-01,50
2018-09-08,47
2018-09-15,51
2018-09-22,50
2018-09-29,53
2018-10-06,52
2018-10-13,49
2018-10-20,50
2018-10-27,55
2018-11-03,61
2018-11-10,72
2018-11-17,78
2018-11-24,53
2018-12-01,56
2018-12-08,54
2018-12-15,62
2018-12-22,67
2018-12-29,75
2019-01-05,69
2019-01-12,64
2019-01-19,60
2019-01-26,56
2019-02-02,53
2019-02-09,53
2019-02-16,50
2019-02-23,45
2019-03-02,51
2019-03-09,51
2019-03-16,50
2019-03-23,45
2019-03-30,53
2019-04-06,53
2019-04-13,58
2019-04-20,46
2019-04-27,48
2019-05-04,45
2019-05-11,43
2019-05-18,44
2019-05-25,46
2019-06-01,48
2019-06-08,52
2019-06-15,46
2019-06-22,47
2019-06-29,50
2019-07-06,49
2019-07-13,54
2019-07-20,50
2019-07-27,51
2019-08-03,50
2019-08-10,49
2019-08-17,47
2019-08-24,46
2019-08-31,44
2019-09-07,47
2019-09-14,47
2019-09-21,46
2019-09-28,50
2019-10-05,47
2019-10-12,52
2019-10-19,70
2019-10-26,67
2019-11-02,73
2019-11-09,77
2019-11-16,86
2019-11-23,93
2019-11-30,64
2019-12-07,62
2019-12-14,73
2019-12-21,76
2019-12-28,96
2020-01-04,88
2020-01-11,75
2020-01-18,75
2020-01-25,70
2020-02-01,64
2020-02-08,61
2020-02-15,66
2020-02-22,63
2020-02-29,60
