Search Term,plant based near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,60
2020-02-01,53
2020-02-08,56
2020-02-15,63
2020-02-22,50
2020-02-29,46
2020-03-07,40
2020-03-14,24
2020-03-21,15
2020-03-28,22
2020-04-04,22
2020-04-11,25
2020-04-18,20
2020-04-25,21
2020-05-02,32
2020-05-09,28
2020-05-16,39
2020-05-23,31
2020-05-30,31
2020-06-06,37
2020-06-13,34
2020-06-20,42
2020-06-27,44
2020-07-04,47
2020-07-11,54
2020-07-18,40
2020-07-25,58
2020-08-01,46
2020-08-08,55
2020-08-15,54
2020-08-22,47
2020-08-29,49
2020-09-05,38
2020-09-12,43
2020-09-19,47
2020-09-26,46
2020-10-03,46
2020-10-10,60
2020-10-17,45
2020-10-24,37
2020-10-31,25
2020-11-07,41
2020-11-14,44
2020-11-21,46
2020-11-28,29
2020-12-05,48
2020-12-12,46
2020-12-19,51
2020-12-26,54
2021-01-02,64
2021-01-09,56
2021-01-16,54
2021-01-23,54
2021-01-30,52
2021-02-06,50
2021-02-13,56
2021-02-20,69
2021-02-27,41
2021-03-06,48
2021-03-13,54
2021-03-20,58
2021-03-27,75
2021-04-03,69
2021-04-10,64
2021-04-17,71
2021-04-24,61
2021-05-01,69
2021-05-08,67
2021-05-15,60
2021-05-22,69
2021-05-29,67
2021-06-05,61
2021-06-12,80
2021-06-19,66
2021-06-26,66
2021-07-03,74
2021-07-10,72
2021-07-17,82
2021-07-24,66
2021-07-31,63
2021-08-07,62
2021-08-14,66
2021-08-21,65
2021-08-28,59
2021-09-04,64
2021-09-11,60
2021-09-18,55
2021-09-25,69
2021-10-02,63
2021-10-09,57
2021-10-16,53
2021-10-23,54
2021-10-30,62
2021-11-06,53
2021-11-13,51
2021-11-20,43
2021-11-27,41
2021-12-04,36
2021-12-11,41
2021-12-18,49
2021-12-25,54
2022-01-01,75
2022-01-08,74
2022-01-15,92
2022-01-22,50
2022-01-29,68
2022-02-05,66
2022-02-12,55
2022-02-19,68
2022-02-26,61
2022-03-05,65
2022-03-12,64
2022-03-19,67
2022-03-26,56
2022-04-02,58
2022-04-09,52
2022-04-16,55
2022-04-23,52
2022-04-30,72
2022-05-07,52
2022-05-14,55
2022-05-21,47
2022-05-28,54
2022-06-04,51
2022-06-11,60
2022-06-18,62
2022-06-25,48
2022-07-02,52
2022-07-09,56
2022-07-16,57
2022-07-23,64
2022-07-30,54
2022-08-06,53
2022-08-13,50
2022-08-20,60
2022-08-27,53
2022-09-03,44
2022-09-10,46
2022-09-17,52
2022-09-24,59
2022-10-01,47
2022-10-08,49
2022-10-15,50
2022-10-22,46
2022-10-29,46
2022-11-05,43
2022-11-12,43
2022-11-19,38
2022-11-26,44
2022-12-03,40
2022-12-10,43
2022-12-17,40
2022-12-24,41
2022-12-31,46
2023-01-07,44
2023-01-14,52
2023-01-21,53
2023-01-28,42
2023-02-04,49
2023-02-11,50
2023-02-18,59
2023-02-25,52
2023-03-04,44
2023-03-11,54
2023-03-18,56
2023-03-25,55
2023-04-01,50
2023-04-08,68
2023-04-15,47
2023-04-22,52
2023-04-29,43
2023-05-06,56
2023-05-13,52
2023-05-20,54
2023-05-27,64
2023-06-03,56
2023-06-10,56
2023-06-17,54
2023-06-24,60
2023-07-01,55
2023-07-08,54
2023-07-15,49
2023-07-22,55
2023-07-29,54
2023-08-05,44
2023-08-12,57
2023-08-19,40
2023-08-26,60
2023-09-02,40
2023-09-09,47
2023-09-16,50
2023-09-23,40
2023-09-30,40
2023-10-07,44
2023-10-14,32
2023-10-21,47
2023-10-28,29
2023-11-04,44
2023-11-11,36
2023-11-18,30
2023-11-25,23
2023-12-02,31
2023-12-09,39
2023-12-16,38
2023-12-23,32
2023-12-30,100
2024-01-06,99
2024-01-13,70
2024-01-20,50
2024-01-27,47
2024-02-03,55
2024-02-10,34
2024-02-17,43
2024-02-24,46
2024-03-02,42
2024-03-09,37
2024-03-16,49
2024-03-23,37
2024-03-30,37
2024-04-06,35
2024-04-13,38
2024-04-20,44
2024-04-27,29
2024-05-04,33
2024-05-11,40
2024-05-18,26
2024-05-25,33
