,Search Term,plant based recipe
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,20.0
6,2017-01-07,16.0
7,2017-01-14,14.000000000000002
8,2017-01-21,14.000000000000002
9,2017-01-28,0.0
10,2017-02-04,0.0
11,2017-02-11,17.0
12,2017-02-18,18.0
13,2017-02-25,0.0
14,2017-03-04,0.0
15,2017-03-11,18.0
16,2017-03-18,0.0
17,2017-03-25,15.0
18,2017-04-01,13.0
19,2017-04-08,20.0
20,2017-04-15,0.0
21,2017-04-22,0.0
22,2017-04-29,0.0
23,2017-05-06,0.0
24,2017-05-13,0.0
25,2017-05-20,20.0
26,2017-05-27,15.0
27,2017-06-03,0.0
28,2017-06-10,0.0
29,2017-06-17,19.0
30,2017-06-24,25.0
31,2017-07-01,26.0
32,2017-07-08,50.0
33,2017-07-15,43.0
34,2017-07-22,39.0
35,2017-07-29,32.0
36,2017-08-05,20.0
37,2017-08-12,41.0
38,2017-08-19,23.0
39,2017-08-26,17.0
40,2017-09-02,20.0
41,2017-09-09,21.000000000000004
42,2017-09-16,28.999999999999996
43,2017-09-23,0.0
44,2017-09-30,15.0
45,2017-10-07,21.000000000000004
46,2017-10-14,22.0
47,2017-10-21,25.0
48,2017-10-28,17.0
49,2017-11-04,0.0
50,2017-11-11,16.0
51,2017-11-18,24.0
52,2017-11-25,22.0
53,2017-12-02,19.0
54,2017-12-09,26.0
55,2017-12-16,0.0
56,2017-12-23,0.0
57,2017-12-30,33.0
58,2018-01-06,21.000000000000004
59,2018-01-13,25.0
60,2018-01-20,26.0
61,2018-01-27,31.0
62,2018-02-03,22.0
63,2018-02-10,21.000000000000004
64,2018-02-17,21.000000000000004
65,2018-02-24,17.0
66,2018-03-03,24.0
67,2018-03-10,17.0
68,2018-03-17,25.0
69,2018-03-24,23.0
70,2018-03-31,26.0
71,2018-04-07,27.0
72,2018-04-14,25.0
73,2018-04-21,19.0
74,2018-04-28,17.0
75,2018-05-05,15.0
76,2018-05-12,19.0
77,2018-05-19,19.0
78,2018-05-26,27.0
79,2018-06-02,22.0
80,2018-06-09,24.0
81,2018-06-16,0.0
82,2018-06-23,25.0
83,2018-06-30,19.0
84,2018-07-07,22.0
85,2018-07-14,22.0
86,2018-07-21,23.0
87,2018-07-28,21.000000000000004
88,2018-08-04,23.0
89,2018-08-11,23.0
90,2018-08-18,19.0
91,2018-08-25,21.000000000000004
92,2018-09-01,14.000000000000002
93,2018-09-08,16.0
94,2018-09-15,14.000000000000002
95,2018-09-22,16.0
96,2018-09-29,16.0
97,2018-10-06,21.000000000000004
98,2018-10-13,0.0
99,2018-10-20,23.0
100,2018-10-27,21.000000000000004
101,2018-11-03,15.0
102,2018-11-10,14.000000000000002
103,2018-11-17,0.0
104,2018-11-24,14.000000000000002
105,2018-12-01,19.0
106,2018-12-08,0.0
107,2018-12-15,22.0
108,2018-12-22,25.0
109,2018-12-29,20.0
110,2019-01-05,42.00000000000001
111,2019-01-12,30.0
112,2019-01-19,24.0
113,2019-01-26,21.000000000000004
114,2019-02-02,23.0
115,2019-02-09,23.0
116,2019-02-16,33.0
117,2019-02-23,30.0
118,2019-03-02,24.0
119,2019-03-09,30.0
120,2019-03-16,31.0
121,2019-03-23,19.0
122,2019-03-30,18.0
123,2019-04-06,18.0
124,2019-04-13,23.0
125,2019-04-20,33.0
126,2019-04-27,35.0
127,2019-05-04,28.999999999999996
128,2019-05-11,14.000000000000002
129,2019-05-18,26.0
130,2019-05-25,35.0
131,2019-06-01,22.0
132,2019-06-08,35.0
133,2019-06-15,31.0
134,2019-06-22,28.000000000000004
135,2019-06-29,19.0
136,2019-07-06,23.0
137,2019-07-13,13.0
138,2019-07-20,22.0
139,2019-07-27,24.0
140,2019-08-03,23.0
141,2019-08-10,40.0
142,2019-08-17,42.00000000000001
143,2019-08-24,31.0
144,2019-08-31,32.0
145,2019-09-07,26.0
146,2019-09-14,35.0
147,2019-09-21,28.000000000000004
148,2019-09-28,28.999999999999996
149,2019-10-05,43.0
150,2019-10-12,51.0
151,2019-10-19,76.0
152,2019-10-26,89.0
153,2019-11-02,89.0
154,2019-11-09,67.0
155,2019-11-16,93.0
156,2019-11-23,70.0
157,2019-11-30,68.0
158,2019-12-07,61.0
159,2019-12-14,63.0
160,2019-12-21,51.0
161,2019-12-28,100.0
162,2020-01-04,100.0
163,2020-01-11,91.0
164,2020-01-18,79.0
165,2020-01-25,74.55932203389831
166,2020-02-01,67.37288135593221
167,2020-02-08,57.49152542372882
168,2020-02-15,66.47457627118645
169,2020-02-22,52.101694915254235
170,2020-02-29,44.91525423728814
171,2020-03-07,47.610169491525426
172,2020-03-14,41.32203389830509
173,2020-03-21,51.20338983050847
174,2020-03-28,36.83050847457628
175,2020-04-04,41.32203389830509
176,2020-04-11,40.42372881355932
177,2020-04-18,43.118644067796616
178,2020-04-25,53.0
179,2020-05-02,51.20338983050847
180,2020-05-09,49.406779661016955
181,2020-05-16,33.237288135593225
182,2020-05-23,36.83050847457628
183,2020-05-30,41.32203389830509
184,2020-06-06,38.6271186440678
185,2020-06-13,36.83050847457628
186,2020-06-20,35.03389830508475
187,2020-06-27,49.406779661016955
188,2020-07-04,50.30508474576272
189,2020-07-11,47.610169491525426
