Search Term,plant based recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,20
2017-01-07,16
2017-01-14,14
2017-01-21,14
2017-01-28,0
2017-02-04,0
2017-02-11,17
2017-02-18,18
2017-02-25,0
2017-03-04,0
2017-03-11,18
2017-03-18,0
2017-03-25,15
2017-04-01,13
2017-04-08,20
2017-04-15,0
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,20
2017-05-27,15
2017-06-03,0
2017-06-10,0
2017-06-17,19
2017-06-24,25
2017-07-01,26
2017-07-08,50
2017-07-15,43
2017-07-22,39
2017-07-29,32
2017-08-05,20
2017-08-12,41
2017-08-19,23
2017-08-26,17
2017-09-02,20
2017-09-09,21
2017-09-16,29
2017-09-23,0
2017-09-30,15
2017-10-07,21
2017-10-14,22
2017-10-21,25
2017-10-28,17
2017-11-04,0
2017-11-11,16
2017-11-18,24
2017-11-25,22
2017-12-02,19
2017-12-09,26
2017-12-16,0
2017-12-23,0
2017-12-30,33
2018-01-06,21
2018-01-13,25
2018-01-20,26
2018-01-27,31
2018-02-03,22
2018-02-10,21
2018-02-17,21
2018-02-24,17
2018-03-03,24
2018-03-10,17
2018-03-17,25
2018-03-24,23
2018-03-31,26
2018-04-07,27
2018-04-14,25
2018-04-21,19
2018-04-28,17
2018-05-05,15
2018-05-12,19
2018-05-19,19
2018-05-26,27
2018-06-02,22
2018-06-09,24
2018-06-16,0
2018-06-23,25
2018-06-30,19
2018-07-07,22
2018-07-14,22
2018-07-21,23
2018-07-28,21
2018-08-04,23
2018-08-11,23
2018-08-18,19
2018-08-25,21
2018-09-01,14
2018-09-08,16
2018-09-15,14
2018-09-22,16
2018-09-29,16
2018-10-06,21
2018-10-13,0
2018-10-20,23
2018-10-27,21
2018-11-03,15
2018-11-10,14
2018-11-17,0
2018-11-24,14
2018-12-01,19
2018-12-08,0
2018-12-15,22
2018-12-22,25
2018-12-29,20
2019-01-05,42
2019-01-12,30
2019-01-19,24
2019-01-26,21
2019-02-02,23
2019-02-09,23
2019-02-16,33
2019-02-23,30
2019-03-02,24
2019-03-09,30
2019-03-16,31
2019-03-23,19
2019-03-30,18
2019-04-06,18
2019-04-13,23
2019-04-20,33
2019-04-27,35
2019-05-04,29
2019-05-11,14
2019-05-18,26
2019-05-25,35
2019-06-01,22
2019-06-08,35
2019-06-15,31
2019-06-22,28
2019-06-29,19
2019-07-06,23
2019-07-13,13
2019-07-20,22
2019-07-27,24
2019-08-03,23
2019-08-10,40
2019-08-17,42
2019-08-24,31
2019-08-31,32
2019-09-07,26
2019-09-14,35
2019-09-21,28
2019-09-28,29
2019-10-05,43
2019-10-12,51
2019-10-19,76
2019-10-26,89
2019-11-02,89
2019-11-09,67
2019-11-16,93
2019-11-23,70
2019-11-30,68
2019-12-07,61
2019-12-14,63
2019-12-21,51
2019-12-28,100
2020-01-04,100
2020-01-11,91
2020-01-18,79
2020-01-25,74
2020-02-01,69
2020-02-08,54
2020-02-15,65
2020-02-22,56
