,Search Term,plant based recipes
0,2008-11-29,0.0
1,2008-12-06,0.0
2,2008-12-13,0.0
3,2008-12-20,0.0
4,2008-12-27,0.0
5,2009-01-03,0.0
6,2009-01-10,0.0
7,2009-01-17,0.0
8,2009-01-24,0.0
9,2009-01-31,0.0
10,2009-02-07,8.477814969918605
11,2009-02-14,0.0
12,2009-02-21,0.0
13,2009-02-28,0.0
14,2009-03-07,0.0
15,2009-03-14,0.0
16,2009-03-21,0.0
17,2009-03-28,0.0
18,2009-04-04,0.0
19,2009-04-11,0.0
20,2009-04-18,0.0
21,2009-04-25,0.0
22,2009-05-02,0.0
23,2009-05-09,0.0
24,2009-05-16,0.0
25,2009-05-23,0.0
26,2009-05-30,0.0
27,2009-06-06,0.0
28,2009-06-13,0.0
29,2009-06-20,0.0
30,2009-06-27,0.0
31,2009-07-04,0.0
32,2009-07-11,0.0
33,2009-07-18,0.0
34,2009-07-25,0.0
35,2009-08-01,0.0
36,2009-08-08,0.0
37,2009-08-15,0.0
38,2009-08-22,0.0
39,2009-08-29,0.0
40,2009-09-05,0.0
41,2009-09-12,0.0
42,2009-09-19,0.0
43,2009-09-26,0.0
44,2009-10-03,0.0
45,2009-10-10,0.0
46,2009-10-17,0.0
47,2009-10-24,0.0
48,2009-10-31,0.0
49,2009-11-07,0.0
50,2009-11-14,0.0
51,2009-11-21,0.0
52,2009-11-28,0.0
53,2009-12-05,0.0
54,2009-12-12,0.0
55,2009-12-19,0.0
56,2009-12-26,0.0
57,2010-01-02,0.0
58,2010-01-09,0.0
59,2010-01-16,0.0
60,2010-01-23,0.0
61,2010-01-30,0.0
62,2010-02-06,0.0
63,2010-02-13,0.0
64,2010-02-20,0.0
65,2010-02-27,0.0
66,2010-03-06,0.0
67,2010-03-13,0.0
68,2010-03-20,0.0
69,2010-03-27,0.0
70,2010-04-03,0.0
71,2010-04-10,0.0
72,2010-04-17,0.0
73,2010-04-24,0.0
74,2010-05-01,0.0
75,2010-05-08,0.0
76,2010-05-15,0.0
77,2010-05-22,0.0
78,2010-05-29,0.0
79,2010-06-05,0.0
80,2010-06-12,0.0
81,2010-06-19,0.0
82,2010-06-26,0.0
83,2010-07-03,0.0
84,2010-07-10,0.0
85,2010-07-17,0.0
86,2010-07-24,0.0
87,2010-07-31,0.0
88,2010-08-07,0.0
89,2010-08-14,0.0
90,2010-08-21,0.0
91,2010-08-28,0.0
92,2010-09-04,0.0
93,2010-09-11,0.0
94,2010-09-18,0.0
95,2010-09-25,0.0
96,2010-10-02,0.0
97,2010-10-09,0.0
98,2010-10-16,0.0
99,2010-10-23,0.0
100,2010-10-30,0.0
101,2010-11-06,0.0
102,2010-11-13,0.0
103,2010-11-20,0.0
104,2010-11-27,0.0
105,2010-12-04,0.0
106,2010-12-11,0.0
107,2010-12-18,0.0
108,2010-12-25,0.0
109,2011-01-01,0.0
110,2011-01-08,0.0
111,2011-01-15,0.0
112,2011-01-22,0.0
113,2011-01-29,0.0
114,2011-02-05,0.0
115,2011-02-12,0.0
116,2011-02-19,0.0
117,2011-02-26,0.0
118,2011-03-05,0.0
119,2011-03-12,0.0
120,2011-03-19,0.0
121,2011-03-26,0.0
122,2011-04-02,0.0
123,2011-04-09,0.0
124,2011-04-16,0.0
125,2011-04-23,0.0
126,2011-04-30,0.0
127,2011-05-07,0.0
128,2011-05-14,0.0
129,2011-05-21,0.0
130,2011-05-28,0.0
131,2011-06-04,0.0
132,2011-06-11,0.0
133,2011-06-18,0.0
134,2011-06-25,0.0
135,2011-07-02,0.0
136,2011-07-09,0.0
137,2011-07-16,0.0
138,2011-07-23,0.0
139,2011-07-30,0.0
140,2011-08-06,0.0
141,2011-08-13,0.0
142,2011-08-20,0.0
143,2011-08-27,4.53464521646809
144,2011-09-03,19.12437330423499
145,2011-09-10,16.561312964492156
146,2011-09-17,19.715848767252567
147,2011-09-24,19.321531791907518
148,2011-10-01,13.603935649404269
149,2011-10-08,10.646558334316387
150,2011-10-15,7.097705556210925
151,2011-10-22,10.05508287129881
152,2011-10-29,9.06929043293618
153,2011-11-05,8.674973457591129
154,2011-11-12,6.506230093193347
155,2011-11-19,7.097705556210925
156,2011-11-26,7.886339506901027
157,2011-12-03,0.0
158,2011-12-10,0.0
159,2011-12-17,0.0
160,2011-12-24,12.026667748024066
161,2011-12-31,10.252241358971336
162,2012-01-07,13.20961867405922
163,2012-01-14,10.252241358971336
164,2012-01-21,17.152788427509734
165,2012-01-28,11.632350772679015
166,2012-02-04,9.857924383626283
167,2012-02-11,9.463607408281232
168,2012-02-18,7.886339506901027
169,2012-02-25,10.646558334316387
170,2012-03-03,7.294864043883449
171,2012-03-10,9.857924383626283
172,2012-03-17,7.294864043883449
173,2012-03-24,10.05508287129881
174,2012-03-31,9.06929043293618
175,2012-04-07,9.857924383626283
176,2012-04-14,8.872131945263655
177,2012-04-21,9.660765895953759
178,2012-04-28,7.4920225315559765
179,2012-05-05,9.06929043293618
180,2012-05-12,7.097705556210925
181,2012-05-19,6.9005470685383985
182,2012-05-26,8.477814969918605
183,2012-06-02,13.012460186386694
184,2012-06-09,7.097705556210925
185,2012-06-16,5.717596142503244
186,2012-06-23,9.660765895953759
187,2012-06-30,11.238033797333964
188,2012-07-07,7.294864043883449
189,2012-07-14,8.674973457591129
190,2012-07-21,6.703388580865874
191,2012-07-28,4.731803704140616
192,2012-08-04,7.4920225315559765
193,2012-08-11,5.91475463017577
194,2012-08-18,7.4920225315559765
195,2012-08-25,8.280656482246078
196,2012-09-01,7.689181019228501
197,2012-09-08,4.3374867287955645
198,2012-09-15,4.53464521646809
199,2012-09-22,6.506230093193347
200,2012-09-29,3.7460112657779883
201,2012-10-06,5.126120679485668
202,2012-10-13,5.323279167158193
203,2012-10-20,0.0
204,2012-10-27,4.928962191813142
205,2012-11-03,5.323279167158193
206,2012-11-10,5.717596142503244
207,2012-11-17,4.140328241123039
208,2012-11-24,0.0
209,2012-12-01,6.160714285714286
210,2012-12-08,8.303571428571429
211,2012-12-15,6.696428571428571
212,2012-12-22,10.714285714285714
213,2012-12-29,18.21428571428571
214,2013-01-05,11.785714285714285
215,2013-01-12,10.178571428571429
216,2013-01-19,10.982142857142858
217,2013-01-26,12.857142857142856
218,2013-02-02,8.839285714285714
219,2013-02-09,11.517857142857142
220,2013-02-16,11.517857142857142
221,2013-02-23,12.857142857142856
222,2013-03-02,11.517857142857142
223,2013-03-09,12.053571428571427
224,2013-03-16,13.928571428571429
225,2013-03-23,13.660714285714285
226,2013-03-30,9.910714285714285
227,2013-04-06,5.624999999999999
228,2013-04-13,9.910714285714285
229,2013-04-20,6.696428571428571
230,2013-04-27,9.642857142857142
231,2013-05-04,8.571428571428571
232,2013-05-11,5.089285714285714
233,2013-05-18,8.571428571428571
234,2013-05-25,11.785714285714285
235,2013-06-01,11.785714285714285
236,2013-06-08,6.964285714285714
237,2013-06-15,11.249999999999998
238,2013-06-22,8.839285714285714
239,2013-06-29,11.517857142857142
240,2013-07-06,6.964285714285714
241,2013-07-13,12.589285714285714
242,2013-07-20,6.428571428571428
243,2013-07-27,5.892857142857142
244,2013-08-03,10.982142857142858
245,2013-08-10,4.821428571428571
246,2013-08-17,9.642857142857142
247,2013-08-24,10.982142857142858
248,2013-08-31,10.178571428571429
249,2013-09-07,5.892857142857142
250,2013-09-14,0.0
251,2013-09-21,5.624999999999999
252,2013-09-28,6.428571428571428
253,2013-10-05,5.892857142857142
254,2013-10-12,5.089285714285714
255,2013-10-19,6.964285714285714
256,2013-10-26,6.964285714285714
257,2013-11-02,6.428571428571428
258,2013-11-09,4.553571428571428
259,2013-11-16,7.767857142857143
260,2013-11-23,5.892857142857142
261,2013-11-30,9.107142857142856
262,2013-12-07,6.964285714285714
263,2013-12-14,4.821428571428571
264,2013-12-21,8.303571428571429
265,2013-12-28,15.803571428571427
266,2014-01-04,9.910714285714285
267,2014-01-11,7.232142857142857
268,2014-01-18,9.642857142857142
269,2014-01-25,8.839285714285714
270,2014-02-01,13.660714285714285
271,2014-02-08,10.178571428571429
272,2014-02-15,7.232142857142857
273,2014-02-22,9.642857142857142
274,2014-03-01,5.892857142857142
275,2014-03-08,10.178571428571429
276,2014-03-15,5.624999999999999
277,2014-03-22,10.446428571428571
278,2014-03-29,6.160714285714286
279,2014-04-05,8.571428571428571
280,2014-04-12,0.0
281,2014-04-19,5.624999999999999
282,2014-04-26,5.624999999999999
283,2014-05-03,0.0
284,2014-05-10,0.0
285,2014-05-17,7.232142857142857
286,2014-05-24,0.0
287,2014-05-31,0.0
288,2014-06-07,6.428571428571428
289,2014-06-14,0.0
290,2014-06-21,0.0
291,2014-06-28,0.0
292,2014-07-05,0.0
293,2014-07-12,6.160714285714286
294,2014-07-19,4.821428571428571
295,2014-07-26,11.785714285714285
296,2014-08-02,5.357142857142857
297,2014-08-09,5.624999999999999
298,2014-08-16,7.767857142857143
299,2014-08-23,4.821428571428571
300,2014-08-30,0.0
301,2014-09-06,5.892857142857142
302,2014-09-13,0.0
303,2014-09-20,5.624999999999999
304,2014-09-27,8.303571428571429
305,2014-10-04,4.821428571428571
306,2014-10-11,5.892857142857142
307,2014-10-18,6.964285714285714
308,2014-10-25,6.428571428571428
309,2014-11-01,5.357142857142857
310,2014-11-08,5.892857142857142
311,2014-11-15,0.0
312,2014-11-22,0.0
313,2014-11-29,0.0
314,2014-12-06,0.0
315,2014-12-13,0.0
316,2014-12-20,8.035714285714285
317,2014-12-27,9.375
318,2015-01-03,10.446428571428571
319,2015-01-10,8.571428571428571
320,2015-01-17,8.571428571428571
321,2015-01-24,9.642857142857142
322,2015-01-31,8.303571428571429
323,2015-02-07,7.232142857142857
324,2015-02-14,5.892857142857142
325,2015-02-21,0.0
326,2015-02-28,6.696428571428571
327,2015-03-07,5.892857142857142
328,2015-03-14,0.0
329,2015-03-21,7.232142857142857
330,2015-03-28,5.089285714285714
331,2015-04-04,7.5
332,2015-04-11,6.428571428571428
333,2015-04-18,8.035714285714285
334,2015-04-25,6.696428571428571
335,2015-05-02,5.624999999999999
336,2015-05-09,8.035714285714285
337,2015-05-16,0.0
338,2015-05-23,9.910714285714285
339,2015-05-30,6.964285714285714
340,2015-06-06,9.910714285714285
341,2015-06-13,0.0
342,2015-06-20,8.303571428571429
343,2015-06-27,0.0
344,2015-07-04,10.982142857142858
345,2015-07-11,0.0
346,2015-07-18,8.035714285714285
347,2015-07-25,6.428571428571428
348,2015-08-01,9.642857142857142
349,2015-08-08,10.446428571428571
350,2015-08-15,7.232142857142857
351,2015-08-22,7.767857142857143
352,2015-08-29,7.5
353,2015-09-05,7.767857142857143
354,2015-09-12,9.107142857142856
355,2015-09-19,6.428571428571428
356,2015-09-26,5.892857142857142
357,2015-10-03,6.964285714285714
358,2015-10-10,6.696428571428571
359,2015-10-17,5.892857142857142
360,2015-10-24,10.446428571428571
361,2015-10-31,4.821428571428571
362,2015-11-07,5.357142857142857
363,2015-11-14,6.428571428571428
364,2015-11-21,0.0
365,2015-11-28,7.232142857142857
366,2015-12-05,0.0
367,2015-12-12,6.964285714285714
368,2015-12-19,0.0
369,2015-12-26,10.446428571428571
370,2016-01-02,11.785714285714285
371,2016-01-09,8.035714285714285
372,2016-01-16,7.232142857142857
373,2016-01-23,10.178571428571429
374,2016-01-30,8.839285714285714
375,2016-02-06,7.232142857142857
376,2016-02-13,10.714285714285714
377,2016-02-20,11.785714285714285
378,2016-02-27,12.589285714285714
379,2016-03-05,16.607142857142858
380,2016-03-12,15.803571428571427
381,2016-03-19,18.21428571428571
382,2016-03-26,12.589285714285714
383,2016-04-02,10.714285714285714
384,2016-04-09,9.375
385,2016-04-16,10.982142857142858
386,2016-04-23,9.642857142857142
387,2016-04-30,9.642857142857142
388,2016-05-07,6.428571428571428
389,2016-05-14,7.5
390,2016-05-21,7.5
391,2016-05-28,5.624999999999999
392,2016-06-04,9.107142857142856
393,2016-06-11,9.107142857142856
394,2016-06-18,7.232142857142857
395,2016-06-25,8.035714285714285
396,2016-07-02,13.124999999999998
397,2016-07-09,8.571428571428571
398,2016-07-16,11.785714285714285
399,2016-07-23,7.767857142857143
400,2016-07-30,5.892857142857142
401,2016-08-06,7.5
402,2016-08-13,9.642857142857142
403,2016-08-20,5.892857142857142
404,2016-08-27,5.624999999999999
405,2016-09-03,6.696428571428571
406,2016-09-10,6.964285714285714
407,2016-09-17,12.053571428571427
408,2016-09-24,8.035714285714285
409,2016-10-01,7.5
410,2016-10-08,5.357142857142857
411,2016-10-15,8.571428571428571
412,2016-10-22,7.767857142857143
413,2016-10-29,6.696428571428571
414,2016-11-05,10.446428571428571
415,2016-11-12,15.0
416,2016-11-19,13.660714285714285
417,2016-11-26,16.0
418,2016-12-03,11.0
419,2016-12-10,7.000000000000001
420,2016-12-17,10.0
421,2016-12-24,19.0
422,2016-12-31,27.0
423,2017-01-07,17.0
424,2017-01-14,16.0
425,2017-01-21,15.0
426,2017-01-28,16.0
427,2017-02-04,13.0
428,2017-02-11,14.000000000000002
429,2017-02-18,18.0
430,2017-02-25,11.0
431,2017-03-04,11.0
432,2017-03-11,12.000000000000002
433,2017-03-18,12.000000000000002
434,2017-03-25,14.000000000000002
435,2017-04-01,11.0
436,2017-04-08,13.0
437,2017-04-15,9.0
438,2017-04-22,9.0
439,2017-04-29,12.000000000000002
440,2017-05-06,9.0
441,2017-05-13,15.0
442,2017-05-20,16.0
443,2017-05-27,16.0
444,2017-06-03,12.000000000000002
445,2017-06-10,12.000000000000002
446,2017-06-17,28.000000000000004
447,2017-06-24,48.00000000000001
448,2017-07-01,56.99999999999999
449,2017-07-08,62.0
450,2017-07-15,63.0
451,2017-07-22,57.99999999999999
452,2017-07-29,68.0
453,2017-08-05,54.0
454,2017-08-12,43.0
455,2017-08-19,41.0
456,2017-08-26,33.0
457,2017-09-02,31.0
458,2017-09-09,23.0
459,2017-09-16,21.0
460,2017-09-23,21.0
461,2017-09-30,18.0
462,2017-10-07,23.0
463,2017-10-14,23.0
464,2017-10-21,21.0
465,2017-10-28,17.0
466,2017-11-04,20.0
467,2017-11-11,26.0
468,2017-11-18,15.0
469,2017-11-25,22.0
470,2017-12-02,18.0
471,2017-12-09,15.0
472,2017-12-16,17.0
473,2017-12-23,27.0
474,2017-12-30,40.0
475,2018-01-06,31.0
476,2018-01-13,31.0
477,2018-01-20,31.0
478,2018-01-27,28.999999999999996
479,2018-02-03,26.0
480,2018-02-10,23.0
481,2018-02-17,23.0
482,2018-02-24,25.0
483,2018-03-03,24.000000000000004
484,2018-03-10,25.0
485,2018-03-17,22.0
486,2018-03-24,19.0
487,2018-03-31,23.0
488,2018-04-07,23.0
489,2018-04-14,21.0
490,2018-04-21,25.0
491,2018-04-28,19.0
492,2018-05-05,19.0
493,2018-05-12,21.0
494,2018-05-19,18.0
495,2018-05-26,20.0
496,2018-06-02,19.0
497,2018-06-09,24.000000000000004
498,2018-06-16,22.0
499,2018-06-23,22.0
500,2018-06-30,21.0
501,2018-07-07,16.0
502,2018-07-14,18.0
503,2018-07-21,24.000000000000004
504,2018-07-28,22.0
505,2018-08-04,21.0
506,2018-08-11,17.0
507,2018-08-18,21.0
508,2018-08-25,23.0
509,2018-09-01,23.0
510,2018-09-08,20.0
511,2018-09-15,17.0
512,2018-09-22,22.0
513,2018-09-29,18.0
514,2018-10-06,21.0
515,2018-10-13,17.0
516,2018-10-20,21.0
517,2018-10-27,18.0
518,2018-11-03,20.0
519,2018-11-10,17.0
520,2018-11-17,12.000000000000002
521,2018-11-24,17.0
522,2018-12-01,13.0
523,2018-12-08,15.0
524,2018-12-15,18.0
525,2018-12-22,24.000000000000004
526,2018-12-29,35.0
527,2019-01-05,34.0
528,2019-01-12,21.0
529,2019-01-19,27.0
530,2019-01-26,30.0
531,2019-02-02,26.0
532,2019-02-09,22.0
533,2019-02-16,23.0
534,2019-02-23,27.0
535,2019-03-02,23.0
536,2019-03-09,24.000000000000004
537,2019-03-16,25.0
538,2019-03-23,23.0
539,2019-03-30,26.0
540,2019-04-06,30.0
541,2019-04-13,21.0
542,2019-04-20,21.0
543,2019-04-27,24.000000000000004
544,2019-05-04,24.000000000000004
545,2019-05-11,22.0
546,2019-05-18,25.0
547,2019-05-25,22.0
548,2019-06-01,25.0
549,2019-06-08,26.0
550,2019-06-15,24.000000000000004
551,2019-06-22,23.0
552,2019-06-29,25.0
553,2019-07-06,25.0
554,2019-07-13,25.0
555,2019-07-20,30.0
556,2019-07-27,28.999999999999996
557,2019-08-03,33.0
558,2019-08-10,31.0
559,2019-08-17,28.000000000000004
560,2019-08-24,28.000000000000004
561,2019-08-31,25.0
562,2019-09-07,26.0
563,2019-09-14,28.999999999999996
564,2019-09-21,24.000000000000004
