Search Term,plant based recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,85
2020-02-01,81
2020-02-08,90
2020-02-15,86
2020-02-22,78
2020-02-29,66
2020-03-07,56
2020-03-14,34
2020-03-21,43
2020-03-28,42
2020-04-04,37
2020-04-11,42
2020-04-18,39
2020-04-25,47
2020-05-02,51
2020-05-09,54
2020-05-16,49
2020-05-23,48
2020-05-30,38
2020-06-06,43
2020-06-13,41
2020-06-20,55
2020-06-27,45
2020-07-04,62
2020-07-11,59
2020-07-18,53
2020-07-25,50
2020-08-01,51
2020-08-08,49
2020-08-15,40
2020-08-22,41
2020-08-29,41
2020-09-05,50
2020-09-12,42
2020-09-19,37
2020-09-26,50
2020-10-03,46
2020-10-10,44
2020-10-17,46
2020-10-24,41
2020-10-31,39
2020-11-07,39
2020-11-14,41
2020-11-21,35
2020-11-28,38
2020-12-05,35
2020-12-12,34
2020-12-19,35
2020-12-26,60
2021-01-02,66
2021-01-09,57
2021-01-16,56
2021-01-23,53
2021-01-30,48
2021-02-06,45
2021-02-13,44
2021-02-20,64
2021-02-27,49
2021-03-06,37
2021-03-13,47
2021-03-20,46
2021-03-27,45
2021-04-03,49
2021-04-10,44
2021-04-17,43
2021-04-24,41
2021-05-01,47
2021-05-08,44
2021-05-15,37
2021-05-22,40
2021-05-29,41
2021-06-05,42
2021-06-12,40
2021-06-19,37
2021-06-26,46
2021-07-03,42
2021-07-10,39
2021-07-17,41
2021-07-24,40
2021-07-31,43
2021-08-07,44
2021-08-14,41
2021-08-21,37
2021-08-28,36
2021-09-04,34
2021-09-11,36
2021-09-18,34
2021-09-25,39
2021-10-02,34
2021-10-09,40
2021-10-16,32
2021-10-23,35
2021-10-30,34
2021-11-06,40
2021-11-13,32
2021-11-20,32
2021-11-27,33
2021-12-04,31
2021-12-11,32
2021-12-18,23
2021-12-25,38
2022-01-01,66
2022-01-08,50
2022-01-15,42
2022-01-22,40
2022-01-29,42
2022-02-05,38
2022-02-12,41
2022-02-19,41
2022-02-26,34
2022-03-05,35
2022-03-12,32
2022-03-19,29
2022-03-26,32
2022-04-02,33
2022-04-09,32
2022-04-16,31
2022-04-23,35
2022-04-30,30
2022-05-07,29
2022-05-14,33
2022-05-21,28
2022-05-28,28
2022-06-04,33
2022-06-11,33
2022-06-18,32
2022-06-25,28
2022-07-02,30
2022-07-09,29
2022-07-16,35
2022-07-23,30
2022-07-30,32
2022-08-06,26
2022-08-13,32
2022-08-20,34
2022-08-27,25
2022-09-03,26
2022-09-10,22
2022-09-17,22
2022-09-24,25
2022-10-01,24
2022-10-08,27
2022-10-15,25
2022-10-22,29
2022-10-29,22
2022-11-05,24
2022-11-12,25
2022-11-19,21
2022-11-26,23
2022-12-03,21
2022-12-10,22
2022-12-17,21
2022-12-24,28
2022-12-31,36
2023-01-07,33
2023-01-14,27
2023-01-21,31
2023-01-28,29
2023-02-04,31
2023-02-11,27
2023-02-18,33
2023-02-25,28
2023-03-04,30
2023-03-11,27
2023-03-18,26
2023-03-25,24
2023-04-01,26
2023-04-08,36
2023-04-15,33
2023-04-22,32
2023-04-29,27
2023-05-06,30
2023-05-13,25
2023-05-20,30
2023-05-27,24
2023-06-03,26
2023-06-10,29
2023-06-17,23
2023-06-24,25
2023-07-01,23
2023-07-08,25
2023-07-15,24
2023-07-22,25
2023-07-29,25
2023-08-05,29
2023-08-12,22
2023-08-19,24
2023-08-26,24
2023-09-02,26
2023-09-09,27
2023-09-16,22
2023-09-23,19
2023-09-30,21
2023-10-07,25
2023-10-14,25
2023-10-21,25
2023-10-28,22
2023-11-04,22
2023-11-11,17
2023-11-18,19
2023-11-25,19
2023-12-02,20
2023-12-09,20
2023-12-16,17
2023-12-23,26
2023-12-30,100
2024-01-06,96
2024-01-13,66
2024-01-20,46
2024-01-27,39
2024-02-03,37
2024-02-10,24
2024-02-17,27
2024-02-24,28
2024-03-02,25
2024-03-09,26
2024-03-16,30
2024-03-23,30
2024-03-30,19
2024-04-06,21
2024-04-13,21
2024-04-20,25
2024-04-27,22
2024-05-04,21
2024-05-11,24
2024-05-18,21
2024-05-25,17
