Search Term,plant based restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,0
2017-04-08,0
2017-04-15,0
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,0
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,0
2017-06-24,0
2017-07-01,0
2017-07-08,0
2017-07-15,25
2017-07-22,42
2017-07-29,39
2017-08-05,31
2017-08-12,40
2017-08-19,0
2017-08-26,21
2017-09-02,0
2017-09-09,0
2017-09-16,0
2017-09-23,28
2017-09-30,0
2017-10-07,0
2017-10-14,0
2017-10-21,0
2017-10-28,0
2017-11-04,0
2017-11-11,0
2017-11-18,0
2017-11-25,0
2017-12-02,0
2017-12-09,0
2017-12-16,0
2017-12-23,0
2017-12-30,20
2018-01-06,0
2018-01-13,0
2018-01-20,20
2018-01-27,25
2018-02-03,0
2018-02-10,0
2018-02-17,20
2018-02-24,0
2018-03-03,33
2018-03-10,0
2018-03-17,22
2018-03-24,19
2018-03-31,22
2018-04-07,21
2018-04-14,0
2018-04-21,26
2018-04-28,19
2018-05-05,19
2018-05-12,0
2018-05-19,24
2018-05-26,35
2018-06-02,0
2018-06-09,0
2018-06-16,0
2018-06-23,26
2018-06-30,0
2018-07-07,0
2018-07-14,0
2018-07-21,26
2018-07-28,26
2018-08-04,0
2018-08-11,24
2018-08-18,21
2018-08-25,0
2018-09-01,0
2018-09-08,0
2018-09-15,0
2018-09-22,25
2018-09-29,20
2018-10-06,0
2018-10-13,0
2018-10-20,0
2018-10-27,0
2018-11-03,33
2018-11-10,0
2018-11-17,0
2018-11-24,0
2018-12-01,26
2018-12-08,23
2018-12-15,0
2018-12-22,0
2018-12-29,0
2019-01-05,0
2019-01-12,24
2019-01-19,0
2019-01-26,21
2019-02-02,22
2019-02-09,23
2019-02-16,21
2019-02-23,0
2019-03-02,31
2019-03-09,23
2019-03-16,27
2019-03-23,30
2019-03-30,20
2019-04-06,29
2019-04-13,0
2019-04-20,28
2019-04-27,35
2019-05-04,30
2019-05-11,25
2019-05-18,0
2019-05-25,29
2019-06-01,23
2019-06-08,30
2019-06-15,32
2019-06-22,33
2019-06-29,43
2019-07-06,25
2019-07-13,28
2019-07-20,47
2019-07-27,32
2019-08-03,35
2019-08-10,37
2019-08-17,32
2019-08-24,40
2019-08-31,35
2019-09-07,44
2019-09-14,23
2019-09-21,36
2019-09-28,29
2019-10-05,34
2019-10-12,43
2019-10-19,83
2019-10-26,66
2019-11-02,77
2019-11-09,84
2019-11-16,69
2019-11-23,73
2019-11-30,52
2019-12-07,58
2019-12-14,39
2019-12-21,68
2019-12-28,85
2020-01-04,90
2020-01-11,83
2020-01-18,100
2020-01-25,69
2020-02-01,59
2020-02-08,81
2020-02-15,73
2020-02-22,63
