Search Term,vegan diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,0
2008-12-06,0
2008-12-13,0
2008-12-20,0
2008-12-27,0
2009-01-03,0
2009-01-10,0
2009-01-17,0
2009-01-24,0
2009-01-31,0
2009-02-07,0
2009-02-14,0
2009-02-21,0
2009-02-28,0
2009-03-07,0
2009-03-14,0
2009-03-21,0
2009-03-28,0
2009-04-04,0
2009-04-11,0
2009-04-18,0
2009-04-25,0
2009-05-02,0
2009-05-09,0
2009-05-16,0
2009-05-23,0
2009-05-30,56
2009-06-06,0
2009-06-13,0
2009-06-20,0
2009-06-27,0
2009-07-04,0
2009-07-11,0
2009-07-18,0
2009-07-25,0
2009-08-01,0
2009-08-08,0
2009-08-15,0
2009-08-22,0
2009-08-29,0
2009-09-05,0
2009-09-12,0
2009-09-19,0
2009-09-26,0
2009-10-03,0
2009-10-10,0
2009-10-17,0
2009-10-24,0
2009-10-31,43
2009-11-07,48
2009-11-14,0
2009-11-21,0
2009-11-28,68
2009-12-05,0
2009-12-12,0
2009-12-19,0
2009-12-26,0
2010-01-02,0
2010-01-09,0
2010-01-16,0
2010-01-23,44
2010-01-30,0
2010-02-06,0
2010-02-13,47
2010-02-20,0
2010-02-27,0
2010-03-06,0
2010-03-13,0
2010-03-20,0
2010-03-27,61
2010-04-03,0
2010-04-10,48
2010-04-17,0
2010-04-24,0
2010-05-01,0
2010-05-08,0
2010-05-15,0
2010-05-22,0
2010-05-29,48
2010-06-05,47
2010-06-12,0
2010-06-19,0
2010-06-26,0
2010-07-03,0
2010-07-10,0
2010-07-17,0
2010-07-24,0
2010-07-31,0
2010-08-07,0
2010-08-14,0
2010-08-21,0
2010-08-28,0
2010-09-04,0
2010-09-11,0
2010-09-18,43
2010-09-25,0
2010-10-02,0
2010-10-09,0
2010-10-16,38
2010-10-23,0
2010-10-30,0
2010-11-06,0
2010-11-13,0
2010-11-20,0
2010-11-27,0
2010-12-04,0
2010-12-11,0
2010-12-18,0
2010-12-25,53
2011-01-01,34
2011-01-08,35
2011-01-15,36
2011-01-22,39
2011-01-29,89
2011-02-05,45
2011-02-12,28
2011-02-19,37
2011-02-26,0
2011-03-05,43
2011-03-12,43
2011-03-19,55
2011-03-26,0
2011-04-02,32
2011-04-09,26
2011-04-16,37
2011-04-23,43
2011-04-30,0
2011-05-07,32
2011-05-14,0
2011-05-21,33
2011-05-28,33
2011-06-04,48
2011-06-11,28
2011-06-18,33
2011-06-25,37
2011-07-02,0
2011-07-09,35
2011-07-16,45
2011-07-23,33
2011-07-30,48
2011-08-06,29
2011-08-13,75
2011-08-20,74
2011-08-27,45
2011-09-03,64
2011-09-10,63
2011-09-17,42
2011-09-24,43
2011-10-01,0
2011-10-08,60
2011-10-15,43
2011-10-22,29
2011-10-29,35
2011-11-05,34
2011-11-12,26
2011-11-19,24
2011-11-26,72
2011-12-03,34
2011-12-10,33
2011-12-17,0
2011-12-24,45
2011-12-31,63
2012-01-07,56
2012-01-14,53
2012-01-21,46
2012-01-28,38
2012-02-04,54
2012-02-11,44
2012-02-18,38
2012-02-25,49
2012-03-03,25
2012-03-10,44
2012-03-17,48
2012-03-24,42
2012-03-31,50
2012-04-07,51
2012-04-14,35
2012-04-21,56
2012-04-28,57
2012-05-05,46
2012-05-12,50
2012-05-19,43
2012-05-26,52
2012-06-02,100
2012-06-09,69
2012-06-16,73
2012-06-23,66
2012-06-30,27
2012-07-07,61
2012-07-14,79
2012-07-21,62
2012-07-28,63
2012-08-04,39
2012-08-11,42
2012-08-18,55
2012-08-25,48
2012-09-01,59
2012-09-08,56
2012-09-15,50
2012-09-22,49
2012-09-29,52
2012-10-06,50
2012-10-13,37
2012-10-20,43
2012-10-27,35
2012-11-03,39
2012-11-10,39
2012-11-17,36
2012-11-24,57
2012-12-01,36
2012-12-08,41
2012-12-15,46
2012-12-22,64
2012-12-29,69
