Search Term,vegan near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,15
2016-12-03,16
2016-12-10,18
2016-12-17,21
2016-12-24,19
2016-12-31,20
2017-01-07,17
2017-01-14,18
2017-01-21,17
2017-01-28,17
2017-02-04,19
2017-02-11,20
2017-02-18,22
2017-02-25,22
2017-03-04,20
2017-03-11,23
2017-03-18,23
2017-03-25,25
2017-04-01,23
2017-04-08,26
2017-04-15,22
2017-04-22,21
2017-04-29,21
2017-05-06,23
2017-05-13,24
2017-05-20,25
2017-05-27,32
2017-06-03,28
2017-06-10,28
2017-06-17,32
2017-06-24,39
2017-07-01,43
2017-07-08,44
2017-07-15,54
2017-07-22,55
2017-07-29,59
2017-08-05,58
2017-08-12,57
2017-08-19,55
2017-08-26,51
2017-09-02,49
2017-09-09,47
2017-09-16,47
2017-09-23,42
2017-09-30,46
2017-10-07,45
2017-10-14,45
2017-10-21,43
2017-10-28,38
2017-11-04,40
2017-11-11,39
2017-11-18,41
2017-11-25,36
2017-12-02,36
2017-12-09,34
2017-12-16,40
2017-12-23,43
2017-12-30,48
2018-01-06,46
2018-01-13,49
2018-01-20,52
2018-01-27,48
2018-02-03,47
2018-02-10,54
2018-02-17,53
2018-02-24,51
2018-03-03,54
2018-03-10,56
2018-03-17,54
2018-03-24,60
2018-03-31,56
2018-04-07,49
2018-04-14,52
2018-04-21,52
2018-04-28,49
2018-05-05,49
2018-05-12,50
2018-05-19,49
2018-05-26,55
2018-06-02,59
2018-06-09,66
2018-06-16,63
2018-06-23,68
2018-06-30,72
2018-07-07,68
2018-07-14,67
2018-07-21,68
2018-07-28,68
2018-08-04,68
2018-08-11,70
2018-08-18,66
2018-08-25,62
2018-09-01,62
2018-09-08,56
2018-09-15,59
2018-09-22,56
2018-09-29,58
2018-10-06,56
2018-10-13,59
2018-10-20,55
2018-10-27,53
2018-11-03,52
2018-11-10,53
2018-11-17,54
2018-11-24,47
2018-12-01,49
2018-12-08,50
2018-12-15,59
2018-12-22,65
2018-12-29,71
2019-01-05,62
2019-01-12,58
2019-01-19,60
2019-01-26,57
2019-02-02,56
2019-02-09,63
2019-02-16,62
2019-02-23,60
2019-03-02,64
2019-03-09,69
2019-03-16,70
2019-03-23,73
2019-03-30,73
2019-04-06,74
2019-04-13,79
2019-04-20,69
2019-04-27,75
2019-05-04,74
2019-05-11,76
2019-05-18,76
2019-05-25,80
2019-06-01,83
2019-06-08,82
2019-06-15,85
2019-06-22,84
2019-06-29,94
2019-07-06,81
2019-07-13,95
2019-07-20,91
2019-07-27,88
2019-08-03,90
2019-08-10,90
2019-08-17,82
2019-08-24,80
2019-08-31,78
2019-09-07,68
2019-09-14,72
2019-09-21,71
2019-09-28,75
2019-10-05,70
2019-10-12,73
2019-10-19,76
2019-10-26,89
2019-11-02,75
2019-11-09,81
2019-11-16,82
2019-11-23,86
2019-11-30,68
2019-12-07,73
2019-12-14,76
2019-12-21,89
2019-12-28,100
2020-01-04,88
2020-01-11,82
2020-01-18,90
2020-01-25,78
2020-02-01,80
2020-02-08,88
2020-02-15,85
2020-02-22,80
