Search Term,vegan recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-27,0
2004-01-03,63
2004-01-10,0
2004-01-17,47
2004-01-24,0
2004-01-31,29
2004-02-07,0
2004-02-14,44
2004-02-21,0
2004-02-28,0
2004-03-06,0
2004-03-13,52
2004-03-20,0
2004-03-27,37
2004-04-03,34
2004-04-10,0
2004-04-17,39
2004-04-24,0
2004-05-01,30
2004-05-08,0
2004-05-15,0
2004-05-22,0
2004-05-29,33
2004-06-05,0
2004-06-12,36
2004-06-19,0
2004-06-26,32
2004-07-03,50
2004-07-10,35
2004-07-17,50
2004-07-24,34
2004-07-31,0
2004-08-07,33
2004-08-14,29
2004-08-21,0
2004-08-28,32
2004-09-04,41
2004-09-11,40
2004-09-18,35
2004-09-25,30
2004-10-02,27
2004-10-09,0
2004-10-16,33
2004-10-23,55
2004-10-30,47
2004-11-06,65
2004-11-13,37
2004-11-20,83
2004-11-27,21
2004-12-04,26
2004-12-11,54
2004-12-18,65
2004-12-25,36
2005-01-01,29
2005-01-08,28
2005-01-15,37
2005-01-22,47
2005-01-29,32
2005-02-05,34
2005-02-12,27
2005-02-19,45
2005-02-26,31
2005-03-05,31
2005-03-12,36
2005-03-19,38
2005-03-26,30
2005-04-02,0
2005-04-09,37
2005-04-16,0
2005-04-23,0
2005-04-30,30
2005-05-07,29
2005-05-14,32
2005-05-21,33
2005-05-28,36
2005-06-04,37
2005-06-11,32
2005-06-18,28
2005-06-25,42
2005-07-02,46
2005-07-09,38
2005-07-16,22
2005-07-23,38
2005-07-30,32
2005-08-06,34
2005-08-13,42
2005-08-20,30
2005-08-27,40
2005-09-03,27
2005-09-10,38
2005-09-17,33
2005-09-24,36
2005-10-01,38
2005-10-08,31
2005-10-15,28
2005-10-22,42
2005-10-29,39
2005-11-05,44
2005-11-12,40
2005-11-19,76
2005-11-26,35
2005-12-03,39
2005-12-10,36
2005-12-17,72
2005-12-24,47
2005-12-31,38
2006-01-07,37
2006-01-14,27
2006-01-21,29
2006-01-28,23
2006-02-04,32
2006-02-11,38
2006-02-18,37
2006-02-25,21
2006-03-04,37
2006-03-11,29
2006-03-18,29
2006-03-25,28
2006-04-01,26
2006-04-08,32
2006-04-15,34
2006-04-22,30
2006-04-29,29
2006-05-06,29
2006-05-13,40
2006-05-20,37
2006-05-27,39
2006-06-03,25
2006-06-10,37
2006-06-17,35
2006-06-24,40
2006-07-01,27
2006-07-08,17
2006-07-15,27
2006-07-22,29
2006-07-29,37
2006-08-05,28
2006-08-12,37
2006-08-19,37
2006-08-26,36
2006-09-02,41
2006-09-09,39
2006-09-16,29
2006-09-23,24
2006-09-30,34
2006-10-07,37
2006-10-14,29
2006-10-21,45
2006-10-28,37
2006-11-04,33
2006-11-11,44
2006-11-18,78
2006-11-25,27
2006-12-02,41
2006-12-09,39
2006-12-16,58
2006-12-23,56
2006-12-30,44
2007-01-06,43
2007-01-13,35
2007-01-20,30
2007-01-27,38
2007-02-03,30
2007-02-10,47
2007-02-17,39
2007-02-24,39
2007-03-03,39
2007-03-10,36
2007-03-17,36
2007-03-24,39
2007-03-31,43
2007-04-07,32
2007-04-14,21
2007-04-21,32
2007-04-28,33
2007-05-05,37
2007-05-12,38
2007-05-19,36
2007-05-26,35
2007-06-02,40
2007-06-09,37
2007-06-16,37
2007-06-23,40
2007-06-30,47
2007-07-07,36
2007-07-14,40
2007-07-21,42
2007-07-28,42
2007-08-04,45
2007-08-11,48
2007-08-18,35
2007-08-25,39
2007-09-01,34
2007-09-08,41
2007-09-15,43
2007-09-22,35
2007-09-29,35
2007-10-06,48
2007-10-13,46
2007-10-20,45
2007-10-27,53
2007-11-03,38
2007-11-10,59
2007-11-17,96
2007-11-24,42
2007-12-01,49
2007-12-08,48
2007-12-15,50
2007-12-22,78
2007-12-29,54
2008-01-05,43
2008-01-12,43
2008-01-19,41
2008-01-26,37
2008-02-02,46
2008-02-09,41
2008-02-16,38
2008-02-23,43
2008-03-01,41
2008-03-08,42
2008-03-15,45
2008-03-22,40
2008-03-29,36
2008-04-05,38
2008-04-12,44
2008-04-19,40
2008-04-26,45
2008-05-03,45
2008-05-10,42
2008-05-17,37
2008-05-24,42
2008-05-31,30
2008-06-07,39
2008-06-14,42
2008-06-21,54
2008-06-28,52
2008-07-05,44
2008-07-12,39
2008-07-19,39
2008-07-26,36
2008-08-02,49
2008-08-09,42
2008-08-16,40
2008-08-23,36
2008-08-30,41
2008-09-06,47
2008-09-13,43
2008-09-20,46
2008-09-27,52
2008-10-04,45
2008-10-11,49
2008-10-18,47
2008-10-25,38
2008-11-01,51
2008-11-08,57
2008-11-15,58
2008-11-22,100
2008-11-29,49
2008-12-06,51
2008-12-13,61
2008-12-20,93
2008-12-27,57
