Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,59
2012-12-01,63
2012-12-08,62
2012-12-15,76
2012-12-22,90
2012-12-29,100
2013-01-05,96
2013-01-12,86
2013-01-19,83
2013-01-26,80
2013-02-02,78
2013-02-09,80
2013-02-16,79
2013-02-23,77
2013-03-02,81
2013-03-09,79
2013-03-16,80
2013-03-23,88
2013-03-30,70
2013-04-06,79
2013-04-13,76
2013-04-20,74
2013-04-27,69
2013-05-04,64
2013-05-11,66
2013-05-18,72
2013-05-25,67
2013-06-01,72
2013-06-08,71
2013-06-15,67
2013-06-22,73
2013-06-29,69
2013-07-06,71
2013-07-13,68
2013-07-20,69
2013-07-27,74
2013-08-03,71
2013-08-10,66
2013-08-17,71
2013-08-24,64
2013-08-31,68
2013-09-07,69
2013-09-14,70
2013-09-21,72
2013-09-28,61
2013-10-05,72
2013-10-12,61
2013-10-19,67
2013-10-26,62
2013-11-02,69
2013-11-09,72
2013-11-16,77
2013-11-23,82
2013-11-30,68
2013-12-07,68
2013-12-14,72
2013-12-21,73
2013-12-28,90
2014-01-04,94
2014-01-11,81
2014-01-18,83
2014-01-25,82
2014-02-01,76
2014-02-08,81
2014-02-15,70
2014-02-22,74
2014-03-01,77
2014-03-08,73
2014-03-15,71
2014-03-22,73
2014-03-29,69
2014-04-05,66
2014-04-12,72
2014-04-19,56
2014-04-26,59
2014-05-03,60
2014-05-10,58
2014-05-17,57
2014-05-24,60
2014-05-31,58
2014-06-07,59
2014-06-14,58
2014-06-21,56
2014-06-28,61
2014-07-05,60
2014-07-12,62
2014-07-19,59
2014-07-26,60
2014-08-02,57
2014-08-09,56
2014-08-16,54
2014-08-23,56
2014-08-30,54
2014-09-06,52
2014-09-13,54
2014-09-20,53
2014-09-27,54
2014-10-04,60
2014-10-11,57
2014-10-18,54
2014-10-25,53
2014-11-01,57
2014-11-08,61
2014-11-15,70
2014-11-22,81
2014-11-29,53
2014-12-06,53
2014-12-13,56
2014-12-20,67
2014-12-27,68
2015-01-03,72
2015-01-10,61
2015-01-17,60
2015-01-24,58
2015-01-31,55
2015-02-07,53
2015-02-14,56
2015-02-21,54
2015-02-28,53
2015-03-07,53
2015-03-14,57
2015-03-21,55
2015-03-28,59
2015-04-04,49
2015-04-11,50
2015-04-18,44
2015-04-25,49
2015-05-02,50
2015-05-09,54
2015-05-16,50
2015-05-23,53
2015-05-30,57
2015-06-06,59
2015-06-13,55
2015-06-20,57
2015-06-27,58
2015-07-04,56
2015-07-11,56
2015-07-18,55
2015-07-25,58
2015-08-01,52
2015-08-08,58
2015-08-15,52
2015-08-22,57
2015-08-29,52
2015-09-05,54
2015-09-12,52
2015-09-19,53
2015-09-26,58
2015-10-03,53
2015-10-10,55
2015-10-17,57
2015-10-24,54
2015-10-31,57
2015-11-07,59
2015-11-14,71
2015-11-21,76
2015-11-28,53
2015-12-05,54
2015-12-12,53
2015-12-19,79
2015-12-26,79
2016-01-02,80
2016-01-09,72
2016-01-16,78
2016-01-23,70
2016-01-30,66
2016-02-06,65
2016-02-13,62
2016-02-20,67
2016-02-27,64
2016-03-05,69
2016-03-12,66
2016-03-19,82
2016-03-26,65
2016-04-02,68
2016-04-09,71
2016-04-16,64
2016-04-23,65
2016-04-30,69
2016-05-07,66
2016-05-14,71
2016-05-21,67
2016-05-28,67
2016-06-04,63
2016-06-11,67
2016-06-18,61
2016-06-25,68
2016-07-02,62
2016-07-09,65
2016-07-16,62
2016-07-23,65
2016-07-30,67
2016-08-06,58
2016-08-13,53
2016-08-20,55
2016-08-27,62
2016-09-03,59
2016-09-10,56
2016-09-17,58
2016-09-24,57
2016-10-01,58
2016-10-08,61
2016-10-15,56
2016-10-22,58
2016-10-29,64
2016-11-05,59
2016-11-12,68
2016-11-19,81
2016-11-26,60
2016-12-03,67
2016-12-10,64
2016-12-17,80
2016-12-24,71
2016-12-31,91
