Search Term,vegan restaurant near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,21
2016-12-03,18
2016-12-10,18
2016-12-17,21
2016-12-24,21
2016-12-31,27
2017-01-07,21
2017-01-14,17
2017-01-21,10
2017-01-28,16
2017-02-04,18
2017-02-11,21
2017-02-18,21
2017-02-25,21
2017-03-04,22
2017-03-11,27
2017-03-18,18
2017-03-25,21
2017-04-01,25
2017-04-08,25
2017-04-15,26
2017-04-22,16
2017-04-29,23
2017-05-06,18
2017-05-13,31
2017-05-20,32
2017-05-27,34
2017-06-03,29
2017-06-10,32
2017-06-17,29
2017-06-24,37
2017-07-01,45
2017-07-08,41
2017-07-15,46
2017-07-22,53
2017-07-29,52
2017-08-05,61
2017-08-12,50
2017-08-19,58
2017-08-26,47
2017-09-02,48
2017-09-09,45
2017-09-16,47
2017-09-23,47
2017-09-30,42
2017-10-07,35
2017-10-14,37
2017-10-21,40
2017-10-28,40
2017-11-04,42
2017-11-11,39
2017-11-18,50
2017-11-25,39
2017-12-02,31
2017-12-09,40
2017-12-16,52
2017-12-23,45
2017-12-30,52
2018-01-06,54
2018-01-13,49
2018-01-20,52
2018-01-27,58
2018-02-03,50
2018-02-10,57
2018-02-17,57
2018-02-24,53
2018-03-03,74
2018-03-10,54
2018-03-17,58
2018-03-24,57
2018-03-31,54
2018-04-07,58
2018-04-14,55
2018-04-21,61
2018-04-28,55
2018-05-05,49
2018-05-12,62
2018-05-19,51
2018-05-26,48
2018-06-02,61
2018-06-09,66
2018-06-16,57
2018-06-23,64
2018-06-30,76
2018-07-07,69
2018-07-14,64
2018-07-21,57
2018-07-28,69
2018-08-04,55
2018-08-11,62
2018-08-18,60
2018-08-25,62
2018-09-01,55
2018-09-08,57
2018-09-15,54
2018-09-22,59
2018-09-29,53
2018-10-06,59
2018-10-13,67
2018-10-20,58
2018-10-27,50
2018-11-03,58
2018-11-10,55
2018-11-17,47
2018-11-24,42
2018-12-01,53
2018-12-08,43
2018-12-15,56
2018-12-22,67
2018-12-29,82
2019-01-05,72
2019-01-12,70
2019-01-19,74
2019-01-26,49
2019-02-02,67
2019-02-09,56
2019-02-16,65
2019-02-23,67
2019-03-02,81
2019-03-09,80
2019-03-16,82
2019-03-23,76
2019-03-30,85
2019-04-06,71
2019-04-13,83
2019-04-20,66
2019-04-27,66
2019-05-04,77
2019-05-11,71
2019-05-18,80
2019-05-25,76
2019-06-01,70
2019-06-08,72
2019-06-15,90
2019-06-22,84
2019-06-29,86
2019-07-06,76
2019-07-13,87
2019-07-20,89
2019-07-27,86
2019-08-03,82
2019-08-10,84
2019-08-17,76
2019-08-24,67
2019-08-31,73
2019-09-07,63
2019-09-14,63
2019-09-21,67
2019-09-28,69
2019-10-05,60
2019-10-12,65
2019-10-19,70
2019-10-26,81
2019-11-02,74
2019-11-09,77
2019-11-16,73
2019-11-23,82
2019-11-30,60
2019-12-07,70
2019-12-14,71
2019-12-21,88
2019-12-28,85
2020-01-04,92
2020-01-11,89
2020-01-18,91
2020-01-25,83
2020-02-01,84
2020-02-08,88
2020-02-15,100
2020-02-22,70
