Search Term,vegan restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,42
2012-12-01,42
2012-12-08,37
2012-12-15,43
2012-12-22,61
2012-12-29,57
2013-01-05,62
2013-01-12,64
2013-01-19,55
2013-01-26,52
2013-02-02,52
2013-02-09,63
2013-02-16,67
2013-02-23,48
2013-03-02,55
2013-03-09,58
2013-03-16,65
2013-03-23,62
2013-03-30,50
2013-04-06,61
2013-04-13,49
2013-04-20,57
2013-04-27,56
2013-05-04,59
2013-05-11,54
2013-05-18,55
2013-05-25,59
2013-06-01,56
2013-06-08,62
2013-06-15,68
2013-06-22,72
2013-06-29,56
2013-07-06,60
2013-07-13,60
2013-07-20,55
2013-07-27,56
2013-08-03,67
2013-08-10,63
2013-08-17,60
2013-08-24,52
2013-08-31,45
2013-09-07,56
2013-09-14,49
2013-09-21,52
2013-09-28,47
2013-10-05,50
2013-10-12,52
2013-10-19,52
2013-10-26,45
2013-11-02,49
2013-11-09,57
2013-11-16,50
2013-11-23,50
2013-11-30,44
2013-12-07,45
2013-12-14,51
2013-12-21,59
2013-12-28,68
2014-01-04,63
2014-01-11,57
2014-01-18,55
2014-01-25,62
2014-02-01,50
2014-02-08,69
2014-02-15,67
2014-02-22,64
2014-03-01,61
2014-03-08,68
2014-03-15,69
2014-03-22,62
2014-03-29,64
2014-04-05,65
2014-04-12,62
2014-04-19,61
2014-04-26,51
2014-05-03,56
2014-05-10,61
2014-05-17,65
2014-05-24,63
2014-05-31,53
2014-06-07,53
2014-06-14,71
2014-06-21,57
2014-06-28,55
2014-07-05,61
2014-07-12,64
2014-07-19,65
2014-07-26,72
2014-08-02,68
2014-08-09,65
2014-08-16,64
2014-08-23,51
2014-08-30,44
2014-09-06,56
2014-09-13,54
2014-09-20,50
2014-09-27,51
2014-10-04,56
2014-10-11,51
2014-10-18,51
2014-10-25,38
2014-11-01,54
2014-11-08,51
2014-11-15,46
2014-11-22,49
2014-11-29,47
2014-12-06,42
2014-12-13,49
2014-12-20,58
2014-12-27,58
2015-01-03,59
2015-01-10,54
2015-01-17,51
2015-01-24,49
2015-01-31,46
2015-02-07,57
2015-02-14,58
2015-02-21,48
2015-02-28,55
2015-03-07,63
2015-03-14,62
2015-03-21,55
2015-03-28,49
2015-04-04,59
2015-04-11,56
2015-04-18,55
2015-04-25,54
2015-05-02,60
2015-05-09,59
2015-05-16,58
2015-05-23,55
2015-05-30,54
2015-06-06,63
2015-06-13,66
2015-06-20,63
2015-06-27,57
2015-07-04,58
2015-07-11,72
2015-07-18,67
2015-07-25,71
2015-08-01,72
2015-08-08,69
2015-08-15,73
2015-08-22,58
2015-08-29,56
2015-09-05,70
2015-09-12,59
2015-09-19,47
2015-09-26,63
2015-10-03,62
2015-10-10,58
2015-10-17,58
2015-10-24,55
2015-10-31,65
2015-11-07,52
2015-11-14,62
2015-11-21,60
2015-11-28,48
2015-12-05,59
2015-12-12,66
2015-12-19,74
2015-12-26,81
2016-01-02,80
2016-01-09,82
2016-01-16,74
2016-01-23,73
2016-01-30,71
2016-02-06,77
2016-02-13,89
2016-02-20,78
2016-02-27,72
2016-03-05,88
2016-03-12,80
2016-03-19,89
2016-03-26,76
2016-04-02,81
2016-04-09,87
2016-04-16,87
2016-04-23,83
2016-04-30,85
2016-05-07,91
2016-05-14,92
2016-05-21,81
2016-05-28,93
2016-06-04,85
2016-06-11,95
2016-06-18,93
2016-06-25,89
2016-07-02,89
2016-07-09,100
2016-07-16,93
2016-07-23,89
2016-07-30,78
2016-08-06,97
2016-08-13,78
2016-08-20,87
2016-08-27,84
2016-09-03,74
2016-09-10,74
2016-09-17,80
2016-09-24,65
2016-10-01,65
2016-10-08,65
2016-10-15,83
2016-10-22,70
2016-10-29,69
2016-11-05,70
2016-11-12,74
2016-11-19,73
2016-11-26,67
2016-12-03,69
2016-12-10,76
2016-12-17,84
2016-12-24,90
2016-12-31,91
