Search Term,vegan restaurants near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,76
2020-02-01,75
2020-02-08,89
2020-02-15,79
2020-02-22,71
2020-02-29,78
2020-03-07,62
2020-03-14,26
2020-03-21,13
2020-03-28,16
2020-04-04,16
2020-04-11,16
2020-04-18,20
2020-04-25,23
2020-05-02,33
2020-05-09,35
2020-05-16,39
2020-05-23,42
2020-05-30,49
2020-06-06,58
2020-06-13,63
2020-06-20,70
2020-06-27,74
2020-07-04,73
2020-07-11,70
2020-07-18,61
2020-07-25,57
2020-08-01,59
2020-08-08,68
2020-08-15,67
2020-08-22,59
2020-08-29,71
2020-09-05,68
2020-09-12,62
2020-09-19,59
2020-09-26,63
2020-10-03,68
2020-10-10,73
2020-10-17,67
2020-10-24,56
2020-10-31,51
2020-11-07,59
2020-11-14,58
2020-11-21,52
2020-11-28,50
2020-12-05,46
2020-12-12,47
2020-12-19,53
2020-12-26,64
2021-01-02,64
2021-01-09,68
2021-01-16,65
2021-01-23,61
2021-01-30,58
2021-02-06,62
2021-02-13,69
2021-02-20,72
2021-02-27,72
2021-03-06,75
2021-03-13,75
2021-03-20,84
2021-03-27,83
2021-04-03,96
2021-04-10,79
2021-04-17,82
2021-04-24,82
2021-05-01,87
2021-05-08,90
2021-05-15,89
2021-05-22,91
2021-05-29,86
2021-06-05,87
2021-06-12,98
2021-06-19,95
2021-06-26,90
2021-07-03,98
2021-07-10,100
2021-07-17,98
2021-07-24,92
2021-07-31,93
2021-08-07,100
2021-08-14,89
2021-08-21,87
2021-08-28,86
2021-09-04,92
2021-09-11,73
2021-09-18,80
2021-09-25,80
2021-10-02,76
2021-10-09,79
2021-10-16,80
2021-10-23,63
2021-10-30,75
2021-11-06,71
2021-11-13,64
2021-11-20,60
2021-11-27,55
2021-12-04,64
2021-12-11,63
2021-12-18,68
2021-12-25,74
2022-01-01,64
2022-01-08,67
2022-01-15,61
2022-01-22,56
2022-01-29,56
2022-02-05,72
2022-02-12,73
2022-02-19,69
2022-02-26,76
2022-03-05,71
2022-03-12,83
2022-03-19,75
2022-03-26,69
2022-04-02,72
2022-04-09,79
2022-04-16,63
2022-04-23,67
2022-04-30,61
2022-05-07,69
2022-05-14,60
2022-05-21,69
2022-05-28,70
2022-06-04,63
2022-06-11,72
2022-06-18,67
2022-06-25,66
2022-07-02,75
2022-07-09,67
2022-07-16,68
2022-07-23,62
2022-07-30,68
2022-08-06,68
2022-08-13,64
2022-08-20,56
2022-08-27,57
2022-09-03,61
2022-09-10,55
2022-09-17,54
2022-09-24,52
2022-10-01,54
2022-10-08,60
2022-10-15,52
2022-10-22,47
2022-10-29,44
2022-11-05,52
2022-11-12,42
2022-11-19,47
2022-11-26,43
2022-12-03,48
2022-12-10,47
2022-12-17,48
2022-12-24,66
2022-12-31,59
2023-01-07,56
2023-01-14,61
2023-01-21,51
2023-01-28,51
2023-02-04,49
2023-02-11,58
2023-02-18,61
2023-02-25,51
2023-03-04,58
2023-03-11,57
2023-03-18,60
2023-03-25,61
2023-04-01,56
2023-04-08,54
2023-04-15,52
2023-04-22,51
2023-04-29,52
2023-05-06,60
2023-05-13,56
2023-05-20,64
2023-05-27,67
2023-06-03,62
2023-06-10,63
2023-06-17,69
2023-06-24,60
2023-07-01,68
2023-07-08,64
2023-07-15,55
2023-07-22,55
2023-07-29,51
2023-08-05,53
2023-08-12,62
2023-08-19,55
2023-08-26,52
2023-09-02,51
2023-09-09,47
2023-09-16,45
2023-09-23,41
2023-09-30,43
2023-10-07,43
2023-10-14,44
2023-10-21,42
2023-10-28,41
2023-11-04,41
2023-11-11,41
2023-11-18,45
2023-11-25,38
2023-12-02,35
2023-12-09,35
2023-12-16,35
2023-12-23,43
2023-12-30,49
2024-01-06,51
2024-01-13,47
2024-01-20,42
2024-01-27,39
2024-02-03,34
2024-02-10,43
2024-02-17,35
2024-02-24,36
2024-03-02,31
2024-03-09,37
2024-03-16,38
2024-03-23,40
2024-03-30,35
2024-04-06,36
2024-04-13,34
2024-04-20,30
2024-04-27,33
2024-05-04,36
2024-05-11,34
2024-05-18,35
2024-05-25,35
