Search Term,vegan restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,32
2016-12-03,33
2016-12-10,34
2016-12-17,37
2016-12-24,42
2016-12-31,41
2017-01-07,40
2017-01-14,35
2017-01-21,36
2017-01-28,38
2017-02-04,40
2017-02-11,46
2017-02-18,47
2017-02-25,44
2017-03-04,47
2017-03-11,48
2017-03-18,47
2017-03-25,47
2017-04-01,45
2017-04-08,47
2017-04-15,41
2017-04-22,42
2017-04-29,43
2017-05-06,45
2017-05-13,45
2017-05-20,46
2017-05-27,50
2017-06-03,49
2017-06-10,51
2017-06-17,59
2017-06-24,66
2017-07-01,73
2017-07-08,80
2017-07-15,88
2017-07-22,95
2017-07-29,94
2017-08-05,100
2017-08-12,92
2017-08-19,81
2017-08-26,79
2017-09-02,75
2017-09-09,67
2017-09-16,70
2017-09-23,65
2017-09-30,67
2017-10-07,68
2017-10-14,68
2017-10-21,60
2017-10-28,57
2017-11-04,62
2017-11-11,60
2017-11-18,60
2017-11-25,57
2017-12-02,51
2017-12-09,53
2017-12-16,63
2017-12-23,69
2017-12-30,70
2018-01-06,73
2018-01-13,71
2018-01-20,70
2018-01-27,66
2018-02-03,63
2018-02-10,79
2018-02-17,71
2018-02-24,71
2018-03-03,74
2018-03-10,72
2018-03-17,70
2018-03-24,76
2018-03-31,75
2018-04-07,62
2018-04-14,68
2018-04-21,64
2018-04-28,61
2018-05-05,64
2018-05-12,63
2018-05-19,66
2018-05-26,67
2018-06-02,73
2018-06-09,68
2018-06-16,70
2018-06-23,72
2018-06-30,75
2018-07-07,74
2018-07-14,73
2018-07-21,75
2018-07-28,76
2018-08-04,79
2018-08-11,75
2018-08-18,67
2018-08-25,61
2018-09-01,59
2018-09-08,49
2018-09-15,54
2018-09-22,51
2018-09-29,50
2018-10-06,56
2018-10-13,56
2018-10-20,51
2018-10-27,47
2018-11-03,49
2018-11-10,49
2018-11-17,50
2018-11-24,46
2018-12-01,46
2018-12-08,48
2018-12-15,55
2018-12-22,70
2018-12-29,70
2019-01-05,61
2019-01-12,61
2019-01-19,61
2019-01-26,56
2019-02-02,56
2019-02-09,66
2019-02-16,63
2019-02-23,55
2019-03-02,64
2019-03-09,67
2019-03-16,67
2019-03-23,63
2019-03-30,71
2019-04-06,64
2019-04-13,66
2019-04-20,60
2019-04-27,63
2019-05-04,67
2019-05-11,66
2019-05-18,65
2019-05-25,69
2019-06-01,64
2019-06-08,70
2019-06-15,77
2019-06-22,73
2019-06-29,75
2019-07-06,73
2019-07-13,71
2019-07-20,70
2019-07-27,72
2019-08-03,69
2019-08-10,68
2019-08-17,66
2019-08-24,60
2019-08-31,61
2019-09-07,54
2019-09-14,56
2019-09-21,55
2019-09-28,55
2019-10-05,55
2019-10-12,55
2019-10-19,59
2019-10-26,56
2019-11-02,65
2019-11-09,63
2019-11-16,63
2019-11-23,62
2019-11-30,56
2019-12-07,56
2019-12-14,60
2019-12-21,74
2019-12-28,79
2020-01-04,75
2020-01-11,71
2020-01-18,76
2020-01-25,67
2020-02-01,66
2020-02-08,78
2020-02-15,74
2020-02-22,63
