Search Term,vegetarian near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,12
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,10
2013-06-29,0
2013-07-06,10
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,8
2013-08-10,0
2013-08-17,8
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,8
2013-09-28,10
2013-10-05,0
2013-10-12,11
2013-10-19,8
2013-10-26,9
2013-11-02,0
2013-11-09,0
2013-11-16,10
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,11
2013-12-28,11
2014-01-04,0
2014-01-11,0
2014-01-18,15
2014-01-25,7
2014-02-01,7
2014-02-08,9
2014-02-15,10
2014-02-22,8
2014-03-01,10
2014-03-08,7
2014-03-15,10
2014-03-22,8
2014-03-29,11
2014-04-05,13
2014-04-12,15
2014-04-19,0
2014-04-26,7
2014-05-03,10
2014-05-10,9
2014-05-17,12
2014-05-24,11
2014-05-31,13
2014-06-07,10
2014-06-14,8
2014-06-21,16
2014-06-28,18
2014-07-05,25
2014-07-12,11
2014-07-19,18
2014-07-26,24
2014-08-02,23
2014-08-09,16
2014-08-16,21
2014-08-23,22
2014-08-30,19
2014-09-06,14
2014-09-13,11
2014-09-20,0
2014-09-27,11
2014-10-04,15
2014-10-11,17
2014-10-18,14
2014-10-25,16
2014-11-01,18
2014-11-08,19
2014-11-15,0
2014-11-22,10
2014-11-29,9
2014-12-06,9
2014-12-13,18
2014-12-20,14
2014-12-27,14
2015-01-03,11
2015-01-10,14
2015-01-17,17
2015-01-24,17
2015-01-31,10
2015-02-07,21
2015-02-14,15
2015-02-21,20
2015-02-28,27
2015-03-07,22
2015-03-14,19
2015-03-21,26
2015-03-28,21
2015-04-04,22
2015-04-11,16
2015-04-18,14
2015-04-25,19
2015-05-02,17
2015-05-09,19
2015-05-16,22
2015-05-23,17
2015-05-30,14
2015-06-06,23
2015-06-13,20
2015-06-20,31
2015-06-27,30
2015-07-04,38
2015-07-11,34
2015-07-18,40
2015-07-25,35
2015-08-01,38
2015-08-08,33
2015-08-15,41
2015-08-22,38
2015-08-29,31
2015-09-05,31
2015-09-12,29
2015-09-19,29
2015-09-26,30
2015-10-03,27
2015-10-10,36
2015-10-17,24
2015-10-24,29
2015-10-31,29
2015-11-07,35
2015-11-14,30
2015-11-21,34
2015-11-28,23
2015-12-05,26
2015-12-12,32
2015-12-19,43
2015-12-26,50
2016-01-02,45
2016-01-09,41
2016-01-16,36
2016-01-23,50
2016-01-30,48
2016-02-06,50
2016-02-13,61
2016-02-20,51
2016-02-27,58
2016-03-05,51
2016-03-12,53
2016-03-19,71
2016-03-26,57
2016-04-02,65
2016-04-09,52
2016-04-16,61
2016-04-23,63
2016-04-30,61
2016-05-07,72
2016-05-14,74
2016-05-21,74
2016-05-28,75
2016-06-04,62
2016-06-11,79
2016-06-18,76
2016-06-25,94
2016-07-02,99
2016-07-09,95
2016-07-16,91
2016-07-23,97
2016-07-30,86
2016-08-06,81
2016-08-13,72
2016-08-20,90
2016-08-27,77
2016-09-03,81
2016-09-10,71
2016-09-17,67
2016-09-24,79
2016-10-01,77
2016-10-08,72
2016-10-15,84
2016-10-22,73
2016-10-29,68
2016-11-05,70
2016-11-12,78
2016-11-19,79
2016-11-26,67
2016-12-03,72
2016-12-10,78
2016-12-17,88
2016-12-24,94
2016-12-31,100
