Search Term,vegetarian recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,49
2016-12-03,59
2016-12-10,54
2016-12-17,74
2016-12-24,68
2016-12-31,78
2017-01-07,59
2017-01-14,65
2017-01-21,63
2017-01-28,63
2017-02-04,55
2017-02-11,51
2017-02-18,56
2017-02-25,56
2017-03-04,55
2017-03-11,57
2017-03-18,51
2017-03-25,51
2017-04-01,51
2017-04-08,53
2017-04-15,39
2017-04-22,46
2017-04-29,49
2017-05-06,44
2017-05-13,44
2017-05-20,43
2017-05-27,45
2017-06-03,48
2017-06-10,47
2017-06-17,43
2017-06-24,48
2017-07-01,57
2017-07-08,59
2017-07-15,57
2017-07-22,51
2017-07-29,53
2017-08-05,58
2017-08-12,52
2017-08-19,51
2017-08-26,53
2017-09-02,57
2017-09-09,54
2017-09-16,57
2017-09-23,51
2017-09-30,61
2017-10-07,61
2017-10-14,56
2017-10-21,59
2017-10-28,63
2017-11-04,71
2017-11-11,73
2017-11-18,97
2017-11-25,57
2017-12-02,60
2017-12-09,68
2017-12-16,87
2017-12-23,81
2017-12-30,100
2018-01-06,81
2018-01-13,83
2018-01-20,68
2018-01-27,80
2018-02-03,74
2018-02-10,74
2018-02-17,69
2018-02-24,63
2018-03-03,66
2018-03-10,60
2018-03-17,59
2018-03-24,65
2018-03-31,58
2018-04-07,55
2018-04-14,53
2018-04-21,47
2018-04-28,57
2018-05-05,50
2018-05-12,48
2018-05-19,43
2018-05-26,53
2018-06-02,54
2018-06-09,51
2018-06-16,50
2018-06-23,48
2018-06-30,52
2018-07-07,54
2018-07-14,53
2018-07-21,52
2018-07-28,50
2018-08-04,57
2018-08-11,50
2018-08-18,53
2018-08-25,47
2018-09-01,55
2018-09-08,54
2018-09-15,52
2018-09-22,51
2018-09-29,59
2018-10-06,56
2018-10-13,54
2018-10-20,62
2018-10-27,56
2018-11-03,61
2018-11-10,73
2018-11-17,94
2018-11-24,59
2018-12-01,61
2018-12-08,61
2018-12-15,74
2018-12-22,78
2018-12-29,95
2019-01-05,67
2019-01-12,68
2019-01-19,66
2019-01-26,68
2019-02-02,59
2019-02-09,57
2019-02-16,59
2019-02-23,54
2019-03-02,61
2019-03-09,54
2019-03-16,54
2019-03-23,50
2019-03-30,52
2019-04-06,46
2019-04-13,53
2019-04-20,41
2019-04-27,51
2019-05-04,48
2019-05-11,47
2019-05-18,44
2019-05-25,46
2019-06-01,47
2019-06-08,47
2019-06-15,50
2019-06-22,44
2019-06-29,49
2019-07-06,47
2019-07-13,49
2019-07-20,46
2019-07-27,45
2019-08-03,45
2019-08-10,47
2019-08-17,45
2019-08-24,49
2019-08-31,50
2019-09-07,50
2019-09-14,51
2019-09-21,55
2019-09-28,56
2019-10-05,56
2019-10-12,59
2019-10-19,61
2019-10-26,58
2019-11-02,70
2019-11-09,75
2019-11-16,80
2019-11-23,92
2019-11-30,60
2019-12-07,58
2019-12-14,66
2019-12-21,90
2019-12-28,96
2020-01-04,82
2020-01-11,73
2020-01-18,78
2020-01-25,60
2020-02-01,63
2020-02-08,60
2020-02-15,61
2020-02-22,59
