Search Term,vegetarian recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,49
2008-12-06,51
2008-12-13,54
2008-12-20,57
2008-12-27,80
2009-01-03,79
2009-01-10,73
2009-01-17,60
2009-01-24,65
2009-01-31,55
2009-02-07,56
2009-02-14,48
2009-02-21,61
2009-02-28,60
2009-03-07,52
2009-03-14,56
2009-03-21,53
2009-03-28,54
2009-04-04,62
2009-04-11,48
2009-04-18,48
2009-04-25,53
2009-05-02,57
2009-05-09,53
2009-05-16,53
2009-05-23,53
2009-05-30,54
2009-06-06,60
2009-06-13,61
2009-06-20,55
2009-06-27,59
2009-07-04,56
2009-07-11,57
2009-07-18,62
2009-07-25,59
2009-08-01,52
2009-08-08,61
2009-08-15,59
2009-08-22,60
2009-08-29,57
2009-09-05,61
2009-09-12,60
2009-09-19,61
2009-09-26,62
2009-10-03,66
2009-10-10,67
2009-10-17,68
2009-10-24,66
2009-10-31,77
2009-11-07,74
2009-11-14,77
2009-11-21,83
2009-11-28,65
2009-12-05,68
2009-12-12,62
2009-12-19,87
2009-12-26,96
2010-01-02,100
2010-01-09,84
2010-01-16,85
2010-01-23,77
2010-01-30,76
2010-02-06,76
2010-02-13,87
2010-02-20,79
2010-02-27,83
2010-03-06,73
2010-03-13,81
2010-03-20,83
2010-03-27,81
2010-04-03,62
2010-04-10,69
2010-04-17,68
2010-04-24,66
2010-05-01,68
2010-05-08,65
2010-05-15,68
2010-05-22,67
2010-05-29,66
2010-06-05,61
2010-06-12,63
2010-06-19,60
2010-06-26,64
2010-07-03,50
2010-07-10,57
2010-07-17,58
2010-07-24,53
2010-07-31,50
2010-08-07,55
2010-08-14,54
2010-08-21,55
2010-08-28,55
2010-09-04,58
2010-09-11,53
2010-09-18,59
2010-09-25,57
2010-10-02,62
2010-10-09,59
2010-10-16,57
2010-10-23,57
2010-10-30,59
2010-11-06,66
2010-11-13,67
2010-11-20,73
2010-11-27,50
2010-12-04,52
2010-12-11,52
2010-12-18,66
2010-12-25,78
2011-01-01,94
2011-01-08,79
2011-01-15,75
2011-01-22,64
2011-01-29,78
2011-02-05,69
2011-02-12,62
2011-02-19,61
2011-02-26,62
2011-03-05,71
2011-03-12,68
2011-03-19,64
2011-03-26,64
2011-04-02,64
2011-04-09,68
2011-04-16,71
2011-04-23,52
2011-04-30,56
2011-05-07,56
2011-05-14,59
2011-05-21,56
2011-05-28,61
2011-06-04,59
2011-06-11,58
2011-06-18,54
2011-06-25,58
2011-07-02,59
2011-07-09,62
2011-07-16,60
2011-07-23,60
2011-07-30,64
2011-08-06,59
2011-08-13,61
2011-08-20,65
2011-08-27,58
2011-09-03,68
2011-09-10,64
2011-09-17,74
2011-09-24,74
2011-10-01,59
2011-10-08,64
2011-10-15,69
2011-10-22,64
2011-10-29,71
2011-11-05,74
2011-11-12,79
2011-11-19,81
2011-11-26,66
2011-12-03,59
2011-12-10,60
2011-12-17,77
2011-12-24,80
2011-12-31,92
2012-01-07,88
2012-01-14,93
2012-01-21,77
2012-01-28,82
2012-02-04,75
2012-02-11,69
2012-02-18,83
2012-02-25,84
2012-03-03,73
2012-03-10,75
2012-03-17,71
2012-03-24,71
2012-03-31,81
2012-04-07,65
2012-04-14,66
2012-04-21,69
2012-04-28,67
2012-05-05,63
2012-05-12,67
2012-05-19,69
2012-05-26,65
2012-06-02,69
2012-06-09,68
2012-06-16,63
2012-06-23,65
2012-06-30,61
2012-07-07,68
2012-07-14,65
2012-07-21,64
2012-07-28,61
2012-08-04,61
2012-08-11,60
2012-08-18,62
2012-08-25,53
2012-09-01,65
2012-09-08,62
2012-09-15,54
2012-09-22,60
2012-09-29,63
2012-10-06,60
2012-10-13,60
2012-10-20,57
2012-10-27,56
2012-11-03,60
2012-11-10,67
2012-11-17,68
2012-11-24,58
2012-12-01,54
2012-12-08,55
2012-12-15,61
2012-12-22,72
2012-12-29,91
