Search Term,vegetarian restaurant near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,59
2020-02-01,44
2020-02-08,69
2020-02-15,71
2020-02-22,59
2020-02-29,56
2020-03-07,49
2020-03-14,15
2020-03-21,9
2020-03-28,10
2020-04-04,14
2020-04-11,0
2020-04-18,10
2020-04-25,12
2020-05-02,16
2020-05-09,18
2020-05-16,19
2020-05-23,18
2020-05-30,15
2020-06-06,27
2020-06-13,26
2020-06-20,33
2020-06-27,33
2020-07-04,33
2020-07-11,32
2020-07-18,27
2020-07-25,28
2020-08-01,34
2020-08-08,29
2020-08-15,37
2020-08-22,33
2020-08-29,43
2020-09-05,25
2020-09-12,39
2020-09-19,35
2020-09-26,42
2020-10-03,42
2020-10-10,41
2020-10-17,39
2020-10-24,36
2020-10-31,34
2020-11-07,38
2020-11-14,33
2020-11-21,33
2020-11-28,24
2020-12-05,24
2020-12-12,31
2020-12-19,41
2020-12-26,48
2021-01-02,39
2021-01-09,45
2021-01-16,54
2021-01-23,32
2021-01-30,49
2021-02-06,34
2021-02-13,48
2021-02-20,41
2021-02-27,49
2021-03-06,44
2021-03-13,57
2021-03-20,52
2021-03-27,56
2021-04-03,64
2021-04-10,49
2021-04-17,56
2021-04-24,64
2021-05-01,68
2021-05-08,74
2021-05-15,66
2021-05-22,68
2021-05-29,72
2021-06-05,68
2021-06-12,80
2021-06-19,71
2021-06-26,68
2021-07-03,100
2021-07-10,57
2021-07-17,74
2021-07-24,90
2021-07-31,78
2021-08-07,73
2021-08-14,62
2021-08-21,59
2021-08-28,65
2021-09-04,78
2021-09-11,59
2021-09-18,53
2021-09-25,62
2021-10-02,63
2021-10-09,62
2021-10-16,58
2021-10-23,53
2021-10-30,61
2021-11-06,60
2021-11-13,67
2021-11-20,51
2021-11-27,61
2021-12-04,62
2021-12-11,70
2021-12-18,66
2021-12-25,77
2022-01-01,55
2022-01-08,49
2022-01-15,43
2022-01-22,53
2022-01-29,53
2022-02-05,62
2022-02-12,57
2022-02-19,58
2022-02-26,63
2022-03-05,67
2022-03-12,62
2022-03-19,66
2022-03-26,66
2022-04-02,57
2022-04-09,76
2022-04-16,67
2022-04-23,60
2022-04-30,60
2022-05-07,65
2022-05-14,56
2022-05-21,63
2022-05-28,70
2022-06-04,68
2022-06-11,66
2022-06-18,62
2022-06-25,74
2022-07-02,67
2022-07-09,72
2022-07-16,59
2022-07-23,66
2022-07-30,61
2022-08-06,68
2022-08-13,72
2022-08-20,63
2022-08-27,56
2022-09-03,59
2022-09-10,59
2022-09-17,56
2022-09-24,50
2022-10-01,49
2022-10-08,58
2022-10-15,52
2022-10-22,48
2022-10-29,54
2022-11-05,55
2022-11-12,50
2022-11-19,46
2022-11-26,36
2022-12-03,47
2022-12-10,51
2022-12-17,39
2022-12-24,74
2022-12-31,57
2023-01-07,56
2023-01-14,54
2023-01-21,55
2023-01-28,48
2023-02-04,51
2023-02-11,67
2023-02-18,63
2023-02-25,46
2023-03-04,56
2023-03-11,58
2023-03-18,55
2023-03-25,66
2023-04-01,71
2023-04-08,63
2023-04-15,61
2023-04-22,47
2023-04-29,49
2023-05-06,66
2023-05-13,68
2023-05-20,57
2023-05-27,76
2023-06-03,54
2023-06-10,56
2023-06-17,69
2023-06-24,65
2023-07-01,84
2023-07-08,61
2023-07-15,64
2023-07-22,64
2023-07-29,60
2023-08-05,56
2023-08-12,68
2023-08-19,56
2023-08-26,58
2023-09-02,61
2023-09-09,45
2023-09-16,53
2023-09-23,38
2023-09-30,45
2023-10-07,54
2023-10-14,47
2023-10-21,52
2023-10-28,48
2023-11-04,47
2023-11-11,50
2023-11-18,53
2023-11-25,33
2023-12-02,49
2023-12-09,47
2023-12-16,42
2023-12-23,53
2023-12-30,55
2024-01-06,43
2024-01-13,42
2024-01-20,35
2024-01-27,40
2024-02-03,30
2024-02-10,57
2024-02-17,40
2024-02-24,42
2024-03-02,39
2024-03-09,50
2024-03-16,36
2024-03-23,48
2024-03-30,51
2024-04-06,38
2024-04-13,35
2024-04-20,46
2024-04-27,36
2024-05-04,46
2024-05-11,47
2024-05-18,47
2024-05-25,40
