Search Term,vegetarian restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,65
2012-12-01,66
2012-12-08,56
2012-12-15,52
2012-12-22,84
2012-12-29,80
2013-01-05,86
2013-01-12,79
2013-01-19,72
2013-01-26,72
2013-02-02,60
2013-02-09,86
2013-02-16,85
2013-02-23,68
2013-03-02,84
2013-03-09,83
2013-03-16,76
2013-03-23,86
2013-03-30,75
2013-04-06,68
2013-04-13,64
2013-04-20,67
2013-04-27,76
2013-05-04,67
2013-05-11,76
2013-05-18,82
2013-05-25,61
2013-06-01,75
2013-06-08,78
2013-06-15,75
2013-06-22,76
2013-06-29,87
2013-07-06,70
2013-07-13,77
2013-07-20,85
2013-07-27,86
2013-08-03,88
2013-08-10,86
2013-08-17,81
2013-08-24,62
2013-08-31,76
2013-09-07,65
2013-09-14,62
2013-09-21,69
2013-09-28,66
2013-10-05,64
2013-10-12,74
2013-10-19,65
2013-10-26,69
2013-11-02,69
2013-11-09,72
2013-11-16,60
2013-11-23,55
2013-11-30,56
2013-12-07,59
2013-12-14,72
2013-12-21,77
2013-12-28,80
2014-01-04,76
2014-01-11,73
2014-01-18,74
2014-01-25,78
2014-02-01,64
2014-02-08,86
2014-02-15,66
2014-02-22,74
2014-03-01,77
2014-03-08,75
2014-03-15,85
2014-03-22,72
2014-03-29,60
2014-04-05,67
2014-04-12,75
2014-04-19,71
2014-04-26,63
2014-05-03,78
2014-05-10,76
2014-05-17,79
2014-05-24,85
2014-05-31,66
2014-06-07,84
2014-06-14,82
2014-06-21,77
2014-06-28,82
2014-07-05,89
2014-07-12,80
2014-07-19,80
2014-07-26,78
2014-08-02,100
2014-08-09,83
2014-08-16,76
2014-08-23,75
2014-08-30,67
2014-09-06,57
2014-09-13,68
2014-09-20,72
2014-09-27,56
2014-10-04,67
2014-10-11,67
2014-10-18,58
2014-10-25,51
2014-11-01,63
2014-11-08,65
2014-11-15,57
2014-11-22,64
2014-11-29,49
2014-12-06,54
2014-12-13,62
2014-12-20,75
2014-12-27,86
2015-01-03,59
2015-01-10,68
2015-01-17,74
2015-01-24,64
2015-01-31,59
2015-02-07,64
2015-02-14,55
2015-02-21,64
2015-02-28,74
2015-03-07,70
2015-03-14,65
2015-03-21,76
2015-03-28,73
2015-04-04,52
2015-04-11,62
2015-04-18,50
2015-04-25,62
2015-05-02,66
2015-05-09,74
2015-05-16,71
2015-05-23,72
2015-05-30,61
2015-06-06,65
2015-06-13,68
2015-06-20,80
2015-06-27,74
2015-07-04,74
2015-07-11,83
2015-07-18,75
2015-07-25,81
2015-08-01,90
2015-08-08,76
2015-08-15,83
2015-08-22,73
2015-08-29,55
2015-09-05,76
2015-09-12,62
2015-09-19,71
2015-09-26,66
2015-10-03,68
2015-10-10,72
2015-10-17,72
2015-10-24,58
2015-10-31,65
2015-11-07,62
2015-11-14,57
2015-11-21,60
2015-11-28,56
2015-12-05,57
2015-12-12,65
2015-12-19,79
2015-12-26,90
2016-01-02,77
2016-01-09,74
2016-01-16,70
2016-01-23,75
2016-01-30,69
2016-02-06,68
2016-02-13,75
2016-02-20,75
2016-02-27,71
2016-03-05,71
2016-03-12,80
2016-03-19,75
2016-03-26,83
2016-04-02,76
2016-04-09,76
2016-04-16,72
2016-04-23,80
2016-04-30,75
2016-05-07,91
2016-05-14,83
2016-05-21,65
2016-05-28,83
2016-06-04,84
2016-06-11,89
2016-06-18,87
2016-06-25,84
2016-07-02,96
2016-07-09,82
2016-07-16,87
2016-07-23,96
2016-07-30,80
2016-08-06,80
2016-08-13,76
2016-08-20,80
2016-08-27,71
2016-09-03,80
2016-09-10,83
2016-09-17,66
2016-09-24,72
2016-10-01,74
2016-10-08,70
2016-10-15,71
2016-10-22,72
2016-10-29,63
2016-11-05,67
2016-11-12,71
2016-11-19,63
2016-11-26,64
2016-12-03,63
2016-12-10,67
2016-12-17,74
2016-12-24,88
2016-12-31,71
