Search Term,vegetarian restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,51
2008-12-06,52
2008-12-13,35
2008-12-20,53
2008-12-27,70
2009-01-03,64
2009-01-10,64
2009-01-17,56
2009-01-24,54
2009-01-31,58
2009-02-07,91
2009-02-14,59
2009-02-21,64
2009-02-28,54
2009-03-07,66
2009-03-14,77
2009-03-21,68
2009-03-28,63
2009-04-04,63
2009-04-11,77
2009-04-18,67
2009-04-25,62
2009-05-02,64
2009-05-09,63
2009-05-16,67
2009-05-23,59
2009-05-30,72
2009-06-06,70
2009-06-13,66
2009-06-20,77
2009-06-27,76
2009-07-04,77
2009-07-11,85
2009-07-18,89
2009-07-25,69
2009-08-01,87
2009-08-08,70
2009-08-15,84
2009-08-22,56
2009-08-29,87
2009-09-05,63
2009-09-12,71
2009-09-19,77
2009-09-26,61
2009-10-03,74
2009-10-10,75
2009-10-17,69
2009-10-24,63
2009-10-31,67
2009-11-07,52
2009-11-14,67
2009-11-21,67
2009-11-28,59
2009-12-05,60
2009-12-12,55
2009-12-19,68
2009-12-26,83
2010-01-02,91
2010-01-09,72
2010-01-16,65
2010-01-23,70
2010-01-30,78
2010-02-06,92
2010-02-13,92
2010-02-20,83
2010-02-27,71
2010-03-06,82
2010-03-13,80
2010-03-20,83
2010-03-27,73
2010-04-03,77
2010-04-10,71
2010-04-17,75
2010-04-24,91
2010-05-01,90
2010-05-08,98
2010-05-15,72
2010-05-22,83
2010-05-29,99
2010-06-05,85
2010-06-12,90
2010-06-19,89
2010-06-26,81
2010-07-03,84
2010-07-10,85
2010-07-17,81
2010-07-24,85
2010-07-31,100
2010-08-07,89
2010-08-14,87
2010-08-21,80
2010-08-28,72
2010-09-04,80
2010-09-11,74
2010-09-18,69
2010-09-25,65
2010-10-02,72
2010-10-09,83
2010-10-16,72
2010-10-23,57
2010-10-30,67
2010-11-06,73
2010-11-13,60
2010-11-20,64
2010-11-27,54
2010-12-04,55
2010-12-11,54
2010-12-18,73
2010-12-25,94
2011-01-01,79
2011-01-08,78
2011-01-15,86
2011-01-22,76
2011-01-29,78
2011-02-05,86
2011-02-12,87
2011-02-19,73
2011-02-26,79
2011-03-05,77
2011-03-12,95
2011-03-19,76
2011-03-26,82
2011-04-02,86
2011-04-09,72
2011-04-16,91
2011-04-23,70
2011-04-30,73
2011-05-07,79
2011-05-14,78
2011-05-21,82
2011-05-28,87
2011-06-04,78
2011-06-11,98
2011-06-18,95
2011-06-25,79
2011-07-02,93
2011-07-09,92
2011-07-16,100
2011-07-23,92
2011-07-30,97
2011-08-06,98
2011-08-13,97
2011-08-20,77
2011-08-27,88
2011-09-03,84
2011-09-10,77
2011-09-17,81
2011-09-24,80
2011-10-01,83
2011-10-08,73
2011-10-15,79
2011-10-22,71
2011-10-29,70
2011-11-05,78
2011-11-12,61
2011-11-19,67
2011-11-26,60
2011-12-03,65
2011-12-10,65
2011-12-17,77
2011-12-24,91
2011-12-31,88
2012-01-07,85
2012-01-14,88
2012-01-21,80
2012-01-28,75
2012-02-04,81
2012-02-11,85
2012-02-18,87
2012-02-25,79
2012-03-03,84
2012-03-10,81
2012-03-17,86
2012-03-24,89
2012-03-31,75
2012-04-07,96
2012-04-14,77
2012-04-21,87
2012-04-28,83
2012-05-05,99
2012-05-12,93
2012-05-19,87
2012-05-26,89
2012-06-02,90
2012-06-09,84
2012-06-16,90
2012-06-23,86
2012-06-30,89
2012-07-07,97
2012-07-14,96
2012-07-21,88
2012-07-28,88
2012-08-04,93
2012-08-11,86
2012-08-18,87
2012-08-25,81
2012-09-01,82
2012-09-08,77
2012-09-15,79
2012-09-22,74
2012-09-29,71
2012-10-06,73
2012-10-13,73
2012-10-20,64
2012-10-27,55
2012-11-03,63
2012-11-10,69
2012-11-17,62
2012-11-24,54
2012-12-01,61
2012-12-08,61
2012-12-15,63
2012-12-22,87
2012-12-29,86
