Search Term,animal welfare
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,86
2012-12-08,76
2012-12-15,79
2012-12-22,70
2012-12-29,75
2013-01-05,88
2013-01-12,72
2013-01-19,90
2013-01-26,84
2013-02-02,89
2013-02-09,77
2013-02-16,85
2013-02-23,85
2013-03-02,83
2013-03-09,90
2013-03-16,87
2013-03-23,84
2013-03-30,71
2013-04-06,75
2013-04-13,79
2013-04-20,86
2013-04-27,88
2013-05-04,85
2013-05-11,79
2013-05-18,91
2013-05-25,79
2013-06-01,85
2013-06-08,77
2013-06-15,76
2013-06-22,79
2013-06-29,73
2013-07-06,81
2013-07-13,83
2013-07-20,80
2013-07-27,74
2013-08-03,73
2013-08-10,84
2013-08-17,84
2013-08-24,93
2013-08-31,74
2013-09-07,79
2013-09-14,81
2013-09-21,84
2013-09-28,89
2013-10-05,87
2013-10-12,81
2013-10-19,88
2013-10-26,81
2013-11-02,92
2013-11-09,79
2013-11-16,85
2013-11-23,77
2013-11-30,81
2013-12-07,83
2013-12-14,72
2013-12-21,61
2013-12-28,82
2014-01-04,95
2014-01-11,92
2014-01-18,87
2014-01-25,90
2014-02-01,90
2014-02-08,86
2014-02-15,90
2014-02-22,95
2014-03-01,99
2014-03-08,84
2014-03-15,95
2014-03-22,91
2014-03-29,82
2014-04-05,91
2014-04-12,83
2014-04-19,88
2014-04-26,90
2014-05-03,89
2014-05-10,91
2014-05-17,96
2014-05-24,80
2014-05-31,85
2014-06-07,79
2014-06-14,80
2014-06-21,78
2014-06-28,71
2014-07-05,85
2014-07-12,76
2014-07-19,71
2014-07-26,73
2014-08-02,86
2014-08-09,74
2014-08-16,80
2014-08-23,76
2014-08-30,69
2014-09-06,81
2014-09-13,79
2014-09-20,93
2014-09-27,94
2014-10-04,91
2014-10-11,70
2014-10-18,78
2014-10-25,94
2014-11-01,85
2014-11-08,86
2014-11-15,94
2014-11-22,71
2014-11-29,80
2014-12-06,90
2014-12-13,76
2014-12-20,51
2014-12-27,80
2015-01-03,86
2015-01-10,92
2015-01-17,88
2015-01-24,86
2015-01-31,85
2015-02-07,79
2015-02-14,82
2015-02-21,87
2015-02-28,87
2015-03-07,92
2015-03-14,96
2015-03-21,81
2015-03-28,86
2015-04-04,76
2015-04-11,95
2015-04-18,91
2015-04-25,95
2015-05-02,83
2015-05-09,79
2015-05-16,77
2015-05-23,84
2015-05-30,84
2015-06-06,71
2015-06-13,80
2015-06-20,81
2015-06-27,83
2015-07-04,78
2015-07-11,77
2015-07-18,76
2015-07-25,88
2015-08-01,82
2015-08-08,92
2015-08-15,80
2015-08-22,71
2015-08-29,88
2015-09-05,74
2015-09-12,98
2015-09-19,84
2015-09-26,81
2015-10-03,90
2015-10-10,92
2015-10-17,100
2015-10-24,84
2015-10-31,87
2015-11-07,87
2015-11-14,86
2015-11-21,77
2015-11-28,83
2015-12-05,82
2015-12-12,79
2015-12-19,70
2015-12-26,68
2016-01-02,93
2016-01-09,79
2016-01-16,81
2016-01-23,75
2016-01-30,86
2016-02-06,83
2016-02-13,75
2016-02-20,89
2016-02-27,93
2016-03-05,88
2016-03-12,91
2016-03-19,80
2016-03-26,94
2016-04-02,87
2016-04-09,90
2016-04-16,83
2016-04-23,87
2016-04-30,97
2016-05-07,87
2016-05-14,90
2016-05-21,88
2016-05-28,77
2016-06-04,78
2016-06-11,73
2016-06-18,81
2016-06-25,76
2016-07-02,78
2016-07-09,77
2016-07-16,91
2016-07-23,75
2016-07-30,75
2016-08-06,60
2016-08-13,70
2016-08-20,86
2016-08-27,77
2016-09-03,76
2016-09-10,87
2016-09-17,86
2016-09-24,76
2016-10-01,78
2016-10-08,82
2016-10-15,85
2016-10-22,74
2016-10-29,68
2016-11-05,47
2016-11-12,52
2016-11-19,34
2016-11-26,52
2016-12-03,53
2016-12-10,51
2016-12-17,32
2016-12-24,32
2016-12-31,44
