Search Term,diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,37
2016-12-03,35
2016-12-10,31
2016-12-17,28
2016-12-24,46
2016-12-31,70
2017-01-07,48
2017-01-14,49
2017-01-21,48
2017-01-28,46
2017-02-04,47
2017-02-11,42
2017-02-18,47
2017-02-25,46
2017-03-04,49
2017-03-11,45
2017-03-18,46
2017-03-25,48
2017-04-01,48
2017-04-08,45
2017-04-15,51
2017-04-22,47
2017-04-29,46
2017-05-06,45
2017-05-13,46
2017-05-20,46
2017-05-27,50
2017-06-03,50
2017-06-10,47
2017-06-17,49
2017-06-24,51
2017-07-01,46
2017-07-08,53
2017-07-15,50
2017-07-22,46
2017-07-29,47
2017-08-05,43
2017-08-12,46
2017-08-19,39
2017-08-26,40
2017-09-02,41
2017-09-09,39
2017-09-16,39
2017-09-23,43
2017-09-30,43
2017-10-07,46
2017-10-14,43
2017-10-21,42
2017-10-28,39
2017-11-04,40
2017-11-11,37
2017-11-18,31
2017-11-25,43
2017-12-02,36
2017-12-09,33
2017-12-16,34
2017-12-23,47
2017-12-30,64
2018-01-06,55
2018-01-13,52
2018-01-20,57
2018-01-27,55
2018-02-03,54
2018-02-10,45
2018-02-17,47
2018-02-24,49
2018-03-03,50
2018-03-10,48
2018-03-17,47
2018-03-24,45
2018-03-31,47
2018-04-07,51
2018-04-14,49
2018-04-21,48
2018-04-28,49
2018-05-05,48
2018-05-12,47
2018-05-19,46
2018-05-26,48
2018-06-02,44
2018-06-09,44
2018-06-16,46
2018-06-23,47
2018-06-30,49
2018-07-07,50
2018-07-14,51
2018-07-21,54
2018-07-28,46
2018-08-04,48
2018-08-11,50
2018-08-18,51
2018-08-25,44
2018-09-01,42
2018-09-08,43
2018-09-15,41
2018-09-22,40
2018-09-29,37
2018-10-06,41
2018-10-13,43
2018-10-20,41
2018-10-27,40
2018-11-03,39
2018-11-10,38
2018-11-17,32
2018-11-24,36
2018-12-01,40
2018-12-08,34
2018-12-15,32
2018-12-22,55
2018-12-29,100
2019-01-05,63
2019-01-12,53
2019-01-19,50
2019-01-26,50
2019-02-02,48
2019-02-09,47
2019-02-16,50
2019-02-23,48
2019-03-02,46
2019-03-09,42
2019-03-16,49
2019-03-23,44
2019-03-30,46
2019-04-06,44
2019-04-13,44
2019-04-20,46
2019-04-27,46
2019-05-04,43
2019-05-11,39
2019-05-18,42
2019-05-25,45
2019-06-01,42
2019-06-08,41
2019-06-15,42
2019-06-22,40
2019-06-29,41
2019-07-06,52
2019-07-13,41
2019-07-20,44
2019-07-27,46
2019-08-03,46
2019-08-10,45
2019-08-17,41
2019-08-24,37
2019-08-31,39
2019-09-07,34
2019-09-14,39
2019-09-21,38
2019-09-28,31
2019-10-05,33
2019-10-12,34
2019-10-19,38
2019-10-26,35
2019-11-02,37
2019-11-09,37
2019-11-16,32
2019-11-23,28
2019-11-30,35
2019-12-07,31
2019-12-14,29
2019-12-21,35
2019-12-28,67
2020-01-04,58
2020-01-11,46
2020-01-18,44
2020-01-25,39
2020-02-01,43
2020-02-08,42
2020-02-15,45
2020-02-22,41
