Search Term,food near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,59
2020-02-01,55
2020-02-08,58
2020-02-15,60
2020-02-22,63
2020-02-29,59
2020-03-07,57
2020-03-14,44
2020-03-21,41
2020-03-28,42
2020-04-04,42
2020-04-11,47
2020-04-18,46
2020-04-25,49
2020-05-02,51
2020-05-09,53
2020-05-16,55
2020-05-23,61
2020-05-30,61
2020-06-06,66
2020-06-13,68
2020-06-20,72
2020-06-27,80
2020-07-04,74
2020-07-11,69
2020-07-18,70
2020-07-25,73
2020-08-01,76
2020-08-08,72
2020-08-15,71
2020-08-22,66
2020-08-29,67
2020-09-05,67
2020-09-12,66
2020-09-19,66
2020-09-26,68
2020-10-03,68
2020-10-10,76
2020-10-17,72
2020-10-24,70
2020-10-31,60
2020-11-07,67
2020-11-14,71
2020-11-21,70
2020-11-28,62
2020-12-05,64
2020-12-12,62
2020-12-19,86
2020-12-26,85
2021-01-02,68
2021-01-09,66
2021-01-16,69
2021-01-23,66
2021-01-30,68
2021-02-06,64
2021-02-13,77
2021-02-20,70
2021-02-27,73
2021-03-06,74
2021-03-13,89
2021-03-20,88
2021-03-27,88
2021-04-03,87
2021-04-10,83
2021-04-17,85
2021-04-24,84
2021-05-01,81
2021-05-08,87
2021-05-15,84
2021-05-22,86
2021-05-29,95
2021-06-05,92
2021-06-12,96
2021-06-19,97
2021-06-26,97
2021-07-03,99
2021-07-10,97
2021-07-17,100
2021-07-24,96
2021-07-31,95
2021-08-07,98
2021-08-14,96
2021-08-21,91
2021-08-28,88
2021-09-04,94
2021-09-11,86
2021-09-18,85
2021-09-25,84
2021-10-02,84
2021-10-09,85
2021-10-16,87
2021-10-23,81
2021-10-30,84
2021-11-06,80
2021-11-13,78
2021-11-20,84
2021-11-27,72
2021-12-04,78
2021-12-11,78
2021-12-18,94
2021-12-25,97
2022-01-01,67
2022-01-08,63
2022-01-15,58
2022-01-22,60
2022-01-29,63
2022-02-05,67
2022-02-12,70
2022-02-19,72
2022-02-26,73
2022-03-05,75
2022-03-12,82
2022-03-19,77
2022-03-26,71
2022-04-02,71
2022-04-09,77
2022-04-16,71
2022-04-23,69
2022-04-30,73
2022-05-07,74
2022-05-14,74
2022-05-21,75
2022-05-28,80
2022-06-04,79
2022-06-11,79
2022-06-18,85
2022-06-25,84
2022-07-02,92
2022-07-09,80
2022-07-16,85
2022-07-23,83
2022-07-30,79
2022-08-06,79
2022-08-13,79
2022-08-20,74
2022-08-27,75
2022-09-03,75
2022-09-10,70
2022-09-17,72
2022-09-24,71
2022-10-01,70
2022-10-08,73
2022-10-15,68
2022-10-22,66
2022-10-29,69
2022-11-05,66
2022-11-12,65
2022-11-19,67
2022-11-26,61
2022-12-03,61
2022-12-10,66
2022-12-17,68
2022-12-24,85
2022-12-31,65
2023-01-07,61
2023-01-14,64
2023-01-21,63
2023-01-28,59
2023-02-04,61
2023-02-11,65
2023-02-18,69
2023-02-25,68
2023-03-04,66
2023-03-11,73
2023-03-18,72
2023-03-25,73
2023-04-01,69
2023-04-08,72
2023-04-15,73
2023-04-22,67
2023-04-29,72
2023-05-06,71
2023-05-13,74
2023-05-20,75
2023-05-27,79
2023-06-03,74
2023-06-10,83
2023-06-17,83
2023-06-24,86
2023-07-01,88
2023-07-08,77
2023-07-15,77
2023-07-22,79
2023-07-29,75
2023-08-05,77
2023-08-12,72
2023-08-19,73
2023-08-26,67
2023-09-02,68
2023-09-09,62
2023-09-16,66
2023-09-23,63
2023-09-30,65
2023-10-07,66
2023-10-14,65
2023-10-21,64
2023-10-28,62
2023-11-04,61
2023-11-11,64
2023-11-18,65
2023-11-25,58
2023-12-02,61
2023-12-09,58
2023-12-16,62
2023-12-23,81
2023-12-30,68
2024-01-06,52
2024-01-13,52
2024-01-20,51
2024-01-27,52
2024-02-03,53
2024-02-10,54
2024-02-17,58
2024-02-24,55
2024-03-02,54
2024-03-09,60
2024-03-16,59
2024-03-23,59
2024-03-30,56
2024-04-06,55
2024-04-13,58
2024-04-20,58
2024-04-27,59
2024-05-04,59
2024-05-11,57
2024-05-18,58
2024-05-25,64
