,Search Term,food
0,2003-12-27,36.0
1,2004-01-03,40.0
2,2004-01-10,42.0
3,2004-01-17,41.0
4,2004-01-24,40.0
5,2004-01-31,38.0
6,2004-02-07,42.0
7,2004-02-14,40.0
8,2004-02-21,40.0
9,2004-02-28,37.0
10,2004-03-06,36.0
11,2004-03-13,42.0
12,2004-03-20,37.0
13,2004-03-27,42.0
14,2004-04-03,39.0
15,2004-04-10,36.0
16,2004-04-17,43.0
17,2004-04-24,42.0
18,2004-05-01,44.0
19,2004-05-08,42.0
20,2004-05-15,40.0
21,2004-05-22,41.0
22,2004-05-29,37.0
23,2004-06-05,36.0
24,2004-06-12,33.0
25,2004-06-19,31.0
26,2004-06-26,32.0
27,2004-07-03,31.0
28,2004-07-10,32.0
29,2004-07-17,31.0
30,2004-07-24,33.0
31,2004-07-31,33.0
32,2004-08-07,31.0
33,2004-08-14,32.0
34,2004-08-21,34.0
35,2004-08-28,33.0
36,2004-09-04,34.0
37,2004-09-11,37.0
38,2004-09-18,40.0
39,2004-09-25,40.0
40,2004-10-02,41.0
41,2004-10-09,40.0
42,2004-10-16,41.0
43,2004-10-23,37.0
44,2004-10-30,40.0
45,2004-11-06,40.0
46,2004-11-13,47.0
47,2004-11-20,47.0
48,2004-11-27,42.0
49,2004-12-04,43.0
50,2004-12-11,44.0
51,2004-12-18,41.0
52,2004-12-25,33.0
53,2005-01-01,38.0
54,2005-01-08,39.0
55,2005-01-15,41.0
56,2005-01-22,43.0
57,2005-01-29,42.0
58,2005-02-05,39.0
59,2005-02-12,40.0
60,2005-02-19,41.0
61,2005-02-26,40.0
62,2005-03-05,41.0
63,2005-03-12,41.0
64,2005-03-19,42.0
65,2005-03-26,39.0
66,2005-04-02,41.0
67,2005-04-09,41.0
68,2005-04-16,49.0
69,2005-04-23,44.99999999999999
70,2005-04-30,47.0
71,2005-05-07,43.0
72,2005-05-14,43.0
73,2005-05-21,41.0
74,2005-05-28,40.0
75,2005-06-04,37.0
76,2005-06-11,36.0
77,2005-06-18,32.0
78,2005-06-25,37.0
79,2005-07-02,37.0
80,2005-07-09,34.0
81,2005-07-16,34.0
82,2005-07-23,35.0
83,2005-07-30,35.0
84,2005-08-06,35.0
85,2005-08-13,35.0
86,2005-08-20,35.0
87,2005-08-27,35.0
88,2005-09-03,38.0
89,2005-09-10,40.0
90,2005-09-17,41.0
91,2005-09-24,42.0
92,2005-10-01,41.0
93,2005-10-08,42.0
94,2005-10-15,40.0
95,2005-10-22,44.0
96,2005-10-29,41.0
97,2005-11-05,43.0
98,2005-11-12,49.0
99,2005-11-19,49.0
100,2005-11-26,41.0
101,2005-12-03,44.99999999999999
102,2005-12-10,44.0
103,2005-12-17,44.0
104,2005-12-24,38.0
105,2005-12-31,41.0
106,2006-01-07,46.0
107,2006-01-14,41.0
108,2006-01-21,43.0
109,2006-01-28,42.0
110,2006-02-04,42.0
111,2006-02-11,42.0
112,2006-02-18,41.0
113,2006-02-25,42.0
114,2006-03-04,42.0
115,2006-03-11,41.0
116,2006-03-18,42.0
117,2006-03-25,41.0
118,2006-04-01,42.0
119,2006-04-08,43.0
120,2006-04-15,40.0
121,2006-04-22,44.0
122,2006-04-29,43.0
123,2006-05-06,42.0
124,2006-05-13,42.0
125,2006-05-20,41.0
126,2006-05-27,38.0
127,2006-06-03,39.0
128,2006-06-10,37.0
129,2006-06-17,35.0
130,2006-06-24,36.0
131,2006-07-01,37.0
132,2006-07-08,35.0
133,2006-07-15,36.0
134,2006-07-22,38.0
135,2006-07-29,36.0
136,2006-08-05,36.0
137,2006-08-12,37.0
138,2006-08-19,36.0
139,2006-08-26,37.0
140,2006-09-02,41.0
141,2006-09-09,39.0
142,2006-09-16,40.0
143,2006-09-23,41.0
144,2006-09-30,41.0
145,2006-10-07,44.0
146,2006-10-14,43.0
147,2006-10-21,44.99999999999999
148,2006-10-28,43.0
149,2006-11-04,40.0
150,2006-11-11,49.0
151,2006-11-18,54.0
152,2006-11-25,42.0
153,2006-12-02,44.0
154,2006-12-09,44.99999999999999
155,2006-12-16,44.99999999999999
156,2006-12-23,40.0
157,2006-12-30,40.0
158,2007-01-06,43.0
159,2007-01-13,42.0
160,2007-01-20,43.0
161,2007-01-27,44.99999999999999
162,2007-02-03,42.0
163,2007-02-10,42.0
164,2007-02-17,39.0
165,2007-02-24,40.0
166,2007-03-03,41.0
167,2007-03-10,44.99999999999999
168,2007-03-17,100.0
169,2007-03-24,64.0
170,2007-03-31,81.0
171,2007-04-07,53.0
172,2007-04-14,53.0
173,2007-04-21,49.0
174,2007-04-28,51.0
175,2007-05-05,48.0
176,2007-05-12,44.0
177,2007-05-19,43.0
178,2007-05-26,43.0
179,2007-06-02,41.0
180,2007-06-09,41.0
181,2007-06-16,40.0
182,2007-06-23,39.0
183,2007-06-30,41.0
184,2007-07-07,42.0
185,2007-07-14,43.0
186,2007-07-21,42.0
187,2007-07-28,41.0
188,2007-08-04,39.0
189,2007-08-11,39.0
190,2007-08-18,37.0
191,2007-08-25,39.0
192,2007-09-01,39.0
193,2007-09-08,39.0
194,2007-09-15,42.0
195,2007-09-22,44.0
196,2007-09-29,44.0
197,2007-10-06,44.0
198,2007-10-13,44.0
199,2007-10-20,44.0
200,2007-10-27,44.99999999999999
201,2007-11-03,46.0
202,2007-11-10,49.0
203,2007-11-17,51.0
204,2007-11-24,44.0
205,2007-12-01,46.0
206,2007-12-08,46.0
207,2007-12-15,47.0
208,2007-12-22,44.0
209,2007-12-29,44.99999999999999
210,2008-01-05,44.99999999999999
211,2008-01-12,44.99999999999999
212,2008-01-19,44.0
213,2008-01-26,47.0
214,2008-02-02,44.0
215,2008-02-09,46.0
216,2008-02-16,43.0
217,2008-02-23,44.99999999999999
218,2008-03-01,46.0
219,2008-03-08,44.99999999999999
220,2008-03-15,46.0
221,2008-03-22,43.0
222,2008-03-29,43.0
223,2008-04-05,44.0
224,2008-04-12,46.0
225,2008-04-19,47.0
226,2008-04-26,49.0
227,2008-05-03,48.0
228,2008-05-10,46.0
229,2008-05-17,47.0
230,2008-05-24,44.99999999999999
231,2008-05-31,44.0
232,2008-06-07,43.0
233,2008-06-14,41.0
234,2008-06-21,42.0
235,2008-06-28,42.0
236,2008-07-05,44.0
237,2008-07-12,43.0
238,2008-07-19,43.0
239,2008-07-26,44.0
240,2008-08-02,40.0
241,2008-08-09,41.0
242,2008-08-16,41.0
243,2008-08-23,43.0
244,2008-08-30,40.0
245,2008-09-06,41.0
246,2008-09-13,44.0
247,2008-09-20,44.99999999999999
248,2008-09-27,44.99999999999999
249,2008-10-04,48.0
250,2008-10-11,47.0
251,2008-10-18,48.0
252,2008-10-25,47.0
253,2008-11-01,46.0
254,2008-11-08,50.0
255,2008-11-15,54.0
256,2008-11-22,56.99999999999999
257,2008-11-29,46.894088669950726
258,2008-12-06,49.26847290640393
259,2008-12-13,48.67487684729063
260,2008-12-20,48.67487684729063
261,2008-12-27,47.48768472906403
262,2009-01-03,46.30049261083743
263,2009-01-10,45.70689655172412
264,2009-01-17,46.30049261083743
265,2009-01-24,49.86206896551723
266,2009-01-31,48.67487684729063
267,2009-02-07,48.67487684729063
268,2009-02-14,46.894088669950726
269,2009-02-21,48.67487684729063
270,2009-02-28,44.51970443349752
