Search Term,recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,57
2008-12-13,66
2008-12-20,86
2008-12-27,69
2009-01-03,53
2009-01-10,51
2009-01-17,51
2009-01-24,54
2009-01-31,47
2009-02-07,50
2009-02-14,46
2009-02-21,45
2009-02-28,48
2009-03-07,46
2009-03-14,47
2009-03-21,45
2009-03-28,42
2009-04-04,56
2009-04-11,41
2009-04-18,41
2009-04-25,41
2009-05-02,46
2009-05-09,42
2009-05-16,46
2009-05-23,46
2009-05-30,44
2009-06-06,45
2009-06-13,45
2009-06-20,46
2009-06-27,56
2009-07-04,49
2009-07-11,45
2009-07-18,49
2009-07-25,49
2009-08-01,47
2009-08-08,51
2009-08-15,51
2009-08-22,48
2009-08-29,47
2009-09-05,49
2009-09-12,48
2009-09-19,49
2009-09-26,52
2009-10-03,53
2009-10-10,59
2009-10-17,56
2009-10-24,61
2009-10-31,54
2009-11-07,56
2009-11-14,64
2009-11-21,100
2009-11-28,54
2009-12-05,61
2009-12-12,69
2009-12-19,94
2009-12-26,72
2010-01-02,62
2010-01-09,57
2010-01-16,56
2010-01-23,58
2010-01-30,59
2010-02-06,56
2010-02-13,54
2010-02-20,53
2010-02-27,49
2010-03-06,48
2010-03-13,48
2010-03-20,49
2010-03-27,60
2010-04-03,45
2010-04-10,44
2010-04-17,46
2010-04-24,49
2010-05-01,47
2010-05-08,47
2010-05-15,46
2010-05-22,45
2010-05-29,46
2010-06-05,46
2010-06-12,45
2010-06-19,47
2010-06-26,50
2010-07-03,43
2010-07-10,44
2010-07-17,43
2010-07-24,44
2010-07-31,42
2010-08-07,43
2010-08-14,44
2010-08-21,41
2010-08-28,39
2010-09-04,45
2010-09-11,43
2010-09-18,43
2010-09-25,44
2010-10-02,48
2010-10-09,46
2010-10-16,47
2010-10-23,50
2010-10-30,48
2010-11-06,51
2010-11-13,57
2010-11-20,80
2010-11-27,46
2010-12-04,50
2010-12-11,55
2010-12-18,76
2010-12-25,61
2011-01-01,63
2011-01-08,61
2011-01-15,64
2011-01-22,61
2011-01-29,64
2011-02-05,59
2011-02-12,51
2011-02-19,51
2011-02-26,50
2011-03-05,51
2011-03-12,49
2011-03-19,51
2011-03-26,50
2011-04-02,47
2011-04-09,50
2011-04-16,58
2011-04-23,45
2011-04-30,48
2011-05-07,45
2011-05-14,49
2011-05-21,49
2011-05-28,51
2011-06-04,47
2011-06-11,51
2011-06-18,50
2011-06-25,56
2011-07-02,56
2011-07-09,53
2011-07-16,53
2011-07-23,55
2011-07-30,56
2011-08-06,53
2011-08-13,56
2011-08-20,55
2011-08-27,53
2011-09-03,53
2011-09-10,55
2011-09-17,55
2011-09-24,57
2011-10-01,58
2011-10-08,58
2011-10-15,56
2011-10-22,60
2011-10-29,57
2011-11-05,60
2011-11-12,66
2011-11-19,89
2011-11-26,55
2011-12-03,60
2011-12-10,65
2011-12-17,85
2011-12-24,73
2011-12-31,68
2012-01-07,65
2012-01-14,65
2012-01-21,61
2012-01-28,64
2012-02-04,56
2012-02-11,54
2012-02-18,54
2012-02-25,53
2012-03-03,54
2012-03-10,49
2012-03-17,49
2012-03-24,49
2012-03-31,61
2012-04-07,48
2012-04-14,49
2012-04-21,49
2012-04-28,50
2012-05-05,47
2012-05-12,48
2012-05-19,52
2012-05-26,48
2012-06-02,47
2012-06-09,51
2012-06-16,53
2012-06-23,52
2012-06-30,58
2012-07-07,50
2012-07-14,53
2012-07-21,50
2012-07-28,49
2012-08-04,50
2012-08-11,50
2012-08-18,51
2012-08-25,50
2012-09-01,50
2012-09-08,49
2012-09-15,51
2012-09-22,50
2012-09-29,51
2012-10-06,52
2012-10-13,52
2012-10-20,55
2012-10-27,50
2012-11-03,52
2012-11-10,61
2012-11-17,81
2012-11-24,50
2012-12-01,51
2012-12-08,55
2012-12-15,62
2012-12-22,69
2012-12-29,63
