Search Term,recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,44
2016-12-03,51
2016-12-10,59
2016-12-17,84
2016-12-24,64
2016-12-31,56
2017-01-07,49
2017-01-14,49
2017-01-21,47
2017-01-28,48
2017-02-04,45
2017-02-11,43
2017-02-18,42
2017-02-25,38
2017-03-04,42
2017-03-11,48
2017-03-18,42
2017-03-25,42
2017-04-01,40
2017-04-08,47
2017-04-15,41
2017-04-22,37
2017-04-29,41
2017-05-06,42
2017-05-13,40
2017-05-20,41
2017-05-27,44
2017-06-03,41
2017-06-10,44
2017-06-17,44
2017-06-24,45
2017-07-01,52
2017-07-08,45
2017-07-15,45
2017-07-22,45
2017-07-29,45
2017-08-05,46
2017-08-12,42
2017-08-19,42
2017-08-26,42
2017-09-02,42
2017-09-09,42
2017-09-16,41
2017-09-23,43
2017-09-30,42
2017-10-07,46
2017-10-14,42
2017-10-21,48
2017-10-28,46
2017-11-04,50
2017-11-11,57
2017-11-18,94
2017-11-25,42
2017-12-02,53
2017-12-09,56
2017-12-16,78
2017-12-23,79
2017-12-30,64
2018-01-06,51
2018-01-13,54
2018-01-20,50
2018-01-27,50
2018-02-03,50
2018-02-10,48
2018-02-17,47
2018-02-24,44
2018-03-03,45
2018-03-10,46
2018-03-17,42
2018-03-24,51
2018-03-31,45
2018-04-07,42
2018-04-14,42
2018-04-21,39
2018-04-28,41
2018-05-05,41
2018-05-12,39
2018-05-19,39
2018-05-26,45
2018-06-02,43
2018-06-09,45
2018-06-16,47
2018-06-23,42
2018-06-30,53
2018-07-07,45
2018-07-14,45
2018-07-21,46
2018-07-28,46
2018-08-04,46
2018-08-11,46
2018-08-18,44
2018-08-25,42
2018-09-01,47
2018-09-08,43
2018-09-15,43
2018-09-22,44
2018-09-29,42
2018-10-06,44
2018-10-13,46
2018-10-20,47
2018-10-27,47
2018-11-03,47
2018-11-10,61
2018-11-17,100
2018-11-24,48
2018-12-01,53
2018-12-08,60
2018-12-15,78
2018-12-22,88
2018-12-29,64
2019-01-05,51
2019-01-12,53
2019-01-19,55
2019-01-26,54
2019-02-02,47
2019-02-09,49
2019-02-16,50
2019-02-23,41
2019-03-02,46
2019-03-09,43
2019-03-16,43
2019-03-23,40
2019-03-30,42
2019-04-06,39
2019-04-13,47
2019-04-20,39
2019-04-27,43
2019-05-04,44
2019-05-11,44
2019-05-18,43
2019-05-25,47
2019-06-01,43
2019-06-08,46
2019-06-15,48
2019-06-22,45
2019-06-29,53
2019-07-06,46
2019-07-13,47
2019-07-20,48
2019-07-27,47
2019-08-03,47
2019-08-10,47
2019-08-17,47
2019-08-24,46
2019-08-31,46
2019-09-07,44
2019-09-14,44
2019-09-21,45
2019-09-28,45
2019-10-05,46
2019-10-12,50
2019-10-19,50
2019-10-26,49
2019-11-02,53
2019-11-09,53
2019-11-16,60
2019-11-23,100
2019-11-30,51
2019-12-07,55
2019-12-14,75
2019-12-21,96
2019-12-28,64
2020-01-04,55
2020-01-11,55
2020-01-18,55
2020-01-25,52
2020-02-01,49
2020-02-08,48
2020-02-15,48
2020-02-22,44
