Search Term,recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,70
2020-02-01,67
2020-02-08,68
2020-02-15,68
2020-02-22,61
2020-02-29,60
2020-03-07,57
2020-03-14,70
2020-03-21,86
2020-03-28,93
2020-04-04,100
2020-04-11,96
2020-04-18,96
2020-04-25,91
2020-05-02,89
2020-05-09,85
2020-05-16,81
2020-05-23,76
2020-05-30,72
2020-06-06,74
2020-06-13,78
2020-06-20,73
2020-06-27,84
2020-07-04,76
2020-07-11,77
2020-07-18,74
2020-07-25,70
2020-08-01,73
2020-08-08,71
2020-08-15,67
2020-08-22,64
2020-08-29,66
2020-09-05,68
2020-09-12,68
2020-09-19,65
2020-09-26,65
2020-10-03,67
2020-10-10,73
2020-10-17,73
2020-10-24,75
2020-10-31,60
2020-11-07,76
2020-11-14,82
2020-11-21,90
2020-11-28,66
2020-12-05,76
2020-12-12,81
2020-12-19,96
2020-12-26,89
2021-01-02,82
2021-01-09,78
2021-01-16,78
2021-01-23,81
2021-01-30,82
2021-02-06,73
2021-02-13,75
2021-02-20,70
2021-02-27,68
2021-03-06,65
2021-03-13,62
2021-03-20,57
2021-03-27,62
2021-04-03,56
2021-04-10,58
2021-04-17,57
2021-04-24,55
2021-05-01,56
2021-05-08,53
2021-05-15,52
2021-05-22,56
2021-05-29,53
2021-06-05,53
2021-06-12,58
2021-06-19,53
2021-06-26,59
2021-07-03,61
2021-07-10,56
2021-07-17,60
2021-07-24,60
2021-07-31,57
2021-08-07,55
2021-08-14,53
2021-08-21,57
2021-08-28,55
2021-09-04,53
2021-09-11,54
2021-09-18,55
2021-09-25,55
2021-10-02,57
2021-10-09,62
2021-10-16,58
2021-10-23,60
2021-10-30,63
2021-11-06,62
2021-11-13,64
2021-11-20,73
2021-11-27,57
2021-12-04,62
2021-12-11,64
2021-12-18,78
2021-12-25,72
2022-01-01,76
2022-01-08,77
2022-01-15,70
2022-01-22,68
2022-01-29,72
2022-02-05,67
2022-02-12,64
2022-02-19,64
2022-02-26,62
2022-03-05,63
2022-03-12,62
2022-03-19,58
2022-03-26,59
2022-04-02,58
2022-04-09,64
2022-04-16,55
2022-04-23,54
2022-04-30,54
2022-05-07,50
2022-05-14,53
2022-05-21,54
2022-05-28,55
2022-06-04,54
2022-06-11,56
2022-06-18,59
2022-06-25,63
2022-07-02,60
2022-07-09,61
2022-07-16,61
2022-07-23,62
2022-07-30,60
2022-08-06,57
2022-08-13,56
2022-08-20,58
2022-08-27,58
2022-09-03,53
2022-09-10,54
2022-09-17,57
2022-09-24,56
2022-10-01,59
2022-10-08,59
2022-10-15,58
2022-10-22,60
2022-10-29,57
2022-11-05,61
2022-11-12,67
2022-11-19,77
2022-11-26,59
2022-12-03,60
2022-12-10,63
2022-12-17,79
2022-12-24,71
2022-12-31,67
2023-01-07,64
2023-01-14,66
2023-01-21,61
2023-01-28,63
2023-02-04,61
2023-02-11,54
2023-02-18,59
2023-02-25,55
2023-03-04,57
2023-03-11,57
2023-03-18,55
2023-03-25,56
2023-04-01,60
2023-04-08,49
2023-04-15,51
2023-04-22,51
2023-04-29,51
2023-05-06,50
2023-05-13,49
2023-05-20,51
2023-05-27,51
2023-06-03,54
2023-06-10,54
2023-06-17,53
2023-06-24,56
2023-07-01,56
2023-07-08,52
2023-07-15,52
2023-07-22,53
2023-07-29,55
2023-08-05,51
2023-08-12,50
2023-08-19,52
2023-08-26,50
2023-09-02,52
2023-09-09,48
2023-09-16,51
2023-09-23,48
2023-09-30,48
2023-10-07,52
2023-10-14,50
2023-10-21,53
2023-10-28,51
2023-11-04,53
2023-11-11,57
2023-11-18,64
2023-11-25,51
2023-12-02,54
2023-12-09,57
2023-12-16,63
2023-12-23,64
2023-12-30,62
2024-01-06,65
2024-01-13,63
2024-01-20,57
2024-01-27,51
2024-02-03,52
2024-02-10,47
2024-02-17,49
2024-02-24,48
2024-03-02,46
2024-03-09,47
2024-03-16,48
2024-03-23,52
2024-03-30,45
2024-04-06,43
2024-04-13,43
2024-04-20,44
2024-04-27,46
2024-05-04,44
2024-05-11,40
2024-05-18,43
2024-05-25,45
