Search Term,restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,61
2012-12-01,67
2012-12-08,62
2012-12-15,69
2012-12-22,77
2012-12-29,77
2013-01-05,71
2013-01-12,76
2013-01-19,78
2013-01-26,70
2013-02-02,68
2013-02-09,78
2013-02-16,74
2013-02-23,71
2013-03-02,73
2013-03-09,72
2013-03-16,74
2013-03-23,76
2013-03-30,67
2013-04-06,74
2013-04-13,69
2013-04-20,70
2013-04-27,70
2013-05-04,75
2013-05-11,74
2013-05-18,73
2013-05-25,73
2013-06-01,71
2013-06-08,74
2013-06-15,76
2013-06-22,75
2013-06-29,77
2013-07-06,79
2013-07-13,80
2013-07-20,82
2013-07-27,80
2013-08-03,83
2013-08-10,81
2013-08-17,77
2013-08-24,71
2013-08-31,71
2013-09-07,65
2013-09-14,72
2013-09-21,67
2013-09-28,67
2013-10-05,68
2013-10-12,66
2013-10-19,68
2013-10-26,67
2013-11-02,71
2013-11-09,73
2013-11-16,69
2013-11-23,63
2013-11-30,61
2013-12-07,65
2013-12-14,74
2013-12-21,83
2013-12-28,82
2014-01-04,68
2014-01-11,73
2014-01-18,76
2014-01-25,72
2014-02-01,67
2014-02-08,82
2014-02-15,75
2014-02-22,75
2014-03-01,73
2014-03-08,75
2014-03-15,72
2014-03-22,72
2014-03-29,68
2014-04-05,71
2014-04-12,73
2014-04-19,76
2014-04-26,69
2014-05-03,76
2014-05-10,79
2014-05-17,72
2014-05-24,74
2014-05-31,77
2014-06-07,70
2014-06-14,78
2014-06-21,73
2014-06-28,78
2014-07-05,75
2014-07-12,82
2014-07-19,84
2014-07-26,86
2014-08-02,80
2014-08-09,81
2014-08-16,78
2014-08-23,71
2014-08-30,68
2014-09-06,69
2014-09-13,67
2014-09-20,71
2014-09-27,68
2014-10-04,68
2014-10-11,72
2014-10-18,70
2014-10-25,64
2014-11-01,67
2014-11-08,72
2014-11-15,66
2014-11-22,63
2014-11-29,60
2014-12-06,67
2014-12-13,74
2014-12-20,84
2014-12-27,91
2015-01-03,71
2015-01-10,77
2015-01-17,84
2015-01-24,73
2015-01-31,72
2015-02-07,84
2015-02-14,79
2015-02-21,75
2015-02-28,74
2015-03-07,77
2015-03-14,73
2015-03-21,75
2015-03-28,74
2015-04-04,69
2015-04-11,73
2015-04-18,74
2015-04-25,72
2015-05-02,79
2015-05-09,78
2015-05-16,75
2015-05-23,75
2015-05-30,72
2015-06-06,79
2015-06-13,75
2015-06-20,81
2015-06-27,78
2015-07-04,81
2015-07-11,84
2015-07-18,92
2015-07-25,87
2015-08-01,86
2015-08-08,88
2015-08-15,80
2015-08-22,78
2015-08-29,74
2015-09-05,74
2015-09-12,71
2015-09-19,72
2015-09-26,67
2015-10-03,73
2015-10-10,73
2015-10-17,72
2015-10-24,67
2015-10-31,71
2015-11-07,71
2015-11-14,67
2015-11-21,63
2015-11-28,63
2015-12-05,67
2015-12-12,73
2015-12-19,81
2015-12-26,96
2016-01-02,81
2016-01-09,86
2016-01-16,87
2016-01-23,86
2016-01-30,87
2016-02-06,90
2016-02-13,95
2016-02-20,89
2016-02-27,87
2016-03-05,85
2016-03-12,84
2016-03-19,90
2016-03-26,85
2016-04-02,89
2016-04-09,87
2016-04-16,86
2016-04-23,85
2016-04-30,99
2016-05-07,95
2016-05-14,89
2016-05-21,88
2016-05-28,87
2016-06-04,87
2016-06-11,96
2016-06-18,95
2016-06-25,91
2016-07-02,95
2016-07-09,97
2016-07-16,97
2016-07-23,99
2016-07-30,96
2016-08-06,93
2016-08-13,90
2016-08-20,89
2016-08-27,86
2016-09-03,85
2016-09-10,84
2016-09-17,85
2016-09-24,79
2016-10-01,79
2016-10-08,81
2016-10-15,81
2016-10-22,79
2016-10-29,79
2016-11-05,77
2016-11-12,81
2016-11-19,79
2016-11-26,73
2016-12-03,78
2016-12-10,80
2016-12-17,90
2016-12-24,100
2016-12-31,82
