Search Term,restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,40
2008-12-06,40
2008-12-13,40
2008-12-20,47
2008-12-27,51
2009-01-03,41
2009-01-10,44
2009-01-17,44
2009-01-24,43
2009-01-31,46
2009-02-07,63
2009-02-14,42
2009-02-21,41
2009-02-28,41
2009-03-07,43
2009-03-14,44
2009-03-21,42
2009-03-28,41
2009-04-04,43
2009-04-11,42
2009-04-18,42
2009-04-25,41
2009-05-02,48
2009-05-09,44
2009-05-16,45
2009-05-23,45
2009-05-30,48
2009-06-06,49
2009-06-13,51
2009-06-20,51
2009-06-27,46
2009-07-04,46
2009-07-11,49
2009-07-18,54
2009-07-25,50
2009-08-01,52
2009-08-08,51
2009-08-15,50
2009-08-22,48
2009-08-29,46
2009-09-05,46
2009-09-12,41
2009-09-19,46
2009-09-26,45
2009-10-03,46
2009-10-10,45
2009-10-17,46
2009-10-24,40
2009-10-31,45
2009-11-07,47
2009-11-14,46
2009-11-21,43
2009-11-28,43
2009-12-05,42
2009-12-12,43
2009-12-19,48
2009-12-26,57
2010-01-02,42
2010-01-09,47
2010-01-16,46
2010-01-23,46
2010-01-30,47
2010-02-06,54
2010-02-13,51
2010-02-20,46
2010-02-27,47
2010-03-06,47
2010-03-13,48
2010-03-20,48
2010-03-27,45
2010-04-03,46
2010-04-10,47
2010-04-17,49
2010-04-24,48
2010-05-01,53
2010-05-08,51
2010-05-15,49
2010-05-22,48
2010-05-29,48
2010-06-05,50
2010-06-12,55
2010-06-19,53
2010-06-26,54
2010-07-03,55
2010-07-10,57
2010-07-17,55
2010-07-24,56
2010-07-31,55
2010-08-07,53
2010-08-14,55
2010-08-21,53
2010-08-28,48
2010-09-04,48
2010-09-11,49
2010-09-18,47
2010-09-25,47
2010-10-02,48
2010-10-09,48
2010-10-16,49
2010-10-23,46
2010-10-30,46
2010-11-06,49
2010-11-13,46
2010-11-20,43
2010-11-27,41
2010-12-04,45
2010-12-11,47
2010-12-18,51
2010-12-25,60
2011-01-01,53
2011-01-08,53
2011-01-15,57
2011-01-22,56
2011-01-29,54
2011-02-05,65
2011-02-12,70
2011-02-19,54
2011-02-26,55
2011-03-05,57
2011-03-12,57
2011-03-19,58
2011-03-26,57
2011-04-02,55
2011-04-09,54
2011-04-16,60
2011-04-23,53
2011-04-30,59
2011-05-07,61
2011-05-14,58
2011-05-21,58
2011-05-28,62
2011-06-04,59
2011-06-11,85
2011-06-18,85
2011-06-25,82
2011-07-02,88
2011-07-09,84
2011-07-16,84
2011-07-23,84
2011-07-30,85
2011-08-06,79
2011-08-13,79
2011-08-20,74
2011-08-27,72
2011-09-03,72
2011-09-10,69
2011-09-17,72
2011-09-24,74
2011-10-01,72
2011-10-08,70
2011-10-15,71
2011-10-22,67
2011-10-29,70
2011-11-05,70
2011-11-12,70
2011-11-19,69
2011-11-26,66
2011-12-03,66
2011-12-10,70
2011-12-17,75
2011-12-24,100
2011-12-31,75
2012-01-07,76
2012-01-14,74
2012-01-21,75
2012-01-28,75
2012-02-04,75
2012-02-11,88
2012-02-18,79
2012-02-25,73
2012-03-03,80
2012-03-10,83
2012-03-17,78
2012-03-24,76
2012-03-31,77
2012-04-07,77
2012-04-14,71
2012-04-21,64
2012-04-28,64
2012-05-05,67
2012-05-12,73
2012-05-19,77
2012-05-26,80
2012-06-02,81
2012-06-09,84
2012-06-16,84
2012-06-23,84
2012-06-30,90
2012-07-07,86
2012-07-14,87
2012-07-21,86
2012-07-28,83
2012-08-04,84
2012-08-11,86
2012-08-18,86
2012-08-25,78
2012-09-01,79
2012-09-08,74
2012-09-15,74
2012-09-22,73
2012-09-29,76
2012-10-06,75
2012-10-13,75
2012-10-20,70
2012-10-27,66
2012-11-03,68
2012-11-10,70
2012-11-17,68
2012-11-24,64
2012-12-01,64
2012-12-08,64
2012-12-15,69
2012-12-22,84
2012-12-29,78
