,Search Term,climate change
0,2004-01-03,17.0
1,2004-01-10,21.0
2,2004-01-17,18.0
3,2004-01-24,19.0
4,2004-01-31,19.0
5,2004-02-07,23.0
6,2004-02-14,18.0
7,2004-02-21,41.0
8,2004-02-28,26.0
9,2004-03-06,22.0
10,2004-03-13,21.0
11,2004-03-20,21.0
12,2004-03-27,24.0
13,2004-04-03,21.0
14,2004-04-10,18.0
15,2004-04-17,26.0
16,2004-04-24,25.0
17,2004-05-01,27.999999999999996
18,2004-05-08,24.0
19,2004-05-15,23.0
20,2004-05-22,24.0
21,2004-05-29,27.999999999999996
22,2004-06-05,19.0
23,2004-06-12,13.0
24,2004-06-19,9.0
25,2004-06-26,8.0
26,2004-07-03,9.0
27,2004-07-10,9.0
28,2004-07-17,10.0
29,2004-07-24,9.0
30,2004-07-31,9.0
31,2004-08-07,9.0
32,2004-08-14,10.0
33,2004-08-21,11.0
34,2004-08-28,12.0
35,2004-09-04,16.0
36,2004-09-11,20.0
37,2004-09-18,22.0
38,2004-09-25,23.0
39,2004-10-02,23.0
40,2004-10-09,22.0
41,2004-10-16,26.0
42,2004-10-23,25.0
43,2004-10-30,27.999999999999996
44,2004-11-06,33.0
45,2004-11-13,37.0
46,2004-11-20,26.0
47,2004-11-27,32.0
48,2004-12-04,33.0
49,2004-12-11,30.000000000000004
50,2004-12-18,15.000000000000002
51,2004-12-25,16.0
52,2005-01-01,24.0
53,2005-01-08,24.0
54,2005-01-15,20.0
55,2005-01-22,25.0
56,2005-01-29,24.0
57,2005-02-05,26.0
58,2005-02-12,28.999999999999996
59,2005-02-19,24.0
60,2005-02-26,26.0
61,2005-03-05,23.0
62,2005-03-12,24.0
63,2005-03-19,19.0
64,2005-03-26,19.0
65,2005-04-02,22.0
66,2005-04-09,27.0
67,2005-04-16,23.0
68,2005-04-23,27.999999999999996
69,2005-04-30,27.999999999999996
70,2005-05-07,25.0
71,2005-05-14,23.0
72,2005-05-21,21.0
73,2005-05-28,16.0
74,2005-06-04,19.0
75,2005-06-11,15.000000000000002
76,2005-06-18,12.0
77,2005-06-25,12.0
78,2005-07-02,13.999999999999998
79,2005-07-09,12.0
80,2005-07-16,13.0
81,2005-07-23,13.999999999999998
82,2005-07-30,11.0
83,2005-08-06,11.0
84,2005-08-13,8.0
85,2005-08-20,11.0
86,2005-08-27,23.0
87,2005-09-03,21.0
88,2005-09-10,22.0
89,2005-09-17,38.0
90,2005-09-24,32.0
91,2005-10-01,25.0
92,2005-10-08,27.999999999999996
93,2005-10-15,27.0
94,2005-10-22,28.999999999999996
95,2005-10-29,27.999999999999996
96,2005-11-05,27.0
97,2005-11-12,33.0
98,2005-11-19,27.0
99,2005-11-26,32.0
100,2005-12-03,34.0
101,2005-12-10,27.0
102,2005-12-17,13.999999999999998
103,2005-12-24,11.0
104,2005-12-31,17.0
105,2006-01-07,23.0
106,2006-01-14,21.0
107,2006-01-21,22.0
108,2006-01-28,28.999999999999996
109,2006-02-04,30.000000000000004
110,2006-02-11,27.999999999999996
111,2006-02-18,27.0
112,2006-02-25,28.999999999999996
113,2006-03-04,26.0
114,2006-03-11,23.0
115,2006-03-18,28.999999999999996
116,2006-03-25,39.0
117,2006-04-01,41.0
118,2006-04-08,39.0
119,2006-04-15,44.0
120,2006-04-22,48.0
121,2006-04-29,39.0
122,2006-05-06,38.0
123,2006-05-13,30.000000000000004
124,2006-05-20,38.0
125,2006-05-27,33.0
126,2006-06-03,31.0
127,2006-06-10,28.999999999999996
128,2006-06-17,30.000000000000004
129,2006-06-24,31.0
130,2006-07-01,24.0
131,2006-07-08,25.0
132,2006-07-15,36.0
133,2006-07-22,36.0
134,2006-07-29,36.0
135,2006-08-05,21.0
136,2006-08-12,17.0
137,2006-08-19,18.0
138,2006-08-26,24.0
139,2006-09-02,27.999999999999996
140,2006-09-09,28.999999999999996
141,2006-09-16,35.0
142,2006-09-23,40.0
143,2006-09-30,35.0
144,2006-10-07,34.0
145,2006-10-14,34.0
146,2006-10-21,35.0
147,2006-10-28,38.0
148,2006-11-04,37.0
149,2006-11-11,46.0
150,2006-11-18,33.0
151,2006-11-25,54.0
152,2006-12-02,57.99999999999999
153,2006-12-09,54.0
154,2006-12-16,40.0
155,2006-12-23,32.0
156,2006-12-30,64.0
157,2007-01-06,64.99999999999999
158,2007-01-13,62.0
159,2007-01-20,71.00000000000001
160,2007-01-27,94.0
161,2007-02-03,100.0
162,2007-02-10,70.0
163,2007-02-17,61.0
164,2007-02-24,78.0
165,2007-03-03,70.0
166,2007-03-10,88.0
167,2007-03-17,85.00000000000001
168,2007-03-24,70.0
169,2007-03-31,82.0
170,2007-04-07,89.0
171,2007-04-14,80.0
172,2007-04-21,96.0
173,2007-04-28,86.0
174,2007-05-05,75.0
175,2007-05-12,73.0
176,2007-05-19,63.0
177,2007-05-26,54.0
178,2007-06-02,48.0
179,2007-06-09,36.0
