Search Term,health
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2004-01-03,91
2004-01-10,98
2004-01-17,95
2004-01-24,94
2004-01-31,90
2004-02-07,94
2004-02-14,95
2004-02-21,93
2004-02-28,89
2004-03-06,89
2004-03-13,90
2004-03-20,85
2004-03-27,95
2004-04-03,96
2004-04-10,81
2004-04-17,95
2004-04-24,90
2004-05-01,85
2004-05-08,91
2004-05-15,84
2004-05-22,85
2004-05-29,79
2004-06-05,92
2004-06-12,84
2004-06-19,88
2004-06-26,83
2004-07-03,85
2004-07-10,84
2004-07-17,87
2004-07-24,88
2004-07-31,87
2004-08-07,86
2004-08-14,84
2004-08-21,89
2004-08-28,88
2004-09-04,89
2004-09-11,92
2004-09-18,98
2004-09-25,95
2004-10-02,98
2004-10-09,100
2004-10-16,96
2004-10-23,97
2004-10-30,90
2004-11-06,83
2004-11-13,92
2004-11-20,76
2004-11-27,91
2004-12-04,84
2004-12-11,78
2004-12-18,57
2004-12-25,66
2005-01-01,91
2005-01-08,96
2005-01-15,89
2005-01-22,94
2005-01-29,95
2005-02-05,90
2005-02-12,91
2005-02-19,92
2005-02-26,93
2005-03-05,90
2005-03-12,86
2005-03-19,88
2005-03-26,90
2005-04-02,85
2005-04-09,93
2005-04-16,92
2005-04-23,88
2005-04-30,86
2005-05-07,85
2005-05-14,84
2005-05-21,82
2005-05-28,83
2005-06-04,86
2005-06-11,84
2005-06-18,85
2005-06-25,84
2005-07-02,76
2005-07-09,80
2005-07-16,85
2005-07-23,87
2005-07-30,85
2005-08-06,80
2005-08-13,83
2005-08-20,81
2005-08-27,81
2005-09-03,79
2005-09-10,88
2005-09-17,87
2005-09-24,94
2005-10-01,88
2005-10-08,84
2005-10-15,89
2005-10-22,85
2005-10-29,85
2005-11-05,85
2005-11-12,90
2005-11-19,69
2005-11-26,86
2005-12-03,79
2005-12-10,76
2005-12-17,65
2005-12-24,70
2005-12-31,86
2006-01-07,88
2006-01-14,87
2006-01-21,88
2006-01-28,94
2006-02-04,84
2006-02-11,87
2006-02-18,85
2006-02-25,85
2006-03-04,89
2006-03-11,82
2006-03-18,86
2006-03-25,86
2006-04-01,88
2006-04-08,84
2006-04-15,88
2006-04-22,86
2006-04-29,84
2006-05-06,83
2006-05-13,78
2006-05-20,75
2006-05-27,74
2006-06-03,78
2006-06-10,79
2006-06-17,79
2006-06-24,77
2006-07-01,71
2006-07-08,77
2006-07-15,80
2006-07-22,78
2006-07-29,78
2006-08-05,75
2006-08-12,77
2006-08-19,77
2006-08-26,78
2006-09-02,77
2006-09-09,82
2006-09-16,83
2006-09-23,84
2006-09-30,84
2006-10-07,83
2006-10-14,80
2006-10-21,83
2006-10-28,86
2006-11-04,84
2006-11-11,83
2006-11-18,65
2006-11-25,82
2006-12-02,78
2006-12-09,74
2006-12-16,66
2006-12-23,61
2006-12-30,85
2007-01-06,88
2007-01-13,83
2007-01-20,89
2007-01-27,88
2007-02-03,83
2007-02-10,79
2007-02-17,82
2007-02-24,82
2007-03-03,83
2007-03-10,80
2007-03-17,84
2007-03-24,83
2007-03-31,79
2007-04-07,79
2007-04-14,81
2007-04-21,83
2007-04-28,80
2007-05-05,80
2007-05-12,81
2007-05-19,77
2007-05-26,76
2007-06-02,85
2007-06-09,80
2007-06-16,80
2007-06-23,80
2007-06-30,73
2007-07-07,79
2007-07-14,84
2007-07-21,82
2007-07-28,80
2007-08-04,82
2007-08-11,79
2007-08-18,80
2007-08-25,81
2007-09-01,80
2007-09-08,83
2007-09-15,88
2007-09-22,91
2007-09-29,89
2007-10-06,87
2007-10-13,84
2007-10-20,85
2007-10-27,86
2007-11-03,88
2007-11-10,86
2007-11-17,67
2007-11-24,79
2007-12-01,78
2007-12-08,75
2007-12-15,66
2007-12-22,56
2007-12-29,79
2008-01-05,92
2008-01-12,87
2008-01-19,84
2008-01-26,86
2008-02-02,87
2008-02-09,82
2008-02-16,83
2008-02-23,87
2008-03-01,85
2008-03-08,83
2008-03-15,79
2008-03-22,83
2008-03-29,87
2008-04-05,87
2008-04-12,84
2008-04-19,84
2008-04-26,83
2008-05-03,80
2008-05-10,80
2008-05-17,80
2008-05-24,75
2008-05-31,87
2008-06-07,74
2008-06-14,78
2008-06-21,77
2008-06-28,75
2008-07-05,79
2008-07-12,76
2008-07-19,78
2008-07-26,78
2008-08-02,80
2008-08-09,76
2008-08-16,77
2008-08-23,80
2008-08-30,77
2008-09-06,81
2008-09-13,81
2008-09-20,82
2008-09-27,83
2008-10-04,83
2008-10-11,85
2008-10-18,86
2008-10-25,87
2008-11-01,77
2008-11-08,84
2008-11-15,85
2008-11-22,64
2008-11-29,82
2008-12-06,79
2008-12-13,69
2008-12-20,55
2008-12-27,70
