Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2004-01-03,45
2004-01-10,52
2004-01-17,61
2004-01-24,57
2004-01-31,60
2004-02-07,66
2004-02-14,59
2004-02-21,62
2004-02-28,65
2004-03-06,48
2004-03-13,57
2004-03-20,54
2004-03-27,61
2004-04-03,70
2004-04-10,56
2004-04-17,59
2004-04-24,73
2004-05-01,66
2004-05-08,59
2004-05-15,49
2004-05-22,57
2004-05-29,49
2004-06-05,49
2004-06-12,47
2004-06-19,48
2004-06-26,61
2004-07-03,47
2004-07-10,44
2004-07-17,58
2004-07-24,47
2004-07-31,43
2004-08-07,42
2004-08-14,44
2004-08-21,54
2004-08-28,54
2004-09-04,54
2004-09-11,67
2004-09-18,74
2004-09-25,65
2004-10-02,63
2004-10-09,59
2004-10-16,67
2004-10-23,61
2004-10-30,63
2004-11-06,68
2004-11-13,68
2004-11-20,57
2004-11-27,69
2004-12-04,67
2004-12-11,64
2004-12-18,29
2004-12-25,33
2005-01-01,49
2005-01-08,53
2005-01-15,54
2005-01-22,64
2005-01-29,57
2005-02-05,56
2005-02-12,57
2005-02-19,58
2005-02-26,69
2005-03-05,53
2005-03-12,50
2005-03-19,50
2005-03-26,63
2005-04-02,58
2005-04-09,57
2005-04-16,64
2005-04-23,73
2005-04-30,52
2005-05-07,56
2005-05-14,58
2005-05-21,50
2005-05-28,52
2005-06-04,49
2005-06-11,44
2005-06-18,40
2005-06-25,47
2005-07-02,44
2005-07-09,45
2005-07-16,44
2005-07-23,45
2005-07-30,47
2005-08-06,48
2005-08-13,42
2005-08-20,46
2005-08-27,46
2005-09-03,49
2005-09-10,61
2005-09-17,65
2005-09-24,65
2005-10-01,60
2005-10-08,53
2005-10-15,58
2005-10-22,62
2005-10-29,58
2005-11-05,57
2005-11-12,59
2005-11-19,50
2005-11-26,60
2005-12-03,65
2005-12-10,50
2005-12-17,41
2005-12-24,31
2005-12-31,38
2006-01-07,41
2006-01-14,47
2006-01-21,55
2006-01-28,52
2006-02-04,63
2006-02-11,56
2006-02-18,54
2006-02-25,60
2006-03-04,57
2006-03-11,52
2006-03-18,55
2006-03-25,57
2006-04-01,62
2006-04-08,60
2006-04-15,67
2006-04-22,62
2006-04-29,67
2006-05-06,57
2006-05-13,55
2006-05-20,50
2006-05-27,49
2006-06-03,56
2006-06-10,49
2006-06-17,46
2006-06-24,43
2006-07-01,43
2006-07-08,46
2006-07-15,48
2006-07-22,44
2006-07-29,48
2006-08-05,44
2006-08-12,48
2006-08-19,43
2006-08-26,48
2006-09-02,55
2006-09-09,60
2006-09-16,50
2006-09-23,63
2006-09-30,62
2006-10-07,52
2006-10-14,57
2006-10-21,59
2006-10-28,58
2006-11-04,63
2006-11-11,63
2006-11-18,52
2006-11-25,63
2006-12-02,63
2006-12-09,51
2006-12-16,38
2006-12-23,35
2006-12-30,40
2007-01-06,52
2007-01-13,52
2007-01-20,67
2007-01-27,65
2007-02-03,65
2007-02-10,67
2007-02-17,69
2007-02-24,62
2007-03-03,62
2007-03-10,61
2007-03-17,64
2007-03-24,67
2007-03-31,64
2007-04-07,66
2007-04-14,72
2007-04-21,70
2007-04-28,66
2007-05-05,67
2007-05-12,59
2007-05-19,61
2007-05-26,59
2007-06-02,58
2007-06-09,60
2007-06-16,57
2007-06-23,66
2007-06-30,54
2007-07-07,56
2007-07-14,61
2007-07-21,55
2007-07-28,58
2007-08-04,55
2007-08-11,51
2007-08-18,57
2007-08-25,59
2007-09-01,66
2007-09-08,72
2007-09-15,77
2007-09-22,73
2007-09-29,76
2007-10-06,82
2007-10-13,72
2007-10-20,73
2007-10-27,81
2007-11-03,75
2007-11-10,74
2007-11-17,66
2007-11-24,77
2007-12-01,78
2007-12-08,74
2007-12-15,56
2007-12-22,35
2007-12-29,49
2008-01-05,69
2008-01-12,76
2008-01-19,75
2008-01-26,73
2008-02-02,75
2008-02-09,74
2008-02-16,75
2008-02-23,77
2008-03-01,75
2008-03-08,72
2008-03-15,73
2008-03-22,80
2008-03-29,73
2008-04-05,91
2008-04-12,89
2008-04-19,100
2008-04-26,91
2008-05-03,91
2008-05-10,80
2008-05-17,76
2008-05-24,69
2008-05-31,75
2008-06-07,72
2008-06-14,66
2008-06-21,69
2008-06-28,64
2008-07-05,68
2008-07-12,67
2008-07-19,68
2008-07-26,67
2008-08-02,71
2008-08-09,68
2008-08-16,65
2008-08-23,69
2008-08-30,73
2008-09-06,82
2008-09-13,92
2008-09-20,88
2008-09-27,87
2008-10-04,91
2008-10-11,91
2008-10-18,93
2008-10-25,89
2008-11-01,84
2008-11-08,91
2008-11-15,97
2008-11-22,86
2008-11-29,98
2008-12-06,89
2008-12-13,69
2008-12-20,39
2008-12-27,46
