Search Term,plant based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,26
2012-12-08,21
2012-12-15,17
2012-12-22,29
2012-12-29,34
2013-01-05,34
2013-01-12,31
2013-01-19,32
2013-01-26,54
2013-02-02,38
2013-02-09,33
2013-02-16,35
2013-02-23,34
2013-03-02,33
2013-03-09,34
2013-03-16,40
2013-03-23,40
2013-03-30,33
2013-04-06,34
2013-04-13,32
2013-04-20,33
2013-04-27,41
2013-05-04,32
2013-05-11,32
2013-05-18,34
2013-05-25,31
2013-06-01,29
2013-06-08,24
2013-06-15,32
2013-06-22,27
2013-06-29,28
2013-07-06,34
2013-07-13,35
2013-07-20,29
2013-07-27,26
2013-08-03,29
2013-08-10,27
2013-08-17,28
2013-08-24,30
2013-08-31,28
2013-09-07,27
2013-09-14,24
2013-09-21,26
2013-09-28,27
2013-10-05,27
2013-10-12,28
2013-10-19,25
2013-10-26,29
2013-11-02,27
2013-11-09,24
2013-11-16,24
2013-11-23,22
2013-11-30,30
2013-12-07,27
2013-12-14,24
2013-12-21,20
2013-12-28,37
2014-01-04,32
2014-01-11,30
2014-01-18,32
2014-01-25,35
2014-02-01,33
2014-02-08,35
2014-02-15,30
2014-02-22,38
2014-03-01,39
2014-03-08,31
2014-03-15,34
2014-03-22,30
2014-03-29,33
2014-04-05,32
2014-04-12,31
2014-04-19,33
2014-04-26,34
2014-05-03,32
2014-05-10,33
2014-05-17,27
2014-05-24,26
2014-05-31,28
2014-06-07,27
2014-06-14,28
2014-06-21,24
2014-06-28,28
2014-07-05,32
2014-07-12,27
2014-07-19,32
2014-07-26,48
2014-08-02,30
2014-08-09,23
2014-08-16,27
2014-08-23,28
2014-08-30,25
2014-09-06,28
2014-09-13,33
2014-09-20,29
2014-09-27,29
2014-10-04,30
2014-10-11,30
2014-10-18,31
2014-10-25,28
2014-11-01,32
2014-11-08,33
2014-11-15,29
2014-11-22,20
2014-11-29,27
2014-12-06,25
2014-12-13,25
2014-12-20,26
2014-12-27,30
2015-01-03,40
2015-01-10,37
2015-01-17,36
2015-01-24,33
2015-01-31,31
2015-02-07,32
2015-02-14,36
2015-02-21,32
2015-02-28,39
2015-03-07,33
2015-03-14,35
2015-03-21,34
2015-03-28,32
2015-04-04,44
2015-04-11,41
2015-04-18,40
2015-04-25,38
2015-05-02,43
2015-05-09,37
2015-05-16,34
2015-05-23,38
2015-05-30,38
2015-06-06,41
2015-06-13,31
2015-06-20,37
2015-06-27,38
2015-07-04,38
2015-07-11,35
2015-07-18,34
2015-07-25,42
2015-08-01,33
2015-08-08,37
2015-08-15,34
2015-08-22,36
2015-08-29,34
2015-09-05,36
2015-09-12,34
2015-09-19,39
2015-09-26,40
2015-10-03,43
2015-10-10,37
2015-10-17,35
2015-10-24,40
2015-10-31,39
2015-11-07,37
2015-11-14,37
2015-11-21,30
2015-11-28,35
2015-12-05,31
2015-12-12,30
2015-12-19,29
2015-12-26,46
2016-01-02,54
2016-01-09,45
2016-01-16,47
2016-01-23,45
2016-01-30,44
2016-02-06,43
2016-02-13,47
2016-02-20,53
2016-02-27,59
2016-03-05,65
2016-03-12,57
2016-03-19,57
2016-03-26,57
2016-04-02,54
2016-04-09,53
2016-04-16,61
2016-04-23,55
2016-04-30,56
2016-05-07,49
2016-05-14,49
2016-05-21,56
2016-05-28,47
2016-06-04,47
2016-06-11,46
2016-06-18,40
2016-06-25,45
2016-07-02,46
2016-07-09,47
2016-07-16,43
2016-07-23,43
2016-07-30,45
2016-08-06,41
2016-08-13,45
2016-08-20,46
2016-08-27,41
2016-09-03,45
2016-09-10,42
2016-09-17,46
2016-09-24,47
2016-10-01,45
2016-10-08,44
2016-10-15,49
2016-10-22,46
2016-10-29,47
2016-11-05,43
2016-11-12,58
2016-11-19,48
2016-11-26,60
2016-12-03,60
2016-12-10,46
2016-12-17,42
2016-12-24,56
2016-12-31,100
