,Search Term,plant-based
0,2004-01-03,0.0
1,2004-01-10,0.0
2,2004-01-17,0.0
3,2004-01-24,48.00000000000001
4,2004-01-31,53.0
5,2004-02-07,0.0
6,2004-02-14,0.0
7,2004-02-21,0.0
8,2004-02-28,0.0
9,2004-03-06,0.0
10,2004-03-13,0.0
11,2004-03-20,0.0
12,2004-03-27,0.0
13,2004-04-03,0.0
14,2004-04-10,0.0
15,2004-04-17,0.0
16,2004-04-24,0.0
17,2004-05-01,0.0
18,2004-05-08,0.0
19,2004-05-15,0.0
20,2004-05-22,0.0
21,2004-05-29,49.0
22,2004-06-05,55.99999999999999
23,2004-06-12,36.0
24,2004-06-19,32.99999999999999
25,2004-06-26,0.0
26,2004-07-03,0.0
27,2004-07-10,71.00000000000001
28,2004-07-17,0.0
29,2004-07-24,0.0
30,2004-07-31,0.0
31,2004-08-07,0.0
32,2004-08-14,0.0
33,2004-08-21,0.0
34,2004-08-28,36.0
35,2004-09-04,32.0
36,2004-09-11,0.0
37,2004-09-18,0.0
38,2004-09-25,0.0
39,2004-10-02,0.0
40,2004-10-09,0.0
41,2004-10-16,0.0
42,2004-10-23,0.0
43,2004-10-30,0.0
44,2004-11-06,0.0
45,2004-11-13,0.0
46,2004-11-20,0.0
47,2004-11-27,27.999999999999996
48,2004-12-04,0.0
49,2004-12-11,0.0
50,2004-12-18,0.0
51,2004-12-25,0.0
52,2005-01-01,0.0
53,2005-01-08,0.0
54,2005-01-15,0.0
55,2005-01-22,0.0
56,2005-01-29,0.0
57,2005-02-05,0.0
58,2005-02-12,0.0
59,2005-02-19,26.999999999999996
60,2005-02-26,0.0
61,2005-03-05,39.0
62,2005-03-12,0.0
63,2005-03-19,62.0
64,2005-03-26,0.0
65,2005-04-02,81.0
66,2005-04-09,0.0
67,2005-04-16,0.0
68,2005-04-23,0.0
69,2005-04-30,22.0
70,2005-05-07,0.0
71,2005-05-14,0.0
72,2005-05-21,0.0
73,2005-05-28,40.0
74,2005-06-04,0.0
75,2005-06-11,26.0
76,2005-06-18,0.0
77,2005-06-25,0.0
78,2005-07-02,26.999999999999996
79,2005-07-09,0.0
80,2005-07-16,0.0
81,2005-07-23,0.0
82,2005-07-30,0.0
83,2005-08-06,0.0
84,2005-08-13,0.0
85,2005-08-20,0.0
86,2005-08-27,0.0
87,2005-09-03,48.00000000000001
88,2005-09-10,0.0
89,2005-09-17,0.0
90,2005-09-24,0.0
91,2005-10-01,0.0
92,2005-10-08,39.0
93,2005-10-15,0.0
94,2005-10-22,0.0
95,2005-10-29,0.0
96,2005-11-05,0.0
97,2005-11-12,29.000000000000004
98,2005-11-19,0.0
99,2005-11-26,0.0
100,2005-12-03,20.0
101,2005-12-10,17.0
102,2005-12-17,19.0
103,2005-12-24,0.0
104,2005-12-31,0.0
105,2006-01-07,0.0
106,2006-01-14,0.0
107,2006-01-21,0.0
108,2006-01-28,0.0
109,2006-02-04,0.0
110,2006-02-11,0.0
111,2006-02-18,0.0
112,2006-02-25,0.0
113,2006-03-04,0.0
114,2006-03-11,0.0
115,2006-03-18,19.0
116,2006-03-25,0.0
117,2006-04-01,18.0
118,2006-04-08,0.0
119,2006-04-15,30.0
120,2006-04-22,0.0
121,2006-04-29,36.0
122,2006-05-06,0.0
123,2006-05-13,0.0
124,2006-05-20,0.0
125,2006-05-27,0.0
126,2006-06-03,0.0
127,2006-06-10,0.0
128,2006-06-17,0.0
129,2006-06-24,0.0
130,2006-07-01,0.0
131,2006-07-08,0.0
132,2006-07-15,0.0
133,2006-07-22,0.0
134,2006-07-29,0.0
135,2006-08-05,100.0
136,2006-08-12,0.0
137,2006-08-19,31.0
138,2006-08-26,0.0
139,2006-09-02,0.0
140,2006-09-09,0.0
141,2006-09-16,0.0
142,2006-09-23,15.0
143,2006-09-30,0.0
144,2006-10-07,0.0
145,2006-10-14,48.00000000000001
146,2006-10-21,19.0
147,2006-10-28,13.999999999999998
148,2006-11-04,0.0
149,2006-11-11,17.0
150,2006-11-18,0.0
151,2006-11-25,0.0
152,2006-12-02,0.0
153,2006-12-09,0.0
154,2006-12-16,0.0
155,2006-12-23,0.0
156,2006-12-30,23.0
157,2007-01-06,0.0
158,2007-01-13,18.0
159,2007-01-20,22.0
160,2007-01-27,56.99999999999999
161,2007-02-03,0.0
162,2007-02-10,0.0
163,2007-02-17,13.0
164,2007-02-24,0.0
165,2007-03-03,0.0
166,2007-03-10,12.000000000000002
167,2007-03-17,0.0
168,2007-03-24,0.0
169,2007-03-31,0.0
170,2007-04-07,0.0
171,2007-04-14,0.0
172,2007-04-21,0.0
173,2007-04-28,13.999999999999998
174,2007-05-05,13.999999999999998
175,2007-05-12,0.0
176,2007-05-19,0.0
177,2007-05-26,13.0
178,2007-06-02,0.0
179,2007-06-09,0.0
180,2007-06-16,0.0
181,2007-06-23,0.0
182,2007-06-30,32.99999999999999
183,2007-07-07,0.0
184,2007-07-14,0.0
185,2007-07-21,0.0
186,2007-07-28,0.0
187,2007-08-04,19.0
188,2007-08-11,0.0
189,2007-08-18,0.0
190,2007-08-25,13.0
191,2007-09-01,26.0
192,2007-09-08,0.0
193,2007-09-15,0.0
194,2007-09-22,0.0
195,2007-09-29,10.0
196,2007-10-06,0.0
197,2007-10-13,0.0
198,2007-10-20,0.0
199,2007-10-27,0.0
200,2007-11-03,0.0
201,2007-11-10,0.0
202,2007-11-17,0.0
203,2007-11-24,0.0
204,2007-12-01,0.0
205,2007-12-08,0.0
206,2007-12-15,0.0
207,2007-12-22,25.0
208,2007-12-29,0.0
209,2008-01-05,8.0
210,2008-01-12,13.0
211,2008-01-19,0.0
212,2008-01-26,0.0
