Search Term,plant-based
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,22
2016-12-10,21
2016-12-17,21
2016-12-24,17
2016-12-31,29
2017-01-07,26
2017-01-14,31
2017-01-21,23
2017-01-28,34
2017-02-04,20
2017-02-11,26
2017-02-18,34
2017-02-25,29
2017-03-04,34
2017-03-11,26
2017-03-18,36
2017-03-25,27
2017-04-01,37
2017-04-08,47
2017-04-15,22
2017-04-22,31
2017-04-29,26
2017-05-06,18
2017-05-13,19
2017-05-20,18
2017-05-27,28
2017-06-03,27
2017-06-10,24
2017-06-17,32
2017-06-24,34
2017-07-01,44
2017-07-08,48
2017-07-15,53
2017-07-22,48
2017-07-29,51
2017-08-05,44
2017-08-12,35
2017-08-19,39
2017-08-26,14
2017-09-02,27
2017-09-09,38
2017-09-16,41
2017-09-23,41
2017-09-30,33
2017-10-07,40
2017-10-14,30
2017-10-21,34
2017-10-28,30
2017-11-04,36
2017-11-11,30
2017-11-18,39
2017-11-25,42
2017-12-02,28
2017-12-09,19
2017-12-16,23
2017-12-23,22
2017-12-30,34
2018-01-06,36
2018-01-13,35
2018-01-20,38
2018-01-27,36
2018-02-03,51
2018-02-10,27
2018-02-17,46
2018-02-24,54
2018-03-03,49
2018-03-10,43
2018-03-17,50
2018-03-24,47
2018-03-31,43
2018-04-07,40
2018-04-14,29
2018-04-21,27
2018-04-28,49
2018-05-05,66
2018-05-12,31
2018-05-19,33
2018-05-26,31
2018-06-02,41
2018-06-09,47
2018-06-16,14
2018-06-23,30
2018-06-30,35
2018-07-07,31
2018-07-14,35
2018-07-21,29
2018-07-28,27
2018-08-04,25
2018-08-11,38
2018-08-18,41
2018-08-25,36
2018-09-01,29
2018-09-08,32
2018-09-15,47
2018-09-22,37
2018-09-29,44
2018-10-06,37
2018-10-13,44
2018-10-20,39
2018-10-27,29
2018-11-03,37
2018-11-10,52
2018-11-17,28
2018-11-24,37
2018-12-01,27
2018-12-08,43
2018-12-15,35
2018-12-22,16
2018-12-29,36
2019-01-05,58
2019-01-12,56
2019-01-19,42
2019-01-26,54
2019-02-02,41
2019-02-09,43
2019-02-16,40
2019-02-23,49
2019-03-02,50
2019-03-09,44
2019-03-16,58
2019-03-23,46
2019-03-30,53
2019-04-06,37
2019-04-13,34
2019-04-20,41
2019-04-27,55
2019-05-04,48
2019-05-11,41
2019-05-18,40
2019-05-25,47
2019-06-01,56
2019-06-08,70
2019-06-15,52
2019-06-22,52
2019-06-29,41
2019-07-06,70
2019-07-13,43
2019-07-20,58
2019-07-27,57
2019-08-03,73
2019-08-10,72
2019-08-17,46
2019-08-24,67
2019-08-31,50
2019-09-07,46
2019-09-14,50
2019-09-21,72
2019-09-28,57
2019-10-05,63
2019-10-12,63
2019-10-19,95
2019-10-26,88
2019-11-02,85
2019-11-09,93
2019-11-16,89
2019-11-23,61
2019-11-30,75
2019-12-07,55
2019-12-14,55
2019-12-21,60
2019-12-28,89
2020-01-04,98
2020-01-11,90
2020-01-18,92
2020-01-25,98
2020-02-01,100
2020-02-08,99
2020-02-15,79
2020-02-22,96
2020-02-29,91
