Search Term,vegan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2004-01-03,46
2004-01-10,40
2004-01-17,54
2004-01-24,45
2004-01-31,44
2004-02-07,52
2004-02-14,48
2004-02-21,43
2004-02-28,42
2004-03-06,37
2004-03-13,50
2004-03-20,52
2004-03-27,45
2004-04-03,45
2004-04-10,39
2004-04-17,41
2004-04-24,48
2004-05-01,41
2004-05-08,46
2004-05-15,40
2004-05-22,43
2004-05-29,47
2004-06-05,48
2004-06-12,43
2004-06-19,41
2004-06-26,45
2004-07-03,43
2004-07-10,52
2004-07-17,52
2004-07-24,48
2004-07-31,51
2004-08-07,44
2004-08-14,49
2004-08-21,47
2004-08-28,41
2004-09-04,47
2004-09-11,53
2004-09-18,41
2004-09-25,50
2004-10-02,46
2004-10-09,49
2004-10-16,60
2004-10-23,50
2004-10-30,47
2004-11-06,54
2004-11-13,63
2004-11-20,85
2004-11-27,51
2004-12-04,51
2004-12-11,52
2004-12-18,74
2004-12-25,53
2005-01-01,47
2005-01-08,49
2005-01-15,43
2005-01-22,48
2005-01-29,48
2005-02-05,51
2005-02-12,46
2005-02-19,50
2005-02-26,45
2005-03-05,45
2005-03-12,51
2005-03-19,50
2005-03-26,46
2005-04-02,47
2005-04-09,45
2005-04-16,47
2005-04-23,44
2005-04-30,43
2005-05-07,49
2005-05-14,50
2005-05-21,46
2005-05-28,56
2005-06-04,51
2005-06-11,49
2005-06-18,46
2005-06-25,52
2005-07-02,53
2005-07-09,51
2005-07-16,43
2005-07-23,49
2005-07-30,51
2005-08-06,56
2005-08-13,51
2005-08-20,49
2005-08-27,44
2005-09-03,47
2005-09-10,47
2005-09-17,42
2005-09-24,49
2005-10-01,46
2005-10-08,44
2005-10-15,49
2005-10-22,49
2005-10-29,50
2005-11-05,57
2005-11-12,58
2005-11-19,75
2005-11-26,51
2005-12-03,56
2005-12-10,54
2005-12-17,63
2005-12-24,61
2005-12-31,47
2006-01-07,52
2006-01-14,44
2006-01-21,45
2006-01-28,50
2006-02-04,49
2006-02-11,50
2006-02-18,51
2006-02-25,47
2006-03-04,48
2006-03-11,54
2006-03-18,52
2006-03-25,51
2006-04-01,45
2006-04-08,50
2006-04-15,47
2006-04-22,48
2006-04-29,48
2006-05-06,46
2006-05-13,44
2006-05-20,47
2006-05-27,50
2006-06-03,46
2006-06-10,50
2006-06-17,48
2006-06-24,50
2006-07-01,52
2006-07-08,46
2006-07-15,46
2006-07-22,65
2006-07-29,55
2006-08-05,53
2006-08-12,48
2006-08-19,47
2006-08-26,46
2006-09-02,49
2006-09-09,45
2006-09-16,44
2006-09-23,47
2006-09-30,52
2006-10-07,51
2006-10-14,52
2006-10-21,53
2006-10-28,53
2006-11-04,52
2006-11-11,60
2006-11-18,76
2006-11-25,47
2006-12-02,50
2006-12-09,50
2006-12-16,55
2006-12-23,60
2006-12-30,56
2007-01-06,53
2007-01-13,51
2007-01-20,53
2007-01-27,53
2007-02-03,50
2007-02-10,55
2007-02-17,51
2007-02-24,48
2007-03-03,52
2007-03-10,53
2007-03-17,53
2007-03-24,55
2007-03-31,54
2007-04-07,51
2007-04-14,47
2007-04-21,52
2007-04-28,72
2007-05-05,70
2007-05-12,54
2007-05-19,56
2007-05-26,53
2007-06-02,52
2007-06-09,50
2007-06-16,56
2007-06-23,54
2007-06-30,55
2007-07-07,55
2007-07-14,53
2007-07-21,57
2007-07-28,60
2007-08-04,55
2007-08-11,55
2007-08-18,61
2007-08-25,54
2007-09-01,54
2007-09-08,59
2007-09-15,63
2007-09-22,67
2007-09-29,65
2007-10-06,62
2007-10-13,60
2007-10-20,58
2007-10-27,61
2007-11-03,66
2007-11-10,72
2007-11-17,98
2007-11-24,61
2007-12-01,64
2007-12-08,61
2007-12-15,68
2007-12-22,76
2007-12-29,73
2008-01-05,71
2008-01-12,62
2008-01-19,64
2008-01-26,67
2008-02-02,64
2008-02-09,70
2008-02-16,68
2008-02-23,69
2008-03-01,65
2008-03-08,66
2008-03-15,68
2008-03-22,64
2008-03-29,58
2008-04-05,64
2008-04-12,63
2008-04-19,61
2008-04-26,63
2008-05-03,62
2008-05-10,61
2008-05-17,64
2008-05-24,70
2008-05-31,63
2008-06-07,67
2008-06-14,74
2008-06-21,69
2008-06-28,71
2008-07-05,66
2008-07-12,66
2008-07-19,69
2008-07-26,66
2008-08-02,72
2008-08-09,62
2008-08-16,65
2008-08-23,59
2008-08-30,58
2008-09-06,57
2008-09-13,61
2008-09-20,64
2008-09-27,66
2008-10-04,62
2008-10-11,67
2008-10-18,64
2008-10-25,63
2008-11-01,59
2008-11-08,71
2008-11-15,74
2008-11-22,100
2008-11-29,67
2008-12-06,68
2008-12-13,69
2008-12-20,86
2008-12-27,76
