Search Term,vegetarian
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,61
2016-12-10,62
2016-12-17,72
2016-12-24,70
2016-12-31,80
2017-01-07,76
2017-01-14,74
2017-01-21,66
2017-01-28,62
2017-02-04,65
2017-02-11,65
2017-02-18,63
2017-02-25,70
2017-03-04,70
2017-03-11,68
2017-03-18,67
2017-03-25,68
2017-04-01,66
2017-04-08,67
2017-04-15,61
2017-04-22,64
2017-04-29,61
2017-05-06,62
2017-05-13,60
2017-05-20,60
2017-05-27,62
2017-06-03,63
2017-06-10,62
2017-06-17,66
2017-06-24,74
2017-07-01,79
2017-07-08,82
2017-07-15,83
2017-07-22,82
2017-07-29,81
2017-08-05,84
2017-08-12,80
2017-08-19,78
2017-08-26,71
2017-09-02,80
2017-09-09,71
2017-09-16,76
2017-09-23,72
2017-09-30,79
2017-10-07,73
2017-10-14,69
2017-10-21,82
2017-10-28,80
2017-11-04,81
2017-11-11,87
2017-11-18,89
2017-11-25,71
2017-12-02,74
2017-12-09,75
2017-12-16,84
2017-12-23,96
2017-12-30,100
2018-01-06,94
2018-01-13,87
2018-01-20,84
2018-01-27,90
2018-02-03,84
2018-02-10,82
2018-02-17,85
2018-02-24,78
2018-03-03,81
2018-03-10,74
2018-03-17,77
2018-03-24,79
2018-03-31,76
2018-04-07,68
2018-04-14,72
2018-04-21,71
2018-04-28,69
2018-05-05,69
2018-05-12,68
2018-05-19,65
2018-05-26,70
2018-06-02,69
2018-06-09,71
2018-06-16,67
2018-06-23,72
2018-06-30,71
2018-07-07,74
2018-07-14,70
2018-07-21,75
2018-07-28,72
2018-08-04,76
2018-08-11,69
2018-08-18,67
2018-08-25,65
2018-09-01,69
2018-09-08,65
2018-09-15,69
2018-09-22,71
2018-09-29,70
2018-10-06,71
2018-10-13,68
2018-10-20,69
2018-10-27,70
2018-11-03,71
2018-11-10,77
2018-11-17,83
2018-11-24,70
2018-12-01,69
2018-12-08,68
2018-12-15,74
2018-12-22,84
2018-12-29,95
2019-01-05,85
2019-01-12,80
2019-01-19,78
2019-01-26,78
2019-02-02,70
2019-02-09,72
2019-02-16,71
2019-02-23,67
2019-03-02,77
2019-03-09,70
2019-03-16,73
2019-03-23,71
2019-03-30,73
2019-04-06,71
2019-04-13,73
2019-04-20,63
2019-04-27,67
2019-05-04,68
2019-05-11,65
2019-05-18,65
2019-05-25,68
2019-06-01,68
2019-06-08,67
2019-06-15,70
2019-06-22,68
2019-06-29,69
2019-07-06,66
2019-07-13,64
2019-07-20,69
2019-07-27,69
2019-08-03,70
2019-08-10,68
2019-08-17,69
2019-08-24,65
2019-08-31,67
2019-09-07,66
2019-09-14,67
2019-09-21,67
2019-09-28,74
2019-10-05,68
2019-10-12,69
2019-10-19,78
2019-10-26,77
2019-11-02,87
2019-11-09,83
2019-11-16,86
2019-11-23,88
2019-11-30,73
2019-12-07,71
2019-12-14,77
2019-12-21,87
2019-12-28,100
2020-01-04,93
2020-01-11,81
2020-01-18,85
2020-01-25,79
2020-02-01,74
2020-02-08,80
2020-02-15,77
2020-02-22,73
2020-02-29,72
