,ds,Time,Month,tgc,wth,cowspiracy,vegan_recipes,fok,okja,recipes,sustainability,animal_welfare,climate,climate_change,health,T,all_docs,owth,all_climate,Month_Dummy1,Month_Dummy2,Month_Dummy3,Month_Dummy4,Month_Dummy5,Month_Dummy6,Month_Dummy7,Month_Dummy8,Month_Dummy9,Month_Dummy10,Month_Dummy11,Month_Dummy12
0,2004-01-03,0,1,0.0,0.0,0.0,28,0.0,0.0,48.0,51.2,8.64,237.5,82.875,1963.5,2004-01-03,0.0,0.0,371.575,1,0,0,0,0,0,0,0,0,0,0,0
1,2004-01-10,1,1,0.0,0.0,0.0,17,0.0,0.0,51.0,58.88,18.24,262.5,102.375,2142.0,2004-01-10,0.0,0.0,423.755,1,0,0,0,0,0,0,0,0,0,0,0
2,2004-01-17,2,1,0.0,0.0,0.0,21,0.0,0.0,50.0,69.12,14.399999999999999,262.5,87.75,2052.75,2004-01-17,0.0,0.0,419.37,1,0,0,0,0,0,0,0,0,0,0,0
3,2004-01-24,3,1,0.0,0.0,0.0,25,0.0,0.0,53.0,64.0,20.64,237.5,92.625,2052.75,2004-01-24,0.0,0.0,394.125,1,0,0,0,0,0,0,0,0,0,0,0
4,2004-01-31,4,1,0.0,0.0,0.0,15,0.0,0.0,41.0,67.84,15.36,250.0,92.625,1963.5,2004-01-31,0.0,0.0,410.46500000000003,1,0,0,0,0,0,0,0,0,0,0,0
5,2004-02-07,5,2,0.0,0.0,0.0,22,0.0,0.0,48.0,74.24,12.24,275.0,112.125,2052.75,2004-02-07,0.0,0.0,461.365,0,1,0,0,0,0,0,0,0,0,0,0
6,2004-02-14,6,2,0.0,0.0,0.0,20,0.0,0.0,44.0,66.56,19.2,262.5,87.75,2052.75,2004-02-14,0.0,0.0,416.81,0,1,0,0,0,0,0,0,0,0,0,0
7,2004-02-21,7,2,0.0,0.0,0.0,14,0.0,0.0,43.0,70.4,23.279999999999998,325.0,199.875,2008.125,2004-02-21,0.0,0.0,595.275,0,1,0,0,0,0,0,0,0,0,0,0
8,2004-02-28,8,2,0.0,0.0,0.0,27,0.0,0.0,46.0,74.24,24.0,325.0,126.75,1918.875,2004-02-28,0.0,0.0,525.99,0,1,0,0,0,0,0,0,0,0,0,0
9,2004-03-06,9,3,0.0,0.0,0.0,7,0.0,0.0,44.0,53.76,16.08,287.5,107.25,1918.875,2004-03-06,0.0,0.0,448.51,0,0,1,0,0,0,0,0,0,0,0,0
10,2004-03-13,10,3,0.0,0.0,0.0,26,0.0,0.0,44.0,64.0,18.24,275.0,102.375,1963.5,2004-03-13,0.0,0.0,441.375,0,0,1,0,0,0,0,0,0,0,0,0
11,2004-03-20,11,3,0.0,0.0,0.0,29,0.0,0.0,46.0,61.44,23.279999999999998,250.0,102.375,1829.625,2004-03-20,0.0,0.0,413.815,0,0,1,0,0,0,0,0,0,0,0,0
12,2004-03-27,12,3,0.0,0.0,0.0,18,0.0,0.0,42.0,69.12,23.279999999999998,300.0,117.0,2052.75,2004-03-27,0.0,0.0,486.12,0,0,1,0,0,0,0,0,0,0,0,0
13,2004-04-03,13,4,0.0,0.0,0.0,24,0.0,0.0,50.0,79.36,15.84,225.0,102.375,2097.375,2004-04-03,0.0,0.0,406.735,0,0,0,1,0,0,0,0,0,0,0,0
14,2004-04-10,14,4,0.0,0.0,0.0,15,0.0,0.0,37.0,64.0,9.6,250.0,87.75,1740.375,2004-04-10,0.0,0.0,401.75,0,0,0,1,0,0,0,0,0,0,0,0
15,2004-04-17,15,4,0.0,0.0,0.0,15,0.0,0.0,38.0,66.56,18.24,312.5,126.75,2052.75,2004-04-17,0.0,0.0,505.81,0,0,0,1,0,0,0,0,0,0,0,0
16,2004-04-24,16,4,0.0,0.0,0.0,13,0.0,0.0,39.0,83.2,13.44,312.5,121.875,1963.5,2004-04-24,0.0,0.0,517.575,0,0,0,1,0,0,0,0,0,0,0,0
17,2004-05-01,17,5,0.0,0.0,0.0,15,0.0,0.0,44.0,74.24,14.399999999999999,300.0,136.5,1829.625,2004-05-01,0.0,0.0,510.74,0,0,0,0,1,0,0,0,0,0,0,0
18,2004-05-08,18,5,0.0,0.0,0.0,18,0.0,0.0,39.0,66.56,14.879999999999999,325.0,117.0,1963.5,2004-05-08,0.0,0.0,508.56,0,0,0,0,1,0,0,0,0,0,0,0
19,2004-05-15,19,5,0.0,0.0,0.0,18,0.0,0.0,38.0,55.04,19.439999999999998,300.0,112.125,1829.625,2004-05-15,0.0,0.0,467.165,0,0,0,0,1,0,0,0,0,0,0,0
20,2004-05-22,20,5,0.0,0.0,0.0,4,0.0,0.0,41.0,64.0,12.24,262.5,117.0,1829.625,2004-05-22,0.0,0.0,443.5,0,0,0,0,1,0,0,0,0,0,0,0
21,2004-05-29,21,5,0.0,0.0,0.0,25,0.0,0.0,40.0,55.04,16.08,212.5,136.5,1695.75,2004-05-29,0.0,0.0,404.04,0,0,0,0,1,0,0,0,0,0,0,0
22,2004-06-05,22,6,0.0,0.0,0.0,17,0.0,0.0,35.0,55.04,14.399999999999999,200.0,92.625,2008.125,2004-06-05,0.0,0.0,347.665,0,0,0,0,0,1,0,0,0,0,0,0
23,2004-06-12,23,6,0.0,0.0,0.0,17,0.0,0.0,40.0,52.480000000000004,10.32,150.0,63.375,1829.625,2004-06-12,0.0,0.0,265.855,0,0,0,0,0,1,0,0,0,0,0,0
24,2004-06-19,24,6,0.0,0.0,0.0,13,0.0,0.0,39.0,53.76,16.32,112.5,43.875,1918.875,2004-06-19,0.0,0.0,210.135,0,0,0,0,0,1,0,0,0,0,0,0
25,2004-06-26,25,6,0.0,0.0,0.0,13,0.0,0.0,43.0,69.12,12.48,100.0,39.0,1785.0,2004-06-26,0.0,0.0,208.12,0,0,0,0,0,1,0,0,0,0,0,0
26,2004-07-03,26,7,0.0,0.0,0.0,18,0.0,0.0,39.0,52.480000000000004,14.639999999999999,100.0,43.875,1829.625,2004-07-03,0.0,0.0,196.35500000000002,0,0,0,0,0,0,1,0,0,0,0,0
27,2004-07-10,27,7,0.0,0.0,0.0,18,0.0,0.0,41.0,49.92,21.36,112.5,43.875,1829.625,2004-07-10,0.0,0.0,206.29500000000002,0,0,0,0,0,0,1,0,0,0,0,0
