,Search Term,cowspiracy: the sustainability secret
0,2012-12-01,0.0
1,2012-12-08,0.0
2,2012-12-15,0.0
3,2012-12-22,1.0
4,2012-12-29,2.0
5,2013-01-05,0.0
6,2013-01-12,0.0
7,2013-01-19,1.0
8,2013-01-26,0.0
9,2013-02-02,0.0
10,2013-02-09,1.0
11,2013-02-16,0.0
12,2013-02-23,0.0
13,2013-03-02,0.0
14,2013-03-09,0.0
15,2013-03-16,0.0
16,2013-03-23,0.0
17,2013-03-30,0.0
18,2013-04-06,0.0
19,2013-04-13,0.0
20,2013-04-20,0.0
21,2013-04-27,0.0
22,2013-05-04,1.0
23,2013-05-11,1.0
24,2013-05-18,1.0
25,2013-05-25,0.0
26,2013-06-01,0.0
27,2013-06-08,1.0
28,2013-06-15,0.0
29,2013-06-22,0.0
30,2013-06-29,0.0
31,2013-07-06,0.0
32,2013-07-13,1.0
33,2013-07-20,0.0
34,2013-07-27,0.0
35,2013-08-03,0.0
36,2013-08-10,0.0
37,2013-08-17,0.0
38,2013-08-24,1.0
39,2013-08-31,0.0
40,2013-09-07,0.0
41,2013-09-14,0.0
42,2013-09-21,0.0
43,2013-09-28,0.0
44,2013-10-05,0.0
45,2013-10-12,0.0
46,2013-10-19,0.0
47,2013-10-26,0.0
48,2013-11-02,0.0
49,2013-11-09,0.0
50,2013-11-16,0.0
51,2013-11-23,0.0
52,2013-11-30,0.0
53,2013-12-07,0.0
54,2013-12-14,0.0
55,2013-12-21,0.0
56,2013-12-28,0.0
57,2014-01-04,0.0
58,2014-01-11,0.0
59,2014-01-18,0.0
60,2014-01-25,0.0
61,2014-02-01,0.0
62,2014-02-08,0.0
63,2014-02-15,0.0
64,2014-02-22,0.0
65,2014-03-01,0.0
66,2014-03-08,1.0
67,2014-03-15,0.0
68,2014-03-22,1.0
69,2014-03-29,0.0
70,2014-04-05,0.0
71,2014-04-12,0.0
72,2014-04-19,3.0000000000000004
73,2014-04-26,0.0
74,2014-05-03,1.0
75,2014-05-10,0.0
76,2014-05-17,0.0
77,2014-05-24,2.0
78,2014-05-31,1.0
79,2014-06-07,0.0
80,2014-06-14,2.0
81,2014-06-21,3.0000000000000004
82,2014-06-28,3.0000000000000004
83,2014-07-05,1.0
84,2014-07-12,6.000000000000001
85,2014-07-19,7.000000000000001
86,2014-07-26,1.0
87,2014-08-02,3.0000000000000004
88,2014-08-09,7.000000000000001
89,2014-08-16,6.000000000000001
90,2014-08-23,8.0
91,2014-08-30,7.000000000000001
92,2014-09-06,10.0
93,2014-09-13,8.0
94,2014-09-20,10.0
95,2014-09-27,9.000000000000002
96,2014-10-04,5.0
97,2014-10-11,7.000000000000001
98,2014-10-18,6.000000000000001
99,2014-10-25,4.0
100,2014-11-01,7.000000000000001
101,2014-11-08,8.0
102,2014-11-15,9.000000000000002
103,2014-11-22,4.0
104,2014-11-29,6.000000000000001
105,2014-12-06,7.000000000000001
106,2014-12-13,6.000000000000001
107,2014-12-20,5.0
108,2014-12-27,8.0
109,2015-01-03,9.000000000000002
110,2015-01-10,6.000000000000001
111,2015-01-17,7.000000000000001
112,2015-01-24,9.000000000000002
113,2015-01-31,4.0
114,2015-02-07,5.0
