Search Term,cowspiracy: the sustainability secret
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,78
2016-12-10,53
2016-12-17,64
2016-12-24,58
2016-12-31,62
2017-01-07,63
2017-01-14,56
2017-01-21,71
2017-01-28,58
2017-02-04,41
2017-02-11,74
2017-02-18,78
2017-02-25,71
2017-03-04,60
2017-03-11,67
2017-03-18,73
2017-03-25,68
2017-04-01,67
2017-04-08,62
2017-04-15,60
2017-04-22,80
2017-04-29,69
2017-05-06,78
2017-05-13,43
2017-05-20,31
2017-05-27,66
2017-06-03,54
2017-06-10,47
2017-06-17,66
2017-06-24,72
2017-07-01,89
2017-07-08,100
2017-07-15,77
2017-07-22,88
2017-07-29,80
2017-08-05,61
2017-08-12,62
2017-08-19,40
2017-08-26,47
2017-09-02,59
2017-09-09,37
2017-09-16,39
2017-09-23,36
2017-09-30,47
2017-10-07,37
2017-10-14,39
2017-10-21,44
2017-10-28,53
2017-11-04,39
2017-11-11,43
2017-11-18,23
2017-11-25,40
2017-12-02,58
2017-12-09,45
2017-12-16,27
2017-12-23,33
2017-12-30,42
2018-01-06,43
2018-01-13,34
2018-01-20,38
2018-01-27,51
2018-02-03,35
2018-02-10,38
2018-02-17,34
2018-02-24,58
2018-03-03,33
2018-03-10,48
2018-03-17,42
2018-03-24,35
2018-03-31,45
2018-04-07,45
2018-04-14,50
2018-04-21,57
2018-04-28,37
2018-05-05,34
2018-05-12,23
2018-05-19,26
2018-05-26,40
2018-06-02,24
2018-06-09,30
2018-06-16,33
2018-06-23,24
2018-06-30,20
2018-07-07,21
2018-07-14,18
2018-07-21,24
2018-07-28,31
2018-08-04,31
2018-08-11,18
2018-08-18,21
2018-08-25,25
2018-09-01,35
2018-09-08,29
2018-09-15,27
2018-09-22,22
2018-09-29,26
2018-10-06,43
2018-10-13,30
2018-10-20,25
2018-10-27,34
2018-11-03,41
2018-11-10,32
2018-11-17,25
2018-11-24,46
2018-12-01,35
2018-12-08,32
2018-12-15,26
2018-12-22,17
2018-12-29,24
2019-01-05,27
2019-01-12,30
2019-01-19,25
2019-01-26,25
2019-02-02,34
2019-02-09,33
2019-02-16,35
2019-02-23,35
2019-03-02,20
2019-03-09,35
2019-03-16,26
2019-03-23,27
2019-03-30,32
2019-04-06,42
2019-04-13,32
2019-04-20,35
2019-04-27,29
2019-05-04,25
2019-05-11,39
2019-05-18,32
2019-05-25,37
2019-06-01,19
2019-06-08,40
2019-06-15,42
2019-06-22,25
2019-06-29,14
2019-07-06,28
2019-07-13,25
2019-07-20,19
2019-07-27,14
2019-08-03,16
2019-08-10,16
2019-08-17,37
2019-08-24,41
2019-08-31,26
2019-09-07,23
2019-09-14,18
2019-09-21,35
2019-09-28,28
2019-10-05,25
2019-10-12,26
2019-10-19,18
2019-10-26,33
2019-11-02,32
2019-11-09,30
2019-11-16,25
2019-11-23,27
2019-11-30,32
2019-12-07,21
2019-12-14,25
2019-12-21,22
2019-12-28,22
2020-01-04,27
2020-01-11,24
2020-01-18,29
2020-01-25,28
2020-02-01,30
2020-02-08,32
2020-02-15,26
2020-02-22,26
2020-02-29,31
