Search Term,forks over knives
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,71
2012-12-08,65
2012-12-15,57
2012-12-22,78
2012-12-29,100
2013-01-05,97
2013-01-12,94
2013-01-19,93
2013-01-26,83
2013-02-02,89
2013-02-09,83
2013-02-16,88
2013-02-23,98
2013-03-02,90
2013-03-09,87
2013-03-16,86
2013-03-23,88
2013-03-30,83
2013-04-06,79
2013-04-13,81
2013-04-20,86
2013-04-27,75
2013-05-04,62
2013-05-11,68
2013-05-18,73
2013-05-25,73
2013-06-01,66
2013-06-08,69
2013-06-15,66
2013-06-22,61
2013-06-29,68
2013-07-06,70
2013-07-13,63
2013-07-20,58
2013-07-27,62
2013-08-03,59
2013-08-10,63
2013-08-17,61
2013-08-24,55
2013-08-31,54
2013-09-07,44
2013-09-14,46
2013-09-21,52
2013-09-28,49
2013-10-05,52
2013-10-12,46
2013-10-19,48
2013-10-26,42
2013-11-02,51
2013-11-09,52
2013-11-16,46
2013-11-23,43
2013-11-30,43
2013-12-07,44
2013-12-14,35
2013-12-21,41
2013-12-28,59
2014-01-04,60
2014-01-11,57
2014-01-18,51
2014-01-25,48
2014-02-01,47
2014-02-08,49
2014-02-15,50
2014-02-22,56
2014-03-01,52
2014-03-08,54
2014-03-15,50
2014-03-22,50
2014-03-29,53
2014-04-05,45
2014-04-12,45
2014-04-19,45
2014-04-26,44
2014-05-03,41
2014-05-10,42
2014-05-17,44
2014-05-24,38
2014-05-31,36
2014-06-07,37
2014-06-14,38
2014-06-21,41
2014-06-28,34
2014-07-05,39
2014-07-12,36
2014-07-19,41
2014-07-26,72
2014-08-02,44
2014-08-09,35
2014-08-16,47
2014-08-23,33
2014-08-30,36
2014-09-06,41
2014-09-13,45
2014-09-20,41
2014-09-27,38
2014-10-04,42
2014-10-11,35
2014-10-18,36
2014-10-25,44
2014-11-01,46
2014-11-08,49
2014-11-15,45
2014-11-22,45
2014-11-29,33
2014-12-06,38
2014-12-13,35
2014-12-20,32
2014-12-27,52
2015-01-03,54
2015-01-10,49
2015-01-17,50
2015-01-24,39
2015-01-31,49
2015-02-07,40
2015-02-14,47
2015-02-21,36
2015-02-28,35
2015-03-07,47
2015-03-14,40
2015-03-21,42
2015-03-28,38
2015-04-04,37
2015-04-11,39
2015-04-18,50
2015-04-25,42
2015-05-02,33
2015-05-09,40
2015-05-16,36
2015-05-23,42
2015-05-30,37
2015-06-06,41
2015-06-13,36
2015-06-20,37
2015-06-27,45
2015-07-04,38
2015-07-11,38
2015-07-18,44
2015-07-25,41
2015-08-01,46
2015-08-08,45
2015-08-15,48
2015-08-22,35
2015-08-29,38
2015-09-05,41
2015-09-12,40
2015-09-19,43
2015-09-26,42
2015-10-03,42
2015-10-10,36
2015-10-17,44
2015-10-24,48
2015-10-31,43
2015-11-07,39
2015-11-14,31
2015-11-21,34
2015-11-28,42
2015-12-05,39
2015-12-12,32
2015-12-19,34
2015-12-26,45
2016-01-02,49
2016-01-09,34
2016-01-16,40
2016-01-23,38
2016-01-30,39
2016-02-06,35
2016-02-13,37
2016-02-20,37
2016-02-27,43
2016-03-05,40
2016-03-12,35
2016-03-19,41
2016-03-26,43
2016-04-02,41
2016-04-09,45
2016-04-16,36
2016-04-23,32
2016-04-30,37
2016-05-07,33
2016-05-14,37
2016-05-21,38
2016-05-28,31
2016-06-04,30
2016-06-11,30
2016-06-18,26
2016-06-25,28
2016-07-02,27
2016-07-09,27
2016-07-16,37
2016-07-23,29
2016-07-30,26
2016-08-06,28
2016-08-13,24
2016-08-20,30
2016-08-27,28
2016-09-03,32
2016-09-10,30
2016-09-17,35
2016-09-24,26
2016-10-01,26
2016-10-08,30
2016-10-15,30
2016-10-22,28
2016-10-29,30
2016-11-05,29
2016-11-12,31
2016-11-19,38
2016-11-26,33
2016-12-03,37
2016-12-10,30
2016-12-17,27
2016-12-24,50
2016-12-31,65
