Search Term,okja
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,18
2020-02-01,30
2020-02-08,75
2020-02-15,53
2020-02-22,32
2020-02-29,21
2020-03-07,22
2020-03-14,29
2020-03-21,32
2020-03-28,27
2020-04-04,61
2020-04-11,42
2020-04-18,32
2020-04-25,29
2020-05-02,23
2020-05-09,21
2020-05-16,26
2020-05-23,23
2020-05-30,21
2020-06-06,28
2020-06-13,21
2020-06-20,15
2020-06-27,18
2020-07-04,16
2020-07-11,15
2020-07-18,17
2020-07-25,15
2020-08-01,15
2020-08-08,15
2020-08-15,13
2020-08-22,13
2020-08-29,14
2020-09-05,13
2020-09-12,10
2020-09-19,9
2020-09-26,9
2020-10-03,10
2020-10-10,11
2020-10-17,8
2020-10-24,10
2020-10-31,7
2020-11-07,9
2020-11-14,12
2020-11-21,12
2020-11-28,8
2020-12-05,10
2020-12-12,10
2020-12-19,15
2020-12-26,17
2021-01-02,18
2021-01-09,20
2021-01-16,16
2021-01-23,16
2021-01-30,14
2021-02-06,16
2021-02-13,13
2021-02-20,12
2021-02-27,12
2021-03-06,12
2021-03-13,11
2021-03-20,9
2021-03-27,12
2021-04-03,10
2021-04-10,10
2021-04-17,10
2021-04-24,10
2021-05-01,7
2021-05-08,12
2021-05-15,18
2021-05-22,16
2021-05-29,11
2021-06-05,10
2021-06-12,10
2021-06-19,10
2021-06-26,9
2021-07-03,10
2021-07-10,8
2021-07-17,9
2021-07-24,10
2021-07-31,11
2021-08-07,11
2021-08-14,9
2021-08-21,6
2021-08-28,6
2021-09-04,10
2021-09-11,9
2021-09-18,13
2021-09-25,11
2021-10-02,9
2021-10-09,11
2021-10-16,9
2021-10-23,8
2021-10-30,10
2021-11-06,6
2021-11-13,9
2021-11-20,10
2021-11-27,6
2021-12-04,6
2021-12-11,9
2021-12-18,7
2021-12-25,10
2022-01-01,11
2022-01-08,12
2022-01-15,11
2022-01-22,8
2022-01-29,10
2022-02-05,8
2022-02-12,9
2022-02-19,8
2022-02-26,9
2022-03-05,13
2022-03-12,13
2022-03-19,16
2022-03-26,14
2022-04-02,13
2022-04-09,16
2022-04-16,21
2022-04-23,16
2022-04-30,14
2022-05-07,12
2022-05-14,10
2022-05-21,11
2022-05-28,9
2022-06-04,10
2022-06-11,10
2022-06-18,9
2022-06-25,9
2022-07-02,17
2022-07-09,11
2022-07-16,11
2022-07-23,11
2022-07-30,11
2022-08-06,7
2022-08-13,7
2022-08-20,8
2022-08-27,6
2022-09-03,10
2022-09-10,7
2022-09-17,7
2022-09-24,5
2022-10-01,6
2022-10-08,8
2022-10-15,12
2022-10-22,7
2022-10-29,9
2022-11-05,8
2022-11-12,7
2022-11-19,6
2022-11-26,6
2022-12-03,9
2022-12-10,17
2022-12-17,8
2022-12-24,9
2022-12-31,8
2023-01-07,8
2023-01-14,6
2023-01-21,39
2023-01-28,100
2023-02-04,70
2023-02-11,52
2023-02-18,46
2023-02-25,33
2023-03-04,29
2023-03-11,26
2023-03-18,18
2023-03-25,20
2023-04-01,14
2023-04-08,24
2023-04-15,18
2023-04-22,16
2023-04-29,13
2023-05-06,9
2023-05-13,8
2023-05-20,10
2023-05-27,12
2023-06-03,12
2023-06-10,14
2023-06-17,8
2023-06-24,11
2023-07-01,12
2023-07-08,12
2023-07-15,13
2023-07-22,15
2023-07-29,9
2023-08-05,9
2023-08-12,8
2023-08-19,8
2023-08-26,10
2023-09-02,8
2023-09-09,9
2023-09-16,9
2023-09-23,10
2023-09-30,6
2023-10-07,9
2023-10-14,8
2023-10-21,6
2023-10-28,6
2023-11-04,9
2023-11-11,9
2023-11-18,7
2023-11-25,13
2023-12-02,9
2023-12-09,9
2023-12-16,9
2023-12-23,10
2023-12-30,10
2024-01-06,12
2024-01-13,11
2024-01-20,12
2024-01-27,11
2024-02-03,10
2024-02-10,10
2024-02-17,11
2024-02-24,7
2024-03-02,7
2024-03-09,5
2024-03-16,7
2024-03-23,7
2024-03-30,6
2024-04-06,7
2024-04-13,8
2024-04-20,7
2024-04-27,8
2024-05-04,6
2024-05-11,5
2024-05-18,5
2024-05-25,6
