Search Term,the game changers
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,0
2017-04-08,0
2017-04-15,0
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,0
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,0
2017-06-24,0
2017-07-01,0
2017-07-08,0
2017-07-15,0
2017-07-22,0
2017-07-29,0
2017-08-05,0
2017-08-12,0
2017-08-19,0
2017-08-26,0
2017-09-02,0
2017-09-09,0
2017-09-16,0
2017-09-23,0
2017-09-30,0
2017-10-07,0
2017-10-14,0
2017-10-21,0
2017-10-28,0
2017-11-04,0
2017-11-11,0
2017-11-18,0
2017-11-25,0
2017-12-02,0
2017-12-09,0
2017-12-16,0
2017-12-23,0
2017-12-30,0
2018-01-06,0
2018-01-13,0
2018-01-20,0
2018-01-27,0
2018-02-03,0
2018-02-10,0
2018-02-17,0
2018-02-24,0
2018-03-03,0
2018-03-10,0
2018-03-17,0
2018-03-24,0
2018-03-31,0
2018-04-07,0
2018-04-14,0
2018-04-21,1
2018-04-28,1
2018-05-05,2
2018-05-12,2
2018-05-19,2
2018-05-26,2
2018-06-02,2
2018-06-09,2
2018-06-16,2
2018-06-23,2
2018-06-30,2
2018-07-07,2
2018-07-14,3
2018-07-21,3
2018-07-28,1
2018-08-04,2
2018-08-11,2
2018-08-18,2
2018-08-25,1
2018-09-01,2
2018-09-08,2
2018-09-15,2
2018-09-22,2
2018-09-29,2
2018-10-06,2
2018-10-13,1
2018-10-20,3
2018-10-27,2
2018-11-03,2
2018-11-10,1
2018-11-17,1
2018-11-24,2
2018-12-01,2
2018-12-08,1
2018-12-15,2
2018-12-22,2
2018-12-29,3
2019-01-05,3
2019-01-12,2
2019-01-19,3
2019-01-26,3
2019-02-02,2
2019-02-09,3
2019-02-16,2
2019-02-23,3
2019-03-02,2
2019-03-09,3
2019-03-16,3
2019-03-23,2
2019-03-30,3
2019-04-06,2
2019-04-13,3
2019-04-20,2
2019-04-27,3
2019-05-04,2
2019-05-11,1
2019-05-18,2
2019-05-25,2
2019-06-01,2
2019-06-08,2
2019-06-15,3
2019-06-22,7
2019-06-29,8
2019-07-06,5
2019-07-13,6
2019-07-20,4
2019-07-27,4
2019-08-03,4
2019-08-10,3
2019-08-17,5
2019-08-24,7
2019-08-31,10
2019-09-07,17
2019-09-14,55
2019-09-21,14
2019-09-28,22
2019-10-05,24
2019-10-12,46
2019-10-19,100
2019-10-26,86
2019-11-02,85
2019-11-09,73
2019-11-16,85
2019-11-23,75
2019-11-30,66
2019-12-07,52
2019-12-14,41
2019-12-21,41
2019-12-28,54
2020-01-04,46
2020-01-11,43
2020-01-18,38
2020-01-25,33
2020-02-01,27
2020-02-08,24
2020-02-15,24
2020-02-22,22
2020-02-29,19
