,Search Term,what the health
0,2016-12-03,0.0
1,2016-12-10,0.0
2,2016-12-17,0.0
3,2016-12-24,0.0
4,2016-12-31,0.0
5,2017-01-07,0.0
6,2017-01-14,0.0
7,2017-01-21,0.0
8,2017-01-28,0.0
9,2017-02-04,0.0
10,2017-02-11,0.0
11,2017-02-18,0.0
12,2017-02-25,0.0
13,2017-03-04,0.0
14,2017-03-11,0.0
15,2017-03-18,0.0
16,2017-03-25,0.0
17,2017-04-01,0.0
18,2017-04-08,2.0
19,2017-04-15,3.0
20,2017-04-22,3.0
21,2017-04-29,3.0
22,2017-05-06,2.0
23,2017-05-13,2.0
24,2017-05-20,1.0
25,2017-05-27,2.0
26,2017-06-03,2.0
27,2017-06-10,6.0
28,2017-06-17,32.0
29,2017-06-24,53.0
30,2017-07-01,67.0
31,2017-07-08,94.0
32,2017-07-15,99.0
33,2017-07-22,100.0
34,2017-07-29,87.0
35,2017-08-05,96.0
36,2017-08-12,62.0
37,2017-08-19,48.0
38,2017-08-26,39.0
39,2017-09-02,34.0
40,2017-09-09,26.0
41,2017-09-16,23.0
42,2017-09-23,21.0
43,2017-09-30,20.0
44,2017-10-07,20.0
45,2017-10-14,17.0
46,2017-10-21,17.0
47,2017-10-28,13.0
48,2017-11-04,13.999999999999998
49,2017-11-11,16.0
50,2017-11-18,6.0
51,2017-11-25,9.0
52,2017-12-02,13.0
53,2017-12-09,10.0
54,2017-12-16,10.0
55,2017-12-23,13.0
56,2017-12-30,15.000000000000002
57,2018-01-06,13.999999999999998
58,2018-01-13,13.0
59,2018-01-20,12.0
60,2018-01-27,12.0
61,2018-02-03,10.0
62,2018-02-10,9.0
63,2018-02-17,10.0
64,2018-02-24,9.0
65,2018-03-03,9.0
66,2018-03-10,8.0
67,2018-03-17,8.0
68,2018-03-24,8.0
69,2018-03-31,8.0
70,2018-04-07,8.0
71,2018-04-14,6.999999999999999
72,2018-04-21,6.999999999999999
73,2018-04-28,6.0
74,2018-05-05,6.999999999999999
75,2018-05-12,6.0
76,2018-05-19,5.0
77,2018-05-26,6.0
78,2018-06-02,6.0
79,2018-06-09,5.0
80,2018-06-16,6.0
81,2018-06-23,6.0
82,2018-06-30,5.0
83,2018-07-07,5.0
84,2018-07-14,5.0
85,2018-07-21,5.0
86,2018-07-28,5.0
87,2018-08-04,4.0
88,2018-08-11,4.0
89,2018-08-18,6.0
90,2018-08-25,3.0
91,2018-09-01,4.0
92,2018-09-08,4.0
93,2018-09-15,5.0
94,2018-09-22,5.0
95,2018-09-29,4.0
96,2018-10-06,4.0
97,2018-10-13,5.0
98,2018-10-20,3.0
99,2018-10-27,4.0
100,2018-11-03,5.0
101,2018-11-10,4.0
102,2018-11-17,4.0
103,2018-11-24,5.0
104,2018-12-01,4.0
105,2018-12-08,5.0
106,2018-12-15,4.0
107,2018-12-22,4.0
108,2018-12-29,6.0
109,2019-01-05,5.0
