Search Term,what the health
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,86
2020-02-01,87
2020-02-08,100
2020-02-15,96
2020-02-22,70
2020-02-29,79
2020-03-07,56
2020-03-14,45
2020-03-21,41
2020-03-28,40
2020-04-04,47
2020-04-11,49
2020-04-18,54
2020-04-25,61
2020-05-02,46
2020-05-09,67
2020-05-16,62
2020-05-23,59
2020-05-30,40
2020-06-06,44
2020-06-13,52
2020-06-20,36
2020-06-27,54
2020-07-04,51
2020-07-11,58
2020-07-18,58
2020-07-25,55
2020-08-01,54
2020-08-08,46
2020-08-15,56
2020-08-22,56
2020-08-29,55
2020-09-05,49
2020-09-12,53
2020-09-19,54
2020-09-26,53
2020-10-03,58
2020-10-10,47
2020-10-17,47
2020-10-24,42
2020-10-31,28
2020-11-07,34
2020-11-14,39
2020-11-21,34
2020-11-28,42
2020-12-05,33
2020-12-12,40
2020-12-19,32
2020-12-26,50
2021-01-02,49
2021-01-09,45
2021-01-16,46
2021-01-23,43
2021-01-30,43
2021-02-06,37
2021-02-13,50
2021-02-20,41
2021-02-27,49
2021-03-06,45
2021-03-13,36
2021-03-20,42
2021-03-27,57
2021-04-03,50
2021-04-10,46
2021-04-17,67
2021-04-24,49
2021-05-01,43
2021-05-08,45
2021-05-15,43
2021-05-22,39
2021-05-29,37
2021-06-05,44
2021-06-12,38
2021-06-19,34
2021-06-26,32
2021-07-03,39
2021-07-10,37
2021-07-17,36
2021-07-24,35
2021-07-31,37
2021-08-07,34
2021-08-14,31
2021-08-21,32
2021-08-28,31
2021-09-04,40
2021-09-11,37
2021-09-18,44
2021-09-25,35
2021-10-02,33
2021-10-09,38
2021-10-16,41
2021-10-23,27
2021-10-30,30
2021-11-06,30
2021-11-13,35
2021-11-20,32
2021-11-27,41
2021-12-04,29
2021-12-11,27
2021-12-18,33
2021-12-25,38
2022-01-01,48
2022-01-08,42
2022-01-15,41
2022-01-22,43
2022-01-29,48
2022-02-05,47
2022-02-12,43
2022-02-19,46
2022-02-26,29
2022-03-05,39
2022-03-12,39
2022-03-19,37
2022-03-26,36
2022-04-02,43
2022-04-09,37
2022-04-16,44
2022-04-23,36
2022-04-30,42
2022-05-07,28
2022-05-14,31
2022-05-21,36
2022-05-28,41
2022-06-04,34
2022-06-11,23
2022-06-18,33
2022-06-25,28
2022-07-02,30
2022-07-09,38
2022-07-16,30
2022-07-23,30
2022-07-30,37
2022-08-06,20
2022-08-13,33
2022-08-20,33
2022-08-27,30
2022-09-03,29
2022-09-10,26
2022-09-17,24
2022-09-24,26
2022-10-01,30
2022-10-08,26
2022-10-15,32
2022-10-22,30
2022-10-29,28
2022-11-05,24
2022-11-12,30
2022-11-19,29
2022-11-26,25
2022-12-03,32
2022-12-10,28
2022-12-17,25
2022-12-24,23
2022-12-31,27
2023-01-07,35
2023-01-14,37
2023-01-21,44
2023-01-28,37
2023-02-04,35
2023-02-11,30
2023-02-18,37
2023-02-25,51
2023-03-04,32
2023-03-11,39
2023-03-18,39
2023-03-25,29
2023-04-01,30
2023-04-08,39
2023-04-15,49
2023-04-22,38
2023-04-29,39
2023-05-06,35
2023-05-13,34
2023-05-20,32
2023-05-27,28
2023-06-03,37
2023-06-10,40
2023-06-17,33
2023-06-24,25
2023-07-01,32
2023-07-08,36
2023-07-15,30
2023-07-22,23
2023-07-29,20
2023-08-05,22
2023-08-12,28
2023-08-19,29
2023-08-26,26
2023-09-02,27
2023-09-09,26
2023-09-16,22
2023-09-23,20
2023-09-30,31
2023-10-07,39
2023-10-14,54
2023-10-21,43
2023-10-28,41
2023-11-04,34
2023-11-11,33
2023-11-18,26
2023-11-25,32
2023-12-02,23
2023-12-09,26
2023-12-16,18
2023-12-23,24
2023-12-30,35
2024-01-06,42
2024-01-13,36
2024-01-20,30
2024-01-27,36
2024-02-03,34
2024-02-10,33
2024-02-17,33
2024-02-24,31
2024-03-02,29
2024-03-09,21
2024-03-16,23
2024-03-23,24
2024-03-30,17
2024-04-06,18
2024-04-13,23
2024-04-20,20
2024-04-27,21
2024-05-04,21
2024-05-11,16
2024-05-18,17
2024-05-25,14
